municipality,group,variable,month,Mujeres puérperas que recibieron dosis única de vitamina A,TOTAL
CAPINOTA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,21,21
CAQUIAVIRI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,9,9
CARACOLLO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,29,29
CARANAVI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,91,91
CARAPARI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,22,22
CARIPUYO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,17,17
CARMEN RIVERO TORREZ,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,5,5
CHACARILLA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,2,2
CHALLAPATA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,56,56
CHAQUI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,9,9
CHARAGUA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,24,24
CHARAÑA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,2,2
CHAYANTA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,24,24
CHIMORE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,13,13
CHIPAYA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,2,2
CHULUMANI (V. DE LA LIBERTAD),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,30,30
CHUMA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,11,11
CLIZA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,17,17
COBIJA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,125,125
COCHABAMBA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,1006,1006
COIPASA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,2,2
COLCAPIRHUA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,57,57
"COLCHA ""K""",nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,14,14
COLLANA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,2,2
COLOMI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,28,28
COLPA BELGICA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,10,10
COLQUECHACA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,58,58
COLQUENCHA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,17,17
COLQUIRI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,24,24
COMANCHE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,3,3
COMARAPA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,27,27
COMBAYA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,6,6
CONCEPCION,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,21,21
COPACABANA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,17,17
CORIPATA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,18,18
CORO CORO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,13,13
COROICO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,33,33
CORQUE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,8,8
COTAGAITA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,33,33
COTOCA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,78,78
CUATRO CAÑADAS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,25,25
CUCHUMUELA (V. G. VILLARROEL),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,2,2
CUEVO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,2,2
CULPINA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,28,28
CURAHUARA DE CARANGAS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,7,7
CURVA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,4,4
DESAGUADERO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,5,5
EL ALTO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,1179,1179
EL CHORO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,9,9
EL PUENTE(STC),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,14,14
EL PUENTE(TJA),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,12,12
EL TORNO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,54,54
EL VILLAR,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,8,8
ENTRE RIOS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,25,25
ENTRE RIOS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,27,27
EUCALIPTUS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,12,12
EUREKA (SANTOS MERCADO),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,3,3
FERNANDEZ ALONSO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,22,22
FILADELFIA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,3,3
GENERAL SAAVEDRA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,10,10
GRAL. J.J. PEREZ (CHARAZANI),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,16,16
GUANAY,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,16,16
GUAQUI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,5,5
GUAYARAMERIN,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,131,131
GUTIERREZ,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,17,17
HUACARETA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,10,10
HUACAYA (VILLA DE HUACAYA),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,1,1
HUACHACALLA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,2,2
HUANUNI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,14,14
HUARACAJE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,4,4
HUAYLLAMARCA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,3,3
ICHOCA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,2,2
ICLA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,12,12
INCAHUASI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,41,41
INGAVI (HUMAITA),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,2,2
INQUISIVI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,15,15
IRUPANA (VILLA DE LANZA),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,11,11
IXIAMAS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,10,10
JESUS DE MACHACA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,17,17
LA ASUNTA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,47,47
LA GUARDIA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,52,52
LA PAZ,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,1010,1010
LAGUNILLAS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,7,7
LAJA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,17,17
LAS CARRERAS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,3,3
LLALLAGUA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,76,76
LORETO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,6,6
LURIBAY,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,5,5
MACHACAMARCA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,2,2
MACHARETI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,4,4
MAGDALENA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,26,26
MAIRANA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,19,19
MALLA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,1,1
MAPIRI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,18,18
MECAPACA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,9,9
MINEROS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,3,3
MIZQUE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,54,54
MOCOMOCO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,18,18
MOJINETE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,1,1
MOJOCOYA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,13,13
MONTEAGUDO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,51,51
MONTERO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,45,45
MORO MORO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,4,4
MOROCHATA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,43,43
NACEBE (SANTA ROSA DEL ABUNA),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,4,4
NUEVO MANOA (NUEVA ESPERANZA),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,1,1
OCURI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,40,40
OKINAWA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,15,15
OMEREQUE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,5,5
ORURO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,363,363
PADCAYA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,22,22
PADILLA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,15,15
PAILON,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,13,13
PALCA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,10,10
PALOS BLANCOS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,43,43
PAMPA AULLAGAS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,6,6
PAMPA GRANDE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,11,11
PAPEL PAMPA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,7,7
PASORAPA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,2,2
PATACAMAYA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,25,25
PAZÑA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,8,8
PELECHUCO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,9,9
POCOATA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,31,31
POCONA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,19,19
POJO (CBBA),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,17,17
POOPO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,2,2
PORCO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,19,19
POROMA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,32,32
PORONGO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,13,13
PORTACHUELO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,15,15
PORVENIR,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,4,4
POSTRER VALLE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,2,2
POTOSI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,355,355
PRESTO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,18,18
PUCARANI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,52,52
PUERTO ACOSTA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,27,27
PUERTO CARABUCO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,18,18
PUERTO GONZALO MORENO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,15,15
PUERTO PEREZ,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,5,5
PUERTO QUIJARRO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,10,10
PUERTO RICO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,5,5
PUERTO SUAREZ,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,19,19
PUERTO VILLARROEL,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,102,102
PUNA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,56,56
PUNATA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,74,74
QUIABAYA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,4,4
QUILLACOLLO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,136,136
QUIME,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,9,9
QUIRUSILLAS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,1,1
RAVELO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,41,41
REYES,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,19,19
RIBERALTA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,448,448
ROBORE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,7,7
RURRENABAQUE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,23,23
SABAYA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,4,4
SACABA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,184,184
SACABAMBA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,8,8
SACACA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,48,48
SAIPINA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,8,8
SALINAS DE GARCI MENDOZA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,12,12
SAMAIPATA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,13,13
SAN AGUSTIN,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,1,1
SAN ANDRES,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,7,7
SAN ANDRES DE MACHACA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,2,2
SAN ANTONIO DE ESMORUCO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,4,4
SAN ANTONIO DE LOMERIO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,10,10
SAN BENITO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,10,10
SAN BORJA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,75,75
SAN BUENA VENTURA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,23,23
SAN CARLOS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,47,47
SAN IGNACIO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,37,37
SAN IGNACIO DE VELASCO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,106,106
SAN JAVIER(BNI),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,3,3
SAN JAVIER(STC),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,14,14
SAN JOAQUIN,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,5,5
SAN JOSE DE CHIQUITOS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,20,20
SAN JUAN DE YAPACANI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,10,10
SAN JULIAN,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,31,31
SAN LORENZO(PND),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,4,4
SAN LORENZO(TJA),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,20,20
SAN LUCAS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,68,68
SAN MATIAS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,22,22
SAN MIGUEL DE VELASCO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,13,13
SAN PABLO DE LIPEZ,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,7,7
SAN PEDRO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,13,13
SAN PEDRO DE BUENA VISTA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,25,25
SAN PEDRO DE CURAHUARA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,4,4
SAN PEDRO DE QUEMES,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,1,1
SAN PEDRO DE TIQUINA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,2,2
SAN RAFAEL,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,7,7
SAN RAMON,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,23,23
SAN RAMON,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,7,7
SANTA ANA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,39,39
SANTA CRUZ DE LA SIERRA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,1139,1139
SANTA ROSA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,16,16
SANTA ROSA DEL SARA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,18,18
SANTIAGO DE CALLAPA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,7,7
SANTIAGO DE HUARI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,12,12
SANTIAGO DE MACHACA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,2,2
SANTIVAÑES,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,6,6
SANTUARIO DE QUILLACAS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,10,10
SAPAHAQUI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,4,4
SENA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,14,14
SICA SICA (VILLA AROMA),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,21,21
SICAYA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,4,4
SIPE SIPE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,21,21
SOPACHUY,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,15,15
SORACACHI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,13,13
SORATA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,20,20
SUCRE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,516,516
TACACHI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,4,4
TACACOMA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,4,4
TACOBAMBA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,18,18
TACOPAYA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,15,15
TAPACARI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,48,48
TARABUCO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,47,47
TARACO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,6,6
TARATA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,9,9
TARIJA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,394,394
TARVITA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,20,20
TEOPONTE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,12,12
TIAWANACU,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,19,19
TINGUIPAYA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,41,41
TIPUANI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,20,20
TIQUIPAYA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,71,71
TIRAQUE (CBBA),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,79,79
TITO YUPANQUI (PARQUIPUJIO),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,3,3
TOCO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,4,4
TOLATA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,6,6
TOLEDO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,5,5
TOMAVE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,10,10
TOMINA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,7,7
TORO TORO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,17,17
TOTORA(CBBA),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,16,16
TOTORA(ORR),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,4,4
TRIGAL,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,1,1
TRINIDAD,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,276,276
TUPIZA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,14,14
TURCO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,5,5
UMALA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,11,11
UNCIA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,30,30
URIONDO (A. CONCEPCION),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,14,14
URUBICHA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-11-01,9,9
