,group,variable,month,TOTAL 6.2 CONTROL DEL NIÑO (A) DE 1 AÑO A MENOR DE 2 AÑOS NUEVO,TOTAL 6.2 CONTROL DEL NIÑO (A) DE 1 AÑO A MENOR DE 2 AÑOS NUEVO,TOTAL 6.2 CONTROL DEL NIÑO (A) DE 1 AÑO A MENOR DE 2 AÑOS REPETIDO,TOTAL 6.2 CONTROL DEL NIÑO (A) DE 1 AÑO A MENOR DE 2 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
ANTEQUERA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,2,5,22,15,24,20,44
ANZALDO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,3,0,48,44,51,44,95
APOLO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,18,15,154,144,172,159,331
ARAMPAMPA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,2,4,34,33,36,37,73
ARANI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,20,15,102,88,122,103,225
ARBIETO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,9,11,139,90,148,101,249
ARQUE,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,21,1,103,109,124,110,234
ASCENCION DE GUARAYOS,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,34,19,104,134,138,153,291
ATOCHA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,15,34,53,64,68,98,166
AUCAPATA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,2,1,65,34,67,35,102
AYATA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,15,20,55,37,70,57,127
AYO AYO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,5,5,55,52,60,57,117
AYOPAYA (V. DE INDEPENDENCIA),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,13,19,248,244,261,263,524
AZURDUY,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,10,12,75,63,85,75,160
BATALLAS,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,27,27,88,96,115,123,238
BAURES,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,12,11,31,37,43,48,91
BELEN DE ANDAMARCA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,0,2,8,7,8,9,17
BELEN DE URMIRI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,0,2,11,10,11,12,23
BELLA FLOR,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,6,8,25,26,31,34,65
BERMEJO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,161,163,197,194,358,357,715
BETANZOS,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,28,25,229,249,257,274,531
BOLIVAR,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,7,5,58,61,65,66,131
BOLPEBRA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,1,1,28,16,29,17,46
BOYUIBE,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,3,4,24,26,27,30,57
BUENA VISTA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,11,15,102,118,113,133,246
CABEZAS,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,11,13,129,117,140,130,270
CAIROMA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,8,11,60,45,68,56,124
"CAIZA ""D""",control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,1,2,20,21,21,23,44
CAJUATA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,1,2,95,69,96,71,167
CALACOTO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,1,1,28,35,29,36,65
CALAMARCA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,4,5,86,92,90,97,187
CAMARGO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,12,9,117,106,129,115,244
CAMATAQUI (C. VILLA ABECIA),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,1,2,15,18,16,20,36
CAMIRI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,30,22,187,171,217,193,410
CAPINOTA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,18,10,208,166,226,176,402
CAQUIAVIRI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,1,1,70,69,71,70,141
CARACOLLO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,16,15,117,115,133,130,263
CARANAVI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,59,50,279,223,338,273,611
CARANGAS,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,0,0,1,0,1,0,1
CARAPARI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,4,6,131,124,135,130,265
CARIPUYO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,6,1,79,70,85,71,156
CARMEN RIVERO TORREZ,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,3,8,15,18,18,26,44
CATACORA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,0,0,4,3,4,3,7
CHACARILLA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,0,1,5,4,5,5,10
CHALLAPATA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,19,26,300,274,319,300,619
CHAQUI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,3,5,72,64,75,69,144
CHARAGUA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,20,10,131,136,151,146,297
CHARAÑA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,2,4,15,6,17,10,27
CHAYANTA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,11,7,91,104,102,111,213
CHIMORE,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,89,70,270,245,359,315,674
CHIPAYA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,1,1,14,13,15,14,29
CHOQUE COTA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,3,1,6,8,9,9,18
CHUA COCANI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,0,0,11,8,11,8,19
CHULUMANI (V. DE LA LIBERTAD),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,21,14,78,56,99,70,169
CHUMA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,3,9,68,69,71,78,149
CHUQUIHUTA AYLLU JUCUMANI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,8,4,53,37,61,41,102
CKOCHAS,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,9,9,73,68,82,77,159
CLIZA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,10,10,145,108,155,118,273
COBIJA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,66,62,365,342,431,404,835
COCAPATA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,19,20,147,145,166,165,331
COCHABAMBA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,669,644,2540,2321,3209,2965,6174
COIPASA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,0,0,5,4,5,4,9
COLCAPIRHUA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,81,47,218,163,299,210,509
"COLCHA ""K""",control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,21,8,120,90,141,98,239
COLLANA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,2,1,28,19,30,20,50
COLOMI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,17,14,198,181,215,195,410
COLPA BELGICA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,2,2,3,3,5,5,10
COLQUECHACA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,14,25,270,305,284,330,614
COLQUENCHA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,6,3,58,63,64,66,130
COLQUIRI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,10,10,82,86,92,96,188
COMANCHE,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,0,0,33,7,33,7,40
COMARAPA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,12,10,109,120,121,130,251
COMBAYA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,2,0,22,12,24,12,36
CONCEPCION,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,22,22,94,111,116,133,249
COPACABANA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,12,10,64,40,76,50,126
CORIPATA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,10,9,108,94,118,103,221
CORO CORO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,2,1,35,37,37,38,75
COROICO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,7,6,96,97,103,103,206
CORQUE,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,6,11,51,44,57,55,112
COTAGAITA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,6,14,140,112,146,126,272
COTOCA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,46,54,266,257,312,311,623
CRUZ DE MACHACAMARCA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,0,0,0,2,0,2,2
CUATRO CAÑADAS,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,11,17,122,126,133,143,276
CUCHUMUELA (V. G. VILLARROEL),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,1,0,13,11,14,11,25
CUEVO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,0,1,33,19,33,20,53
CULPINA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,11,12,165,133,176,145,321
CURAHUARA DE CARANGAS,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,2,2,28,33,30,35,65
CURVA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,2,2,19,19,21,21,42
DESAGUADERO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,3,4,12,27,15,31,46
EL ALTO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,747,722,5130,4719,5877,5441,11318
EL CHORO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,7,5,44,28,51,33,84
EL PUENTE(STC),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,12,11,86,62,98,73,171
EL PUENTE(TJA),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,4,5,82,64,86,69,155
EL TORNO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,50,49,311,314,361,363,724
EL VILLAR,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,1,2,21,37,22,39,61
ENTRE RIOS TRJ,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,11,7,168,177,179,184,363
ENTRE RIOS CBBA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,49,55,331,314,380,369,749
ESCARA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,1,0,2,3,3,3,6
ESCOMA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,4,4,38,40,42,44,86
ESMERALDA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,2,2,3,2,5,4,9
EUCALIPTUS,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,5,1,37,19,42,20,62
EUREKA (SANTOS MERCADO),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,0,1,12,18,12,19,31
EXALTACION,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,0,1,20,27,20,28,48
FERNANDEZ ALONSO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,9,10,91,95,100,105,205
FILADELFIA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,1,3,25,25,26,28,54
GENERAL SAAVEDRA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,21,8,118,109,139,117,256
GRAL. J.J. PEREZ (CHARAZANI),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,12,8,59,67,71,75,146
GUANAY,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,2,9,100,136,102,145,247
GUAQUI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,1,4,30,40,31,44,75
GUAYARAMERIN,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,4,2,377,453,381,455,836
GUTIERREZ,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,28,31,155,139,183,170,353
HUACARETA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,2,4,75,72,77,76,153
HUACAYA (VILLA DE HUACAYA),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,2,1,28,35,30,36,66
HUACHACALLA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,2,0,6,16,8,16,24
HUANUNI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,4,8,174,131,178,139,317
HUARACAJE,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,0,1,27,34,27,35,62
HUARINA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,3,2,25,29,28,31,59
HUATAJATA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,5,4,19,34,24,38,62
HUAYLLAMARCA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,5,0,32,46,37,46,83
HUMANATA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,3,3,21,19,24,22,46
ICHOCA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,1,2,29,24,30,26,56
ICLA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,4,6,72,49,76,55,131
INCAHUASI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,16,8,127,93,143,101,244
INGAVI (HUMAITA),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,0,0,10,14,10,14,24
INQUISIVI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,5,6,83,75,88,81,169
IRUPANA (VILLA DE LANZA),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,8,9,137,120,145,129,274
IXIAMAS,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,10,3,61,70,71,73,144
JESUS DE MACHACA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,10,5,60,79,70,84,154
LA ASUNTA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,79,59,223,177,302,236,538
LA GUARDIA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,54,59,310,309,364,368,732
LA PAZ,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,742,669,2954,2560,3696,3229,6925
LA RIVERA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,0,0,0,3,0,3,3
LAGUNILLAS,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,7,6,52,57,59,63,122
LAJA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,16,11,122,95,138,106,244
LAS CARRERAS,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,11,1,20,18,31,19,50
LICOMA PAMPA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,0,2,27,17,27,19,46
LLALLAGUA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,40,27,280,293,320,320,640
LLICA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,3,1,29,26,32,27,59
LORETO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,7,7,39,54,46,61,107
LURIBAY,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,2,4,50,52,52,56,108
MACHACAMARCA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,2,3,36,49,38,52,90
MACHARETI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,6,7,46,45,52,52,104
MAGDALENA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,4,1,79,60,83,61,144
MAIRANA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,1,0,87,78,88,78,166
MALLA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,0,3,18,16,18,19,37
MAPIRI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,21,23,114,105,135,128,263
MECAPACA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,7,6,80,53,87,59,146
MINEROS,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,19,13,120,115,139,128,267
MIZQUE,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,53,38,247,218,300,256,556
MOCOMOCO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,12,9,57,63,69,72,141
MOJINETE,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,1,1,12,5,13,6,19
MOJOCOYA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,7,6,57,46,64,52,116
MONTEAGUDO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,22,18,158,176,180,194,374
MONTERO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,52,57,476,465,528,522,1050
MORO MORO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,1,0,13,17,14,17,31
MOROCHATA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,5,14,78,108,83,122,205
NACEBE (SANTA ROSA DEL ABUNA),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,2,0,21,11,23,11,34
NAZACARA DE PACAJES,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,0,0,2,5,2,5,7
NUEVO MANOA (NUEVA ESPERANZA),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,3,0,32,20,35,20,55
OCURI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,16,15,109,122,125,137,262
OKINAWA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,7,4,129,91,136,95,231
OMEREQUE,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,9,3,82,80,91,83,174
ORURO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,776,603,1734,1513,2510,2116,4626
PADCAYA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,11,12,121,107,132,119,251
PADILLA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,6,10,84,85,90,95,185
PAILON,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,8,8,159,129,167,137,304
PALCA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,8,10,124,112,132,122,254
PALOS BLANCOS,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,16,7,226,219,242,226,468
PAMPA AULLAGAS,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,1,0,29,13,30,13,43
PAMPA GRANDE,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,5,3,59,64,64,67,131
PAPEL PAMPA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,1,0,37,48,38,48,86
PASORAPA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,2,0,29,16,31,16,47
PATACAMAYA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,7,13,118,121,125,134,259
PAZÑA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,9,6,59,51,68,57,125
PELECHUCO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,3,6,56,55,59,61,120
POCOATA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,24,20,185,169,209,189,398
POCONA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,5,4,88,84,93,88,181
POJO (CBBA),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,18,17,97,83,115,100,215
POOPO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,10,1,44,49,54,50,104
PORCO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,10,4,66,101,76,105,181
POROMA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,9,8,90,134,99,142,241
PORONGO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,14,12,34,47,48,59,107
PORTACHUELO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,6,5,61,48,67,53,120
PORVENIR,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,10,3,52,46,62,49,111
POSTRER VALLE,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,1,3,9,12,10,15,25
POTOSI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,308,333,1046,1050,1354,1383,2737
PRESTO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,5,6,68,68,73,74,147
PUCARA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,2,2,15,6,17,8,25
PUCARANI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,23,27,199,170,222,197,419
PUERTO ACOSTA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,9,4,42,53,51,57,108
PUERTO CARABUCO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,6,3,60,93,66,96,162
PUERTO GONZALO MORENO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,8,9,99,82,107,91,198
PUERTO PEREZ,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,5,3,26,28,31,31,62
PUERTO QUIJARRO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,1,0,119,142,120,142,262
PUERTO RICO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,5,8,53,58,58,66,124
PUERTO SILES,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,1,2,2,5,3,7,10
PUERTO VILLARROEL,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,38,48,628,536,666,584,1250
PUNA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,11,11,170,139,181,150,331
PUNATA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,26,27,221,199,247,226,473
QUIABAYA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,5,2,24,22,29,24,53
QUILLACOLLO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,211,181,758,648,969,829,1798
QUIME,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,13,7,71,81,84,88,172
QUIRUSILLAS,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,2,1,9,14,11,15,26
RAVELO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,8,11,132,113,140,124,264
REYES,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,15,22,84,85,99,107,206
RIBERALTA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,118,90,977,718,1095,808,1903
ROBORE,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,6,4,94,100,100,104,204
RURRENABAQUE,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,4,1,36,34,40,35,75
SABAYA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,2,1,23,18,25,19,44
SACABA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,130,79,1186,933,1316,1012,2328
SACABAMBA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,8,6,35,28,43,34,77
SACACA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,44,23,202,162,246,185,431
SAIPINA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,0,0,48,57,48,57,105
SALINAS DE GARCI MENDOZA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-10-01,7,12,106,94,113,106,219
