,group,variable,month,TOTAL 6.3 CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS NUEVO,TOTAL 6.3 CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS NUEVO,TOTAL 6.3 CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS REPETIDO,TOTAL 6.3 CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
PUERTO RICO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,2,3,50,37,52,40,92
PUERTO SILES,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,0,0,15,23,15,23,38
PUERTO SUAREZ,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,5,9,61,65,66,74,140
PUERTO VILLARROEL,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,80,68,381,380,461,448,909
PUNA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,13,6,199,203,212,209,421
PUNATA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,33,29,155,183,188,212,400
QUIABAYA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,2,2,39,38,41,40,81
QUILLACOLLO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,301,288,742,683,1043,971,2014
QUIME,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,10,9,84,84,94,93,187
QUIRUSILLAS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,2,0,17,8,19,8,27
RAVELO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,8,3,197,229,205,232,437
REYES,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,9,12,64,71,73,83,156
RIBERALTA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,115,122,415,407,530,529,1059
ROBORE,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,1,0,44,46,45,46,91
RURRENABAQUE,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,1,5,30,33,31,38,69
SABAYA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,0,0,33,34,33,34,67
SACABA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,102,92,551,679,653,771,1424
SACABAMBA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,4,9,48,41,52,50,102
SACACA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,26,24,191,159,217,183,400
SAIPINA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,0,0,53,49,53,49,102
SALINAS DE GARCI MENDOZA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,6,3,105,93,111,96,207
SAMAIPATA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,9,5,57,49,66,54,120
SAN AGUSTIN,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,8,8,10,16,18,24,42
SAN ANDRES,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,9,9,74,66,83,75,158
SAN ANDRES DE MACHACA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,3,1,7,8,10,9,19
SAN ANTONIO DE ESMORUCO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,0,0,11,10,11,10,21
SAN ANTONIO DE LOMERIO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,15,10,113,124,128,134,262
SAN BENITO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,21,3,115,56,136,59,195
SAN BORJA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,19,27,250,241,269,268,537
SAN BUENA VENTURA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,3,5,59,52,62,57,119
SAN CARLOS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,37,31,115,126,152,157,309
SAN IGNACIO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,64,62,135,141,199,203,402
SAN IGNACIO DE VELASCO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,43,31,278,288,321,319,640
SAN JAVIER(BNI),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,16,11,10,4,26,15,41
SAN JAVIER(STC),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,96,29,55,51,151,80,231
SAN JOAQUIN,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,0,0,25,14,25,14,39
SAN JOSE DE CHIQUITOS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,10,5,38,48,48,53,101
SAN JUAN DE YAPACANI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,16,7,51,48,67,55,122
SAN JULIAN,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,14,21,368,369,382,390,772
SAN LORENZO(PND),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,0,0,22,21,22,21,43
SAN LORENZO(TJA),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,26,24,157,159,183,183,366
SAN LUCAS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,88,113,538,647,626,760,1386
SAN MATIAS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,7,10,62,40,69,50,119
SAN MIGUEL DE VELASCO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,9,7,129,112,138,119,257
SAN PABLO DE LIPEZ,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,0,0,14,25,14,25,39
SAN PEDRO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,30,32,174,140,204,172,376
SAN PEDRO DE BUENA VISTA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,19,16,223,269,242,285,527
SAN PEDRO DE CURAHUARA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,4,1,38,35,42,36,78
SAN PEDRO DE QUEMES,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,0,0,4,3,4,3,7
SAN PEDRO DE TIQUINA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,3,2,48,40,51,42,93
SAN PEDRO(PND),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,2,4,32,28,34,32,66
SAN RAFAEL,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,9,10,31,28,40,38,78
SAN RAMON BENI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,1,2,14,13,15,15,30
SAN RAMON SCZ,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,9,5,30,37,39,42,81
SANTA ANA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,34,30,29,16,63,46,109
SANTA CRUZ DE LA SIERRA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,785,799,2291,2295,3076,3094,6170
SANTA ROSA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,0,0,35,39,35,39,74
SANTA ROSA DEL SARA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,9,18,52,41,61,59,120
SANTIAGO DE CALLAPA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,2,3,15,21,17,24,41
SANTIAGO DE HUARI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,6,14,88,67,94,81,175
SANTIAGO DE HUATA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,6,3,66,56,72,59,131
SANTIAGO DE MACHACA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,2,1,23,14,25,15,40
SANTIVAÑES,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,1,1,48,58,49,59,108
SANTUARIO DE QUILLACAS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,15,1,17,18,32,19,51
SAPAHAQUI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,1,6,43,43,44,49,93
SENA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,11,8,54,45,65,53,118
SHINAOTA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,34,26,322,251,356,277,633
SICA SICA (VILLA AROMA),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,28,24,165,148,193,172,365
SICAYA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,10,0,30,26,40,26,66
SIPE SIPE,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,53,48,277,242,330,290,620
SOPACHUY,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,8,13,84,98,92,111,203
SORACACHI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,8,16,124,90,132,106,238
SORATA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,62,69,119,106,181,175,356
SUCRE,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,285,253,1558,1639,1843,1892,3735
TACACHI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,0,2,4,6,4,8,12
TACACOMA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,4,9,30,24,34,33,67
TACOBAMBA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,9,8,64,66,73,74,147
TACOPAYA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,4,4,87,98,91,102,193
TAHUA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,0,0,7,7,7,7,14
TAPACARI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,19,14,222,195,241,209,450
TARABUCO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,13,12,231,179,244,191,435
TARACO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,2,4,18,16,20,20,40
TARATA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,6,3,51,29,57,32,89
TARIJA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,305,280,1062,957,1367,1237,2604
TARVITA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,10,6,219,207,229,213,442
TEOPONTE,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,4,6,146,126,150,132,282
TIAWANACU,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,2,4,37,50,39,54,93
TINGUIPAYA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,7,4,125,88,132,92,224
TIPUANI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,2,4,66,32,68,36,104
TIQUIPAYA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,89,83,515,447,604,530,1134
TIRAQUE (CBBA),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,22,18,109,126,131,144,275
TITO YUPANQUI (PARQUIPUJIO),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,2,1,5,5,7,6,13
TOCO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,1,2,53,42,54,44,98
TODOS SANTOS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,2,1,1,0,3,1,4
TOLATA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,21,17,32,25,53,42,95
TOLEDO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,1,3,38,28,39,31,70
TOMAVE,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,7,5,79,70,86,75,161
TOMINA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,4,6,180,212,184,218,402
TORO TORO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,5,5,124,141,129,146,275
TOTORA(CBBA),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,14,17,75,69,89,86,175
TOTORA(ORR),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,3,2,55,69,58,71,129
TRIGAL,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,2,2,16,11,18,13,31
TRINIDAD,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,156,142,300,274,456,416,872
TUPIZA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,42,27,246,251,288,278,566
TURCO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,3,3,28,43,31,46,77
UMALA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,6,4,44,62,50,66,116
UNCIA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,19,24,119,96,138,120,258
URIONDO (A. CONCEPCION),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,41,32,125,85,166,117,283
URUBICHA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,8,4,33,24,41,28,69
UYUNI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,6,6,49,71,55,77,132
VACAS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,14,6,37,29,51,35,86
VALLEGRANDE,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,9,10,85,85,94,95,189
VIACHA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,55,44,322,282,377,326,703
VILA VILA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,9,10,51,59,60,69,129
VILLA CHARCAS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,29,34,180,195,209,229,438
VILLA MONTES,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,26,28,218,243,244,271,515
VILLA NUEVA (LOMA ALTA),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,3,0,65,47,68,47,115
VILLA RIVERO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,7,8,67,76,74,84,158
VILLA SERRANO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,5,1,242,215,247,216,463
VILLA TUNARI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,117,102,950,884,1067,986,2053
VILLA VACA GUZMAN (MUYUPAMPA),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,37,13,104,93,141,106,247
VILLAZON,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,24,25,247,225,271,250,521
VINTO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,30,36,131,130,161,166,327
VITICHI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,15,23,35,38,50,61,111
WALDO BALLIVIAN,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,6,0,14,17,20,17,37
WARNES,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,59,61,326,324,385,385,770
YACO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,3,8,43,54,46,62,108
YACUIBA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,154,124,546,561,700,685,1385
YAMPARAEZ,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,6,5,129,129,135,134,269
YANACACHI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,4,1,74,49,78,50,128
YAPACANI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,83,87,252,271,335,358,693
YOCALLA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,4,2,68,72,72,74,146
YOTALA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,10,12,141,148,151,160,311
YUNCHARA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,7,6,92,95,99,101,200
YUNGUYO DE LITORAL,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,0,0,1,0,1,0,1
ZUDAÑEZ,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-11-01,7,2,127,137,134,139,273
ACACIO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,3,2,60,54,63,56,119
ACHACACHI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,18,17,123,92,141,109,250
ACHOCALLA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,4,8,64,58,68,66,134
AIQUILE,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,13,15,164,217,177,232,409
ALALAY,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,3,1,3,7,6,8,14
ALCALA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,1,1,62,61,63,62,125
ALTO BENI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,6,4,71,59,77,63,140
ANCORAIMES,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,3,3,47,38,50,41,91
ANDAMARCA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,0,2,45,68,45,70,115
ANTEQUERA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,4,7,56,30,60,37,97
ANZALDO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,2,2,35,29,37,31,68
APOLO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,26,31,102,137,128,168,296
ARAMPAMPA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,10,6,39,37,49,43,92
ARANI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,18,14,34,39,52,53,105
ARBIETO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,11,9,132,104,143,113,256
ARQUE,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,11,10,94,99,105,109,214
ASCENCION DE GUARAYOS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,16,16,105,112,121,128,249
ATOCHA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,3,10,64,49,67,59,126
AUCAPATA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,1,1,27,33,28,34,62
AYATA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,7,3,19,42,26,45,71
AYO AYO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,7,4,32,34,39,38,77
AYOPAYA (V. DE INDEPENDENCIA),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,11,9,203,147,214,156,370
AZURDUY,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,18,19,178,206,196,225,421
BATALLAS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,6,1,94,105,100,106,206
BAURES,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,10,13,34,34,44,47,91
BELEN DE ANDAMARCA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,1,1,5,5,6,6,12
BELEN DE URMIRI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,2,0,13,18,15,18,33
BELLA FLOR,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,3,8,45,40,48,48,96
BERMEJO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,90,73,78,102,168,175,343
BETANZOS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,33,27,260,293,293,320,613
BOLIVAR,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,2,4,63,54,65,58,123
BOLPEBRA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,2,2,13,14,15,16,31
BOYUIBE,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,2,2,20,26,22,28,50
BUENA VISTA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,22,12,121,96,143,108,251
CABEZAS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,6,7,86,106,92,113,205
CAIROMA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,12,13,49,55,61,68,129
"CAIZA ""D""",control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,3,4,68,65,71,69,140
CAJUATA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,7,2,70,69,77,71,148
CALACOTO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,0,1,24,38,24,39,63
CALAMARCA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,5,4,72,78,77,82,159
CAMARGO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,10,8,128,145,138,153,291
CAMATAQUI (C. VILLA ABECIA),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,1,2,30,32,31,34,65
CAMIRI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,17,18,92,110,109,128,237
CAPINOTA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,5,13,116,106,121,119,240
CAQUIAVIRI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,3,3,51,39,54,42,96
CARACOLLO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,12,10,172,149,184,159,343
CARANAVI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,42,41,205,180,247,221,468
CARANGAS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,0,0,2,0,2,0,2
CARAPARI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,5,7,96,100,101,107,208
CARIPUYO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,5,1,74,80,79,81,160
CARMEN RIVERO TORREZ,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,4,5,14,9,18,14,32
CATACORA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,0,0,9,8,9,8,17
CHACARILLA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,0,0,14,8,14,8,22
CHALLAPATA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,26,24,419,360,445,384,829
CHAQUI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,1,3,62,63,63,66,129
CHARAGUA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,8,6,135,131,143,137,280
CHARAÑA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,1,0,17,9,18,9,27
CHAYANTA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,13,14,79,80,92,94,186
CHIMORE,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,52,50,99,82,151,132,283
CHIPAYA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,6,6,16,9,22,15,37
CHOQUE COTA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,1,0,14,12,15,12,27
CHUA COCANI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,4,1,17,13,21,14,35
CHULUMANI (V. DE LA LIBERTAD),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,10,6,68,43,78,49,127
CHUMA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,9,6,83,79,92,85,177
CHUQUIHUTA AYLLU JUCUMANI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,11,3,11,16,22,19,41
CKOCHAS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,5,7,117,125,122,132,254
CLIZA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,23,11,69,62,92,73,165
COBIJA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,22,30,270,233,292,263,555
COCAPATA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,19,13,189,178,208,191,399
COCHABAMBA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,428,401,1307,1168,1735,1569,3304
COLCAPIRHUA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,42,50,191,218,233,268,501
"COLCHA ""K""",control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,6,4,62,100,68,104,172
COLLANA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,4,0,20,18,24,18,42
COLOMI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,13,10,123,100,136,110,246
COLPA BELGICA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,0,0,3,0,3,0,3
COLQUECHACA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-12-01,29,38,132,154,161,192,353
