municipality,group,variable,month,Total 11.7 Mujeres con primer control post parto,TOTAL
AYO AYO,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,8,8
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,24,24
AZURDUY,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,13,13
BATALLAS,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,11,11
BAURES,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,4,4
BELLA FLOR,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,2,2
BERMEJO,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,52,52
BETANZOS,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,44,44
BOLIVAR,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,8,8
BOYUIBE,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,2,2
BUENA VISTA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,16,16
CABEZAS,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,42,42
CAIROMA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,12,12
"CAIZA ""D""",atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,9,9
CAJUATA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,9,9
CALACOTO,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,4,4
CALAMARCA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,8,8
CAMARGO,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,31,31
CAMATAQUI (C. VILLA ABECIA),atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,1,1
CAMIRI,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,14,14
CAPINOTA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,21,21
CAQUIAVIRI,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,5,5
CARACOLLO,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,16,16
CARANAVI,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,82,82
CARAPARI,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,7,7
CARIPUYO,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,12,12
CARMEN RIVERO TORREZ,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,8,8
CATACORA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,3,3
CHALLAPATA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,55,55
CHAQUI,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,4,4
CHARAGUA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,36,36
CHARAÑA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,2,2
CHAYANTA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,11,11
CHIMORE,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,5,5
CHIPAYA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,1,1
CHOQUE COTA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,1,1
CHUA COCANI,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,2,2
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,34,34
CHUMA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,2,2
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,10,10
CKOCHAS,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,23,23
CLIZA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,32,32
COBIJA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,52,52
COCAPATA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,11,11
COCHABAMBA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,595,595
COIPASA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,1,1
COLCAPIRHUA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,17,17
"COLCHA ""K""",atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,10,10
COLLANA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,5,5
COLOMI,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,27,27
COLPA BELGICA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,4,4
COLQUECHACA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,39,39
COLQUENCHA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,14,14
COLQUIRI,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,13,13
COMARAPA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,30,30
COMBAYA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,2,2
CONCEPCION,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,34,34
COPACABANA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,8,8
CORIPATA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,10,10
CORO CORO,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,6,6
COROICO,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,26,26
CORQUE,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,8,8
COTAGAITA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,13,13
COTOCA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,33,33
CUATRO CAÑADAS,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,10,10
CUCHUMUELA (V. G. VILLARROEL),atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,1,1
CUEVO,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,3,3
CULPINA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,19,19
CURAHUARA DE CARANGAS,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,9,9
CURVA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,3,3
DESAGUADERO,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,6,6
EL ALTO,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,663,663
EL CHORO,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,12,12
EL PUENTE(STC),atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,2,2
EL PUENTE(TJA),atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,8,8
EL TORNO,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,92,92
EL VILLAR,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,1,1
ENTRE RIOS TRJ,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,22,22
ENTRE RIOS CBBA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,13,13
ESCOMA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,9,9
EUCALIPTUS,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,2,2
EUREKA (SANTOS MERCADO),atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,5,5
EXALTACION,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,3,3
FERNANDEZ ALONSO,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,15,15
FILADELFIA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,3,3
GENERAL SAAVEDRA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,13,13
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,7,7
GUANAY,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,14,14
GUAQUI,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,6,6
GUAYARAMERIN,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,15,15
GUTIERREZ,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,13,13
HUACARETA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,4,4
HUACAYA (VILLA DE HUACAYA),atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,6,6
HUANUNI,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,35,35
HUARACAJE,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,7,7
HUARINA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,4,4
HUATAJATA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,2,2
HUAYLLAMARCA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,1,1
HUMANATA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,5,5
ICHOCA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,1,1
ICLA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,10,10
INCAHUASI,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,15,15
INGAVI (HUMAITA),atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,1,1
INQUISIVI,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,11,11
IRUPANA (VILLA DE LANZA),atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,13,13
IXIAMAS,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,15,15
JESUS DE MACHACA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,10,10
LA ASUNTA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,39,39
LA GUARDIA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,50,50
LA PAZ,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,1262,1262
LAGUNILLAS,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,4,4
LAJA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,23,23
LAS CARRERAS,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,4,4
LICOMA PAMPA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,1,1
LLALLAGUA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,31,31
LLICA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,2,2
LORETO,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,2,2
LURIBAY,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,11,11
MACHACAMARCA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,2,2
MACHARETI,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,5,5
MAGDALENA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,24,24
MAIRANA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,30,30
MALLA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,1,1
MAPIRI,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,19,19
MECAPACA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,10,10
MINEROS,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,17,17
MIZQUE,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,31,31
MOCOMOCO,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,13,13
MOJINETE,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,1,1
MOJOCOYA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,9,9
MONTEAGUDO,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,40,40
MONTERO,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,142,142
MORO MORO,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,1,1
MOROCHATA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,6,6
NAZACARA DE PACAJES,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,2,2
NUEVO MANOA (NUEVA ESPERANZA),atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,2,2
OCURI,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,11,11
OKINAWA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,9,9
OMEREQUE,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,2,2
