municipality,group,variable,month,Mujeres embarazadas que reciben Alimento Complementario Nutri Mamá,TOTAL
CAMIRI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,26,26
CAQUIAVIRI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,8,8
CARACOLLO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,25,25
CARANAVI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,32,32
CARIPUYO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,8,8
CARMEN RIVERO TORREZ,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,17,17
CHALLAPATA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,15,15
CHARAGUA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,14,14
CHAYANTA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,7,7
CHIPAYA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,5,5
CHOQUE COTA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,31,31
CHUMA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,14,14
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,2,2
CLIZA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,17,17
COBIJA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,3,3
COCAPATA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,21,21
COLCAPIRHUA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,52,52
COLPA BELGICA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,21,21
COLQUECHACA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,6,6
COLQUIRI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,18,18
CORO CORO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,10,10
COTAGAITA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,39,39
COTOCA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,134,134
CUCHUMUELA (V. G. VILLARROEL),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,3,3
CUEVO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,1,1
CURAHUARA DE CARANGAS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,4,4
EL ALTO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,601,601
EL CHORO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,4,4
EL TORNO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,3,3
EUCALIPTUS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,5,5
HUACARETA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,1,1
HUANUNI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,11,11
HUAYLLAMARCA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,5,5
HUMANATA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,12,12
ICHOCA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,16,16
ICLA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,7,7
JESUS DE MACHACA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,7,7
LA ASUNTA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,1,1
LA GUARDIA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,323,323
LA PAZ,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,90,90
LICOMA PAMPA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,9,9
LLALLAGUA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,22,22
MAIRANA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,11,11
MIZQUE,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,29,29
MOJINETE,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,15,15
MONTEAGUDO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,4,4
MONTERO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,276,276
MOROCHATA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,3,3
NAZACARA DE PACAJES,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,1,1
OCURI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,23,23
ORURO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,235,235
PAILON,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,21,21
PAMPA AULLAGAS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,4,4
PAPEL PAMPA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,8,8
PASORAPA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,2,2
POCOATA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,47,47
POCONA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,8,8
POJO (CBBA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,30,30
PORCO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,29,29
POROMA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,146,146
PORONGO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,31,31
POTOSI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,470,470
PUERTO CARABUCO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,43,43
PUERTO GONZALO MORENO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,6,6
PUERTO QUIJARRO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,91,91
PUERTO SUAREZ,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,39,39
PUERTO VILLARROEL,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,153,153
QUILLACOLLO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,40,40
RAQAYPAMPA(ETA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,10,10
SABAYA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,3,3
SACACA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,17,17
SALINAS DE GARCI MENDOZA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,9,9
SAN ANDRES DE MACHACA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,2,2
SAN ANTONIO DE ESMORUCO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,4,4
SAN BENITO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,55,55
SAN BORJA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,33,33
SAN IGNACIO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,10,10
SAN JOSE DE CHIQUITOS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,5,5
SAN LORENZO(TJA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,19,19
SAN LUCAS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,112,112
SAN PABLO DE LIPEZ,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,1,1
SAN PEDRO DE BUENA VISTA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,7,7
SAN PEDRO DE MACHA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,17,17
SANTA CRUZ DE LA SIERRA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,1101,1101
SANTIAGO DE HUARI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,10,10
SANTIVAÑES,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,6,6
SANTUARIO DE QUILLACAS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,2,2
SICA SICA (VILLA AROMA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,27,27
SICAYA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,4,4
SORACACHI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,4,4
SORATA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,9,9
TACOPAYA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,8,8
TAPACARI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,13,13
TARATA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,22,22
TARIJA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,398,398
TINGUIPAYA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,8,8
TIQUIPAYA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,52,52
TIRAQUE (CBBA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,93,93
TOCO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,11,11
TOLEDO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,10,10
TOMAVE,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,4,4
TOTORA(CBBA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,1,1
TOTORA(ORR),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,7,7
TUPIZA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,37,37
UNCIA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,27,27
UYUNI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,46,46
VILLA SERRANO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,26,26
VILLA VACA GUZMAN (MUYUPAMPA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,1,1
VILLAZON,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,48,48
VINTO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,83,83
VITICHI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,2,2
YAMPARAEZ,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,6,6
ACACIO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,3,3
AIQUILE,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,14,14
ALALAY,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,2,2
ANDAMARCA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,4,4
ANTEQUERA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,3,3
APOLO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,7,7
ARAMPAMPA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,1,1
ARBIETO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,38,38
ATOCHA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,27,27
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,44,44
BELEN DE ANDAMARCA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,2,2
BOLIVAR,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,1,1
CABEZAS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,54,54
"CAIZA ""D""",micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,104,104
CALACOTO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,16,16
CAMATAQUI (C. VILLA ABECIA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,2,2
CAMIRI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,3,3
CAQUIAVIRI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,11,11
CARACOLLO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,30,30
CARANAVI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,2,2
CARIPUYO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,10,10
CARMEN RIVERO TORREZ,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,16,16
CATACORA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,1,1
CHALLAPATA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,108,108
CHARAGUA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,38,38
CHARAÑA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,2,2
CHIMORE,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,8,8
CHIPAYA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,4,4
CHUMA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,7,7
CLIZA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,9,9
COBIJA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,7,7
COCAPATA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,28,28
COLCAPIRHUA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,24,24
COLPA BELGICA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,15,15
COLQUECHACA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,8,8
COLQUIRI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,27,27
CORO CORO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,12,12
COTOCA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,62,62
CRUZ DE MACHACAMARCA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,1,1
CUCHUMUELA (V. G. VILLARROEL),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,2,2
CURAHUARA DE CARANGAS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,5,5
EL ALTO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,45,45
EL CHORO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,3,3
EL PUENTE(TJA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,1,1
ESCARA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,1,1
EUCALIPTUS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,3,3
HUACAYA (VILLA DE HUACAYA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,1,1
HUANUNI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,16,16
HUAYLLAMARCA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,4,4
HUMANATA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,8,8
ICHOCA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,8,8
ICLA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,4,4
INCAHUASI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,56,56
JESUS DE MACHACA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,8,8
LA GUARDIA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,3,3
LA PAZ,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,2,2
LLALLAGUA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,22,22
MACHACAMARCA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,1,1
MACHARETI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,22,22
MAIRANA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,2,2
MIZQUE,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,41,41
MOJINETE,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,1,1
MONTERO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,107,107
MOROCHATA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,3,3
NAZACARA DE PACAJES,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,3,3
OCURI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,20,20
ORURO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,227,227
PAILON,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,13,13
PAMPA AULLAGAS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,3,3
PAPEL PAMPA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,3,3
PASORAPA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,4,4
POCOATA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,34,34
POCONA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,15,15
POJO (CBBA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,19,19
PORCO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,30,30
POROMA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,31,31
PORONGO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,1,1
POTOSI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,401,401
PUERTO GONZALO MORENO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,26,26
PUERTO SUAREZ,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,13,13
PUERTO VILLARROEL,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,124,124
QUILLACOLLO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,86,86
RAQAYPAMPA(ETA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,4,4
SABAYA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,4,4
SACACA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,10,10
SALINAS DE GARCI MENDOZA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,12,12
SAN ANDRES DE MACHACA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,6,6
SAN ANTONIO DE ESMORUCO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,5,5
SAN BUENA VENTURA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,1,1
SAN JOSE DE CHIQUITOS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,45,45
SAN JULIAN,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,2,2
SAN LUCAS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,130,130
SAN PEDRO DE MACHA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,9,9
SANTA CRUZ DE LA SIERRA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,1292,1292
SANTIAGO DE HUARI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,11,11
SANTIAGO DE MACHACA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,1,1
SANTIVAÑES,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,29,29
SANTUARIO DE QUILLACAS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,3,3
SICA SICA (VILLA AROMA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,40,40
SICAYA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,6,6
SORATA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,9,9
TACOBAMBA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,5,5
TACOPAYA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,8,8
TAPACARI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,40,40
TARATA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,33,33
TARIJA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,348,348
TINGUIPAYA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,19,19
TIQUIPAYA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,40,40
TIRAQUE (CBBA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,65,65
TODOS SANTOS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,2,2
TOLEDO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,6,6
TOMAVE,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,3,3
TOTORA(ORR),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,5,5
URIONDO (A. CONCEPCION),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,1,1
UYUNI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,15,15
VILLA SERRANO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,24,24
VILLA VACA GUZMAN (MUYUPAMPA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,2,2
VINTO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,50,50
VITICHI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,20,20
YAMPARAEZ,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,9,9
ZUDAÑEZ,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-10-01,7,7
