,group,variable,month,TOTAL 2111 ANTIRRÁBICA EN PERROS Y GATOS CANTIDAD,TOTAL 2111 ANTIRRÁBICA EN PERROS Y GATOS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
CLIZA,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,7,2257.0,7,2257.0,2264.0
COBIJA,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,0,42.0,0,42.0,42.0
COCHABAMBA,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,1361,1889.0,1361,1889.0,3250.0
COIPASA,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,0,14.0,0,14.0,14.0
COLCAPIRHUA,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,0,80.0,0,80.0,80.0
"COLCHA ""K""",otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,4,40.0,4,40.0,44.0
COLOMI,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,347,255.0,347,255.0,602.0
COMANCHE,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,0,103.0,0,103.0,103.0
CONCEPCION,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,0,511.0,0,511.0,511.0
COPACABANA,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,10,100.0,10,100.0,110.0
CORQUE,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,0,10.0,0,10.0,10.0
COTAGAITA,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,2,2.0,2,2.0,4.0
CUATRO CAÑADAS,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,1701,1356.0,1701,1356.0,3057.0
EL ALTO,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,100,1439.0,100,1439.0,1539.0
EL TORNO,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,223,0.0,223,0.0,223.0
ESCOMA,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,0,5.0,0,5.0,5.0
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,0,14.0,0,14.0,14.0
HUAYLLAMARCA,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,0,22.0,0,22.0,22.0
HUMANATA,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,0,7.0,0,7.0,7.0
IXIAMAS,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,1,0.0,1,0.0,1.0
LA GUARDIA,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,0,206.0,0,206.0,206.0
LA PAZ,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,186,467.0,186,467.0,653.0
MACHACAMARCA,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,0,10.0,0,10.0,10.0
MACHARETI,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,542,0.0,542,0.0,542.0
MIZQUE,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,26,109.0,26,109.0,135.0
