municipality,group,variable,month,Nº de comunidades que participaron en el CAI de se,TOTAL
UMALA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,8,8
UNCIA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,3,3
URIONDO (A. CONCEPCION),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,30,30
URUBICHA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,4,4
VIACHA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,12,12
VILA VILA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,4,4
VILLA MONTES,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,3,3
VILLA RIVERO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,3,3
VILLA SERRANO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,1,1
VILLA TUNARI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,1,1
VINTO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,9,9
VITICHI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,5,5
WALDO BALLIVIAN,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,4,4
WARNES,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,7,7
YACUIBA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,1,1
YAPACANI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,1,1
YUNCHARA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,13,13
ACHACACHI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,21,21
ACHOCALLA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,4,4
ANCORAIMES,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,29,29
ANDAMARCA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,13,13
ANTEQUERA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,1,1
ANZALDO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,7,7
ARBIETO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,1,1
ASCENCION DE GUARAYOS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,4,4
AUCAPATA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,1,1
AYO AYO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,6,6
BATALLAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,12,12
BELEN DE ANDAMARCA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,5,5
BETANZOS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,6,6
CALACOTO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,1,1
CALAMARCA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,5,5
CAMIRI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,9,9
CAPINOTA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,11,11
CAQUIAVIRI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,2,2
CARACOLLO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,8,8
CARANAVI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,3,3
CARANGAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,8,8
CATACORA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,1,1
CHALLAPATA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,13,13
CHARAGUA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,5,5
CHOQUE COTA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,8,8
CLIZA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,2,2
COCHABAMBA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,10,10
COIPASA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,1,1
COLCAPIRHUA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,4,4
COLLANA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,7,7
COLQUENCHA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,7,7
COPACABANA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,1,1
CORQUE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,4,4
CUATRO CAÑADAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,1,1
CUCHUMUELA (V. G. VILLARROEL),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,2,2
CULPINA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,5,5
CURAHUARA DE CARANGAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,4,4
EL ALTO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,29,29
EL CHORO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,7,7
ENTRE RIOS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,6,6
ESMERALDA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,9,9
EUCALIPTUS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,5,5
FERNANDEZ ALONSO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,2,2
GENERAL SAAVEDRA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,17,17
GUAYARAMERIN,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,57,57
LA ASUNTA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,16,16
LA GUARDIA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,3,3
LA PAZ,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,65,65
LAGUNILLAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,28,28
LICOMA PAMPA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,1,1
MAIRANA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,8,8
MECAPACA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,1,1
MOJINETE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,1,1
MOJOCOYA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,4,4
MONTERO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,16,16
MORO MORO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,2,2
MOROCHATA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,2,2
NAZACARA DE PACAJES,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,1,1
OCURI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,9,9
OKINAWA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,3,3
PAILON,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,5,5
PALCA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,1,1
PATACAMAYA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,2,2
PAZÑA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,11,11
POCONA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,6,6
POJO (CBBA),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,1,1
PORONGO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,5,5
PORTACHUELO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,2,2
POSTRER VALLE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,1,1
POTOSI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,1,1
PUCARA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,2,2
PUCARANI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,25,25
PUERTO CARABUCO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,38,38
PUERTO PEREZ,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,8,8
PUNA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,10,10
PUNATA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,7,7
QUILLACOLLO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,24,24
QUIRUSILLAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,1,1
RIBERALTA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,8,8
ROBORE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,11,11
SABAYA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,4,4
SACABA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,18,18
SACABAMBA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,19,19
SACACA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,28,28
SALINAS DE GARCI MENDOZA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,18,18
SAN ANTONIO DE ESMORUCO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,1,1
SAN ANTONIO DE LOMERIO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,5,5
SAN BENITO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,6,6
SAN CARLOS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,16,16
SAN JOSE DE CHIQUITOS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,5,5
SAN JULIAN,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,64,64
SAN LORENZO(TJA),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,5,5
SAN LUCAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,16,16
SAN MATIAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,1,1
SAN PEDRO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,12,12
SAN PEDRO DE TIQUINA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,4,4
SANTA CRUZ DE LA SIERRA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,14,14
SANTA ROSA DEL SARA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,1,1
SANTIAGO DE CALLAPA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,9,9
SANTIAGO DE HUARI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,14,14
SANTUARIO DE QUILLACAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,13,13
SAPAHAQUI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,1,1
SICA SICA (VILLA AROMA),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,10,10
SICAYA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,12,12
SIPE SIPE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,4,4
SORACACHI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,2,2
SORATA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,6,6
TAPACARI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,23,23
TARIJA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,2,2
TEOPONTE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,12,12
TIRAQUE (CBBA),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,12,12
TODOS SANTOS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,12,12
TORO TORO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,18,18
TOTORA(CBBA),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,1,1
TOTORA(ORR),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,8,8
TRIGAL,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,1,1
TUPIZA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,15,15
UMALA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,3,3
UNCIA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,25,25
URIONDO (A. CONCEPCION),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,11,11
UYUNI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,1,1
VALLEGRANDE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,5,5
VIACHA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,13,13
VILA VILA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,4,4
VILLA MONTES,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,4,4
VILLA RIVERO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,3,3
VINTO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,13,13
WALDO BALLIVIAN,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,4,4
WARNES,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,6,6
YUNCHARA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,10,10
ZUDAÑEZ,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-08-01,55,55
ACHACACHI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,14,14
ACHOCALLA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,2,2
ALALAY,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,3,3
ANCORAIMES,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,25,25
ANDAMARCA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,7,7
ANZALDO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,25,25
ARANI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,5,5
ARBIETO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,2,2
ARQUE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,1,1
AYO AYO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,7,7
BATALLAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,16,16
BAURES,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,3,3
BUENA VISTA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,1,1
"CAIZA ""D""",actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,1,1
CALAMARCA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,5,5
CAMATAQUI (C. VILLA ABECIA),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,2,2
CAMIRI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,6,6
CAQUIAVIRI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,8,8
CARANAVI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,4,4
CARIPUYO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,7,7
CHALLAPATA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,10,10
CHARAGUA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,2,2
CHIMORE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,1,1
CLIZA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,3,3
COCHABAMBA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,1,1
COLLANA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,5,5
COLQUENCHA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,7,7
COMARAPA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,3,3
COPACABANA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,1,1
COROICO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,13,13
CORQUE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,1,1
COTAGAITA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,12,12
COTOCA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,8,8
CUATRO CAÑADAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,2,2
CUCHUMUELA (V. G. VILLARROEL),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,2,2
CULPINA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,1,1
EL ALTO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,55,55
EL CHORO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,16,16
EL PUENTE(STC),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,6,6
EL TORNO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,16,16
EL VILLAR,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,2,2
ENTRE RIOS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,12,12
EUCALIPTUS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,3,3
FERNANDEZ ALONSO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,5,5
GENERAL SAAVEDRA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,24,24
GUAYARAMERIN,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,1,1
HUACARETA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,9,9
HUANUNI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,15,15
ICHOCA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,2,2
LA GUARDIA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,7,7
LA PAZ,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,49,49
LAGUNILLAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,13,13
LAS CARRERAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,8,8
LICOMA PAMPA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,2,2
MAIRANA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,4,4
MECAPACA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,1,1
MINEROS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,5,5
MIZQUE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,3,3
MOCOMOCO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,18,18
MOJOCOYA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,10,10
MONTERO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,14,14
MORO MORO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,2,2
MOROCHATA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,4,4
NAZACARA DE PACAJES,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,2,2
OCURI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,8,8
OKINAWA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,2,2
PATACAMAYA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,2,2
POCOATA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,2,2
POCONA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,8,8
POJO (CBBA),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,1,1
POROMA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,4,4
PORONGO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,6,6
POTOSI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,13,13
PUCARA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,2,2
PUCARANI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,27,27
PUERTO ACOSTA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,2,2
PUERTO CARABUCO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,1,1
PUERTO PEREZ,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,4,4
PUERTO QUIJARRO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,1,1
PUERTO VILLARROEL,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,1,1
PUNA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,38,38
PUNATA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,7,7
QUILLACOLLO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,9,9
QUIRUSILLAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,1,1
RAVELO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,11,11
RIBERALTA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,1,1
ROBORE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,5,5
SACABAMBA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,35,35
SACACA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,2,2
SAMAIPATA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,4,4
SAN ANTONIO DE LOMERIO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,6,6
SAN BENITO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,5,5
SAN BORJA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,17,17
SAN BUENA VENTURA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,1,1
SAN CARLOS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,6,6
SAN JAVIER(BNI),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,3,3
SAN JOSE DE CHIQUITOS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,4,4
SAN JUAN DE YAPACANI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,1,1
SAN JULIAN,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,57,57
SAN LORENZO(TJA),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,19,19
SAN LUCAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,78,78
SAN MATIAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,1,1
SAN PABLO DE LIPEZ,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,12,12
SAN PEDRO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,20,20
SAN PEDRO DE TIQUINA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,4,4
SANTA CRUZ DE LA SIERRA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,9,9
SANTA ROSA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,5,5
SANTA ROSA DEL SARA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,1,1
SANTIAGO DE CALLAPA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,4,4
SAPAHAQUI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,6,6
SICA SICA (VILLA AROMA),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,16,16
SIPE SIPE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,8,8
SORATA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,2,2
TACOPAYA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,7,7
TARABUCO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,6,6
TARATA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,10,10
TEOPONTE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,1,1
TOCO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,4,4
TOLATA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,1,1
TOMINA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,4,4
TORO TORO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,17,17
TOTORA(CBBA),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,2,2
TUPIZA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,5,5
UMALA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,4,4
UNCIA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,1,1
URIONDO (A. CONCEPCION),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,4,4
UYUNI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,1,1
VACAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,7,7
VALLEGRANDE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,5,5
VIACHA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,11,11
VILA VILA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,4,4
VILLA MONTES,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,4,4
VILLA NUEVA (LOMA ALTA),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,4,4
VILLA RIVERO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,3,3
VILLAZON,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,4,4
VINTO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,14,14
WALDO BALLIVIAN,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,4,4
WARNES,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,11,11
YUNCHARA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,13,13
ZUDAÑEZ,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-09-01,1,1
ACACIO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,3,3
ACHACACHI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,10,10
ACHOCALLA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,4,4
ANCORAIMES,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,27,27
ANDAMARCA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,30,30
ANZALDO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,10,10
APOLO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,1,1
ARANI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,5,5
ARQUE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-10-01,2,2
