municipality,group,variable,month,Total 8.7 Niños (as) de 1 año a menores de 5 años con 1ra dosis vitamina A,TOTAL
SAN JUAN DE YAPACANI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,56,56
SAN JULIAN,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,265,265
SAN LORENZO(PND),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,30,30
SAN LORENZO(TJA),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,86,86
SAN LUCAS,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,185,185
SAN MATIAS,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,41,41
SAN MIGUEL DE VELASCO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,112,112
SAN PABLO DE LIPEZ,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,9,9
SAN PEDRO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,72,72
SAN PEDRO DE BUENA VISTA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,195,195
SAN PEDRO DE CURAHUARA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,28,28
SAN PEDRO DE QUEMES,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,2,2
SAN PEDRO DE TIQUINA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,28,28
SAN PEDRO(PND),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,9,9
SAN RAFAEL,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,29,29
SAN RAMON SCZ,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,62,62
SANTA ANA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,25,25
SANTA CRUZ DE LA SIERRA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,2942,2942
SANTA ROSA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,36,36
SANTA ROSA DEL SARA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,86,86
SANTIAGO DE CALLAPA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,14,14
SANTIAGO DE HUARI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,64,64
SANTIAGO DE HUATA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,36,36
SANTIAGO DE MACHACA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,11,11
SANTIVAÑES,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,37,37
SANTUARIO DE QUILLACAS,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,52,52
SAPAHAQUI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,52,52
SENA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,41,41
SHINAOTA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,111,111
SICA SICA (VILLA AROMA),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,126,126
SICAYA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,20,20
SIPE SIPE,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,242,242
SOPACHUY,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,46,46
SORACACHI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,55,55
SORATA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,114,114
SUCRE,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,1663,1663
TACACHI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,4,4
TACACOMA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,18,18
TACOBAMBA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,45,45
TACOPAYA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,35,35
TAHUA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,1,1
TAPACARI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,79,79
TARABUCO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,108,108
TARACO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,17,17
TARATA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,43,43
TARIJA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,1003,1003
TARVITA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,86,86
TEOPONTE,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,51,51
TIAWANACU,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,20,20
TINGUIPAYA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,159,159
TIPUANI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,52,52
TIQUIPAYA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,277,277
TIRAQUE (CBBA),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,99,99
TITO YUPANQUI (PARQUIPUJIO),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,8,8
TOCO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,30,30
TOLATA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,44,44
TOLEDO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,16,16
TOMAVE,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,69,69
TOMINA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,61,61
TORO TORO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,71,71
TOTORA(CBBA),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,100,100
TOTORA(ORR),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,14,14
TRIGAL,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,3,3
TRINIDAD,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,500,500
TUPIZA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,162,162
TURCO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,34,34
UMALA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,25,25
UNCIA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,173,173
URIONDO (A. CONCEPCION),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,111,111
URUBICHA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,36,36
UYUNI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,83,83
VACAS,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,31,31
VALLEGRANDE,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,66,66
VIACHA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,214,214
VILA VILA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,21,21
VILLA CHARCAS,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,91,91
VILLA MONTES,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,196,196
VILLA NUEVA (LOMA ALTA),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,23,23
VILLA RIVERO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,46,46
VILLA SERRANO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,62,62
VILLA TUNARI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,414,414
VILLA VACA GUZMAN (MUYUPAMPA),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,60,60
VILLAZON,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,231,231
VINTO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,198,198
VITICHI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,11,11
WALDO BALLIVIAN,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,12,12
WARNES,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,564,564
YACO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,27,27
YACUIBA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,385,385
YAMPARAEZ,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,58,58
YANACACHI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,27,27
YAPACANI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,152,152
YOCALLA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,26,26
YOTALA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,52,52
YUNCHARA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,39,39
ZUDAÑEZ,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-10-01,49,49
ACACIO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,37,37
ACHACACHI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,197,197
ACHOCALLA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,51,51
AIQUILE,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,130,130
ALALAY,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,14,14
ALCALA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,23,23
ALTO BENI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,56,56
ANCORAIMES,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,57,57
ANDAMARCA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,15,15
ANTEQUERA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,16,16
ANZALDO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,24,24
APOLO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,65,65
ARAMPAMPA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,17,17
ARANI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,70,70
ARBIETO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,107,107
ARQUE,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,84,84
ASCENCION DE GUARAYOS,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,75,75
ATOCHA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,87,87
AUCAPATA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,28,28
AYATA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,66,66
AYO AYO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,34,34
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,145,145
AZURDUY,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,68,68
BATALLAS,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,93,93
BAURES,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,26,26
BELEN DE ANDAMARCA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,5,5
BELEN DE URMIRI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,7,7
BELLA FLOR,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,19,19
BERMEJO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,78,78
BETANZOS,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,228,228
BOLIVAR,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,50,50
BOLPEBRA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,11,11
BOYUIBE,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,7,7
BUENA VISTA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,39,39
CABEZAS,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,97,97
CAIROMA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,72,72
"CAIZA ""D""",micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,44,44
CAJUATA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,29,29
CALACOTO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,25,25
CALAMARCA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,66,66
CAMARGO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,83,83
CAMATAQUI (C. VILLA ABECIA),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,14,14
CAMIRI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,134,134
CAPINOTA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,127,127
CAQUIAVIRI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,38,38
CARACOLLO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,87,87
CARANAVI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,204,204
CARAPARI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,82,82
CARIPUYO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,49,49
CARMEN RIVERO TORREZ,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,36,36
CATACORA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,4,4
CHACARILLA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,6,6
CHALLAPATA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,161,161
CHAQUI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,37,37
CHARAGUA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,134,134
CHARAÑA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,5,5
CHAYANTA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,78,78
CHIMORE,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,91,91
CHIPAYA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,7,7
CHOQUE COTA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,4,4
CHUA COCANI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,16,16
CHULUMANI (V. DE LA LIBERTAD),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,95,95
CHUMA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,36,36
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,17,17
CKOCHAS,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,57,57
CLIZA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,69,69
COBIJA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,260,260
COCAPATA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,122,122
COCHABAMBA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,1207,1207
COIPASA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,3,3
COLCAPIRHUA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,358,358
"COLCHA ""K""",micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,71,71
COLLANA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,1,1
COLOMI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,101,101
COLPA BELGICA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,42,42
COLQUECHACA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,155,155
COLQUENCHA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,41,41
COLQUIRI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,53,53
COMANCHE,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,10,10
COMARAPA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,59,59
COMBAYA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,14,14
CONCEPCION,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,8,8
COPACABANA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,88,88
CORIPATA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,74,74
CORO CORO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,32,32
COROICO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,129,129
CORQUE,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,27,27
COTAGAITA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,104,104
COTOCA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,259,259
CUATRO CAÑADAS,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,120,120
CUCHUMUELA (V. G. VILLARROEL),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,5,5
CUEVO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,36,36
CULPINA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,108,108
CURAHUARA DE CARANGAS,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,11,11
CURVA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,19,19
DESAGUADERO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,25,25
EL ALTO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,3717,3717
EL CHORO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,33,33
EL PUENTE(STC),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,60,60
EL PUENTE(TJA),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,48,48
EL TORNO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,229,229
EL VILLAR,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,22,22
ENTRE RIOS TRJ,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,89,89
ENTRE RIOS CBBA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,136,136
ESCOMA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,33,33
ESMERALDA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,1,1
EUCALIPTUS,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,14,14
EUREKA (SANTOS MERCADO),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,13,13
EXALTACION,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,6,6
FERNANDEZ ALONSO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,45,45
FILADELFIA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,29,29
GENERAL SAAVEDRA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,103,103
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,53,53
GUANAY,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,59,59
GUAQUI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,24,24
GUAYARAMERIN,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,197,197
GUTIERREZ,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,61,61
HUACARETA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,52,52
HUACAYA (VILLA DE HUACAYA),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,21,21
HUACHACALLA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,3,3
HUANUNI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,235,235
HUARACAJE,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,4,4
HUARINA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,32,32
HUATAJATA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,11,11
HUAYLLAMARCA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,20,20
HUMANATA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,24,24
ICHOCA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-11-01,19,19
