municipality,group,variable,month,Total 8.2 Mujeres puérperas con dosis completa de hierro,TOTAL
TOTORA(ORR),micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,6,6
TRIGAL,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,2,2
TRINIDAD,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,388,388
TUPIZA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,142,142
TURCO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,2,2
UMALA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,13,13
UNCIA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,26,26
URIONDO (A. CONCEPCION),micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,10,10
URUBICHA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,4,4
UYUNI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,49,49
VACAS,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,10,10
