municipality,group,variable,month,Total 1310 Días camas disponibles otros servicios,TOTAL
LA PAZ,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,63064,63064
LAGUNILLAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,124,124
LAJA,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,30,30
LLALLAGUA,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,1085,1085
LLICA,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,62,62
LURIBAY,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,31,31
MACHARETI,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,465,465
MAGDALENA,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,248,248
MAPIRI,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,62,62
MIZQUE,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,930,930
MOJINETE,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,31,31
MOJOCOYA,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,320,320
MONTEAGUDO,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,1548,1548
MOROCHATA,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,62,62
OCURI,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,372,372
OMEREQUE,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,248,248
ORURO,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,13141,13141
PADILLA,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,465,465
PAILON,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,522,522
PALOS BLANCOS,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,217,217
PAPEL PAMPA,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,31,31
PASORAPA,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,217,217
PATACAMAYA,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,180,180
POCOATA,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,124,124
POCONA,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,248,248
POJO (CBBA),internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,217,217
POROMA,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,31,31
PORTACHUELO,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,1395,1395
POTOSI,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,11523,11523
PRESTO,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,278,278
PUCARANI,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,186,186
PUERTO VILLARROEL,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,1643,1643
PUNATA,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,1643,1643
QUILLACOLLO,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,176,176
QUIME,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,31,31
RAVELO,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,62,62
REYES,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,186,186
RIBERALTA,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,2418,2418
ROBORE,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,1426,1426
RURRENABAQUE,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,651,651
SACABA,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,2099,2099
SACABAMBA,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,31,31
SACACA,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,310,310
SAN ANDRES DE MACHACA,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,31,31
SAN ANTONIO DE LOMERIO,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,186,186
SAN BENITO,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,62,62
SAN BORJA,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,526,526
SAN BUENA VENTURA,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,217,217
SAN IGNACIO DE VELASCO,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,2449,2449
SAN JOAQUIN,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,124,124
SAN JOSE DE CHIQUITOS,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,1178,1178
SAN JULIAN,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,744,744
SAN LUCAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,1057,1057
SAN MATIAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,559,559
SAN MIGUEL DE VELASCO,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,217,217
SAN PEDRO DE BUENA VISTA,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,155,155
SAN PEDRO DE TIQUINA,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,31,31
SAN RAFAEL,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,155,155
SAN RAMON BENI,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,217,217
SAN RAMON SCZ,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,310,310
SANTA ANA,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,434,434
SANTA CRUZ DE LA SIERRA,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,31494,31494
SANTA ROSA,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,186,186
SANTA ROSA DEL SARA,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,186,186
SANTIAGO DE MACHACA,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,62,62
SANTIVAÑES,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,279,279
SAPAHAQUI,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,31,31
SHINAOTA,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,504,504
SOPACHUY,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,986,986
SUCRE,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,34721,34721
TACOPAYA,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,91,91
TAPACARI,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,217,217
TARABUCO,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,744,744
TARATA,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,93,93
TARIJA,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,5553,5553
TARVITA,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,583,583
TEOPONTE,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,31,31
TIPUANI,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,93,93
TIQUIPAYA,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,744,744
TIRAQUE (CBBA),internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,93,93
TOCO,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,62,62
TOLATA,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,62,62
TOMINA,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,496,496
TORO TORO,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,217,217
TOTORA(CBBA),internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,682,682
TRINIDAD,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,7195,7195
UNCIA,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,93,93
UYUNI,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,1703,1703
VILA VILA,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,93,93
VILLA CHARCAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,31,31
VILLA MONTES,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,1116,1116
VILLA RIVERO,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,124,124
VILLA SERRANO,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,279,279
VILLA TUNARI,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,341,341
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,368,368
VILLAZON,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,1240,1240
VINTO,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,158,158
YAMPARAEZ,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,248,248
YAPACANI,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,687,687
ZUDAÑEZ,internaciones dias camas,       dias camas disponibles otros servicios,2014-10-01,186,186
ACHACACHI,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,480,480
AIQUILE,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,1320,1320
ALALAY,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,30,30
ALCALA,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,60,60
ANTEQUERA,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,30,30
ANZALDO,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,60,60
APOLO,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,270,270
ARAMPAMPA,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,150,150
ARBIETO,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,210,210
ARQUE,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,90,90
ATOCHA,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,1037,1037
AUCAPATA,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,30,30
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,840,840
AZURDUY,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,457,457
BAURES,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,60,60
BERMEJO,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,765,765
BETANZOS,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,180,180
BOLIVAR,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,28,28
BOYUIBE,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,390,390
BUENA VISTA,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,183,183
CABEZAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,300,300
CAIROMA,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,120,120
"CAIZA ""D""",internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,90,90
CALACOTO,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,60,60
CAMARGO,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,974,974
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,93,93
CAMIRI,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,870,870
CAPINOTA,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,430,430
CARACOLLO,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,240,240
CARANAVI,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,1050,1050
CHALLAPATA,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,720,720
CHAQUI,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,90,90
CHAYANTA,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,120,120
CHIMORE,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,91,91
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,690,690
CLIZA,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,420,420
COBIJA,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,2640,2640
COCAPATA,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,118,118
COCHABAMBA,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,48594,48594
COLCAPIRHUA,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,1083,1083
COLOMI,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,180,180
COLPA BELGICA,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,253,253
COLQUECHACA,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,120,120
COLQUIRI,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,210,210
CONCEPCION,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,30,30
COROICO,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,960,960
COTAGAITA,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,270,270
COTOCA,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,660,660
CUATRO CAÑADAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,130,130
CUEVO,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,186,186
CULPINA,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,450,450
DESAGUADERO,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,62,62
EL ALTO,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,14132,14132
EL TORNO,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,3210,3210
EL VILLAR,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,210,210
ENTRE RIOS CBBA,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,180,180
ESCOMA,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,180,180
FERNANDEZ ALONSO,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,180,180
GUAQUI,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,6,6
GUAYARAMERIN,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,1374,1374
HUACARETA,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,412,412
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,55,55
HUANUNI,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,1680,1680
HUARACAJE,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,60,60
HUAYLLAMARCA,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,61,61
ICLA,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,404,404
INCAHUASI,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,270,270
INQUISIVI,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,30,30
IRUPANA (VILLA DE LANZA),internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,390,390
IXIAMAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,180,180
JESUS DE MACHACA,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,390,390
LA ASUNTA,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,480,480
LA PAZ,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,63958,63958
LAGUNILLAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,180,180
LLALLAGUA,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,1050,1050
LLICA,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,60,60
LURIBAY,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,60,60
MACHACAMARCA,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,90,90
MACHARETI,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,420,420
MAGDALENA,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,240,240
MAPIRI,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,120,120
MINEROS,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,210,210
MIZQUE,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,900,900
MOCOMOCO,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,30,30
MOJOCOYA,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,326,326
MONTEAGUDO,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,1560,1560
MONTERO,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,2774,2774
MOROCHATA,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,120,120
OCURI,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,360,360
OMEREQUE,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,240,240
ORURO,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,13769,13769
PADILLA,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,480,480
PAILON,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,728,728
PALOS BLANCOS,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,390,390
PASORAPA,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,180,180
PATACAMAYA,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,180,180
POCOATA,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,120,120
POCONA,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,210,210
POJO (CBBA),internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,240,240
POOPO,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,90,90
POROMA,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,480,480
PORTACHUELO,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,1350,1350
PORVENIR,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,152,152
POTOSI,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,6991,6991
PRESTO,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,202,202
PUCARANI,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,180,180
PUERTO RICO,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,326,326
PUERTO VILLARROEL,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,1383,1383
PUNA,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,120,120
PUNATA,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,1530,1530
QUILLACOLLO,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,1070,1070
QUIME,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,209,209
RAVELO,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,60,60
REYES,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,180,180
RIBERALTA,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,3224,3224
ROBORE,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,1797,1797
RURRENABAQUE,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,630,630
SACABA,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,1923,1923
SACABAMBA,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,210,210
SACACA,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,300,300
SALINAS DE GARCI MENDOZA,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,60,60
SAN ANTONIO DE LOMERIO,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,150,150
SAN BORJA,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,602,602
SAN BUENA VENTURA,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,210,210
SAN IGNACIO DE VELASCO,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,2370,2370
SAN JAVIER(STC),internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,300,300
SAN JOAQUIN,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,124,124
SAN JOSE DE CHIQUITOS,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,1200,1200
SAN JULIAN,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,573,573
SAN LUCAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,1058,1058
SAN MATIAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,558,558
SAN MIGUEL DE VELASCO,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,210,210
SAN PEDRO,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,370,370
SAN PEDRO DE BUENA VISTA,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,150,150
SAN PEDRO DE TIQUINA,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,1,1
SAN RAFAEL,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,240,240
SAN RAMON BENI,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,210,210
SAN RAMON SCZ,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,300,300
SANTA ANA,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,420,420
SANTA CRUZ DE LA SIERRA,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,29004,29004
SANTA ROSA,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,180,180
SANTA ROSA DEL SARA,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,180,180
SANTIAGO DE HUARI,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,90,90
SANTIVAÑES,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,150,150
SANTUARIO DE QUILLACAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,60,60
SENA,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,151,151
SOPACHUY,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,955,955
SUCRE,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,43396,43396
TACOPAYA,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,84,84
TAPACARI,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,150,150
TARABUCO,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,630,630
TARATA,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,120,120
TARIJA,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,13880,13880
TARVITA,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,540,540
TIAWANACU,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,30,30
TIQUIPAYA,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,219,219
TIRAQUE (CBBA),internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,90,90
TOCO,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,90,90
TOLATA,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,60,60
TOMINA,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,480,480
TORO TORO,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,150,150
TOTORA(CBBA),internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,660,660
TRINIDAD,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,7212,7212
TUPIZA,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,2574,2574
UNCIA,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,90,90
UYUNI,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,1530,1530
VILA VILA,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,90,90
VILLA CHARCAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,28,28
VILLA MONTES,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,1080,1080
VILLA RIVERO,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,120,120
VILLA SERRANO,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,330,330
VILLA TUNARI,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,1756,1756
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,300,300
VILLAZON,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,1200,1200
VINTO,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,63,63
YACUIBA,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,2376,2376
YAMPARAEZ,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,221,221
YANACACHI,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,90,90
YAPACANI,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,668,668
YOTALA,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,210,210
ZUDAÑEZ,internaciones dias camas,       dias camas disponibles otros servicios,2014-11-01,180,180
ACACIO,internaciones dias camas,       dias camas disponibles otros servicios,2014-12-01,124,124
ACHACACHI,internaciones dias camas,       dias camas disponibles otros servicios,2014-12-01,496,496
AIQUILE,internaciones dias camas,       dias camas disponibles otros servicios,2014-12-01,1332,1332
ALALAY,internaciones dias camas,       dias camas disponibles otros servicios,2014-12-01,31,31
ALCALA,internaciones dias camas,       dias camas disponibles otros servicios,2014-12-01,62,62
ANCORAIMES,internaciones dias camas,       dias camas disponibles otros servicios,2014-12-01,60,60
ANTEQUERA,internaciones dias camas,       dias camas disponibles otros servicios,2014-12-01,31,31
APOLO,internaciones dias camas,       dias camas disponibles otros servicios,2014-12-01,279,279
ARAMPAMPA,internaciones dias camas,       dias camas disponibles otros servicios,2014-12-01,155,155
ARBIETO,internaciones dias camas,       dias camas disponibles otros servicios,2014-12-01,155,155
ARQUE,internaciones dias camas,       dias camas disponibles otros servicios,2014-12-01,124,124
ATOCHA,internaciones dias camas,       dias camas disponibles otros servicios,2014-12-01,648,648
AUCAPATA,internaciones dias camas,       dias camas disponibles otros servicios,2014-12-01,31,31
AYO AYO,internaciones dias camas,       dias camas disponibles otros servicios,2014-12-01,30,30
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,       dias camas disponibles otros servicios,2014-12-01,806,806
AZURDUY,internaciones dias camas,       dias camas disponibles otros servicios,2014-12-01,510,510
BAURES,internaciones dias camas,       dias camas disponibles otros servicios,2014-12-01,62,62
BELLA FLOR,internaciones dias camas,       dias camas disponibles otros servicios,2014-12-01,31,31
BERMEJO,internaciones dias camas,       dias camas disponibles otros servicios,2014-12-01,946,946
BETANZOS,internaciones dias camas,       dias camas disponibles otros servicios,2014-12-01,248,248
BOLIVAR,internaciones dias camas,       dias camas disponibles otros servicios,2014-12-01,60,60
BOYUIBE,internaciones dias camas,       dias camas disponibles otros servicios,2014-12-01,341,341
BUENA VISTA,internaciones dias camas,       dias camas disponibles otros servicios,2014-12-01,243,243
CABEZAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-12-01,310,310
CAIROMA,internaciones dias camas,       dias camas disponibles otros servicios,2014-12-01,62,62
CAMARGO,internaciones dias camas,       dias camas disponibles otros servicios,2014-12-01,1009,1009
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,       dias camas disponibles otros servicios,2014-12-01,93,93
CAMIRI,internaciones dias camas,       dias camas disponibles otros servicios,2014-12-01,1230,1230
CAPINOTA,internaciones dias camas,       dias camas disponibles otros servicios,2014-12-01,403,403
CARACOLLO,internaciones dias camas,       dias camas disponibles otros servicios,2014-12-01,248,248
CARANAVI,internaciones dias camas,       dias camas disponibles otros servicios,2014-12-01,1085,1085
CARIPUYO,internaciones dias camas,       dias camas disponibles otros servicios,2014-12-01,155,155
CHALLAPATA,internaciones dias camas,       dias camas disponibles otros servicios,2014-12-01,744,744
CHAQUI,internaciones dias camas,       dias camas disponibles otros servicios,2014-12-01,93,93
