municipality,group,variable,month,Total 13.8 Días camas ocupadas otros servicios,TOTAL
SAN CARLOS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-09-01,354,354
SAN IGNACIO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-09-01,135,135
SAN IGNACIO DE VELASCO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-09-01,1260,1260
SAN JAVIER(STC),internaciones dias camas,      dias camas ocupadas otros servicios,2014-09-01,73,73
SAN JOAQUIN,internaciones dias camas,      dias camas ocupadas otros servicios,2014-09-01,72,72
SAN JOSE DE CHIQUITOS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-09-01,316,316
SAN JUAN DE YAPACANI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-09-01,180,180
SAN JULIAN,internaciones dias camas,      dias camas ocupadas otros servicios,2014-09-01,320,320
SAN LORENZO(PND),internaciones dias camas,      dias camas ocupadas otros servicios,2014-09-01,15,15
SAN LUCAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-09-01,103,103
SAN MATIAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-09-01,118,118
SAN MIGUEL DE VELASCO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-09-01,58,58
SAN PEDRO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-09-01,25,25
SAN PEDRO DE BUENA VISTA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-09-01,3,3
SAN RAFAEL,internaciones dias camas,      dias camas ocupadas otros servicios,2014-09-01,89,89
SAN RAMON BENI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-09-01,81,81
SAN RAMON SCZ,internaciones dias camas,      dias camas ocupadas otros servicios,2014-09-01,75,75
SANTA ANA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-09-01,161,161
SANTA CRUZ DE LA SIERRA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-09-01,31455,31455
SANTA ROSA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-09-01,70,70
SANTA ROSA DEL SARA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-09-01,31,31
SANTIAGO DE HUARI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-09-01,8,8
SENA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-09-01,91,91
SHINAOTA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-09-01,150,150
SOPACHUY,internaciones dias camas,      dias camas ocupadas otros servicios,2014-09-01,39,39
SORATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-09-01,21,21
SUCRE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-09-01,26195,26195
TACACHI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-09-01,2,2
TACOPAYA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-09-01,10,10
TARABUCO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-09-01,163,163
TARACO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-09-01,30,30
TARIJA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-09-01,8922,8922
TARVITA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-09-01,29,29
TIPUANI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-09-01,26,26
TIQUIPAYA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-09-01,198,198
TIRAQUE (CBBA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-09-01,4,4
TOLATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-09-01,5,5
TOMINA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-09-01,3,3
TOTORA(CBBA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-09-01,43,43
TRIGAL,internaciones dias camas,      dias camas ocupadas otros servicios,2014-09-01,8,8
TRINIDAD,internaciones dias camas,      dias camas ocupadas otros servicios,2014-09-01,4447,4447
TUPIZA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-09-01,1356,1356
UNCIA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-09-01,5,5
URUBICHA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-09-01,33,33
UYUNI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-09-01,317,317
VACAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-09-01,6,6
VALLEGRANDE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-09-01,377,377
VIACHA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-09-01,238,238
VILA VILA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-09-01,11,11
VILLA CHARCAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-09-01,3,3
VILLA MONTES,internaciones dias camas,      dias camas ocupadas otros servicios,2014-09-01,588,588
VILLA RIVERO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-09-01,11,11
VILLA SERRANO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-09-01,11,11
VILLA TUNARI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-09-01,736,736
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-09-01,15,15
VILLAZON,internaciones dias camas,      dias camas ocupadas otros servicios,2014-09-01,540,540
VINTO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-09-01,440,440
WARNES,internaciones dias camas,      dias camas ocupadas otros servicios,2014-09-01,351,351
YACUIBA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-09-01,2131,2131
YAPACANI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-09-01,434,434
YOTALA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-09-01,52,52
ZUDAÑEZ,internaciones dias camas,      dias camas ocupadas otros servicios,2014-09-01,30,30
ACHACACHI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,61,61
AIQUILE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,237,237
ALCALA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,5,5
APOLO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,36,36
ARAMPAMPA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,1,1
ATOCHA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,206,206
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,69,69
AZURDUY,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,36,36
BAURES,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,80,80
BETANZOS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,22,22
BOYUIBE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,67,67
BUENA VISTA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,58,58
CABEZAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,74,74
CAIROMA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,2,2
CALAMARCA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,3,3
CAMARGO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,330,330
CAMIRI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,754,754
CAPINOTA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,34,34
CARACOLLO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,37,37
CARANAVI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,360,360
CHAYANTA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,26,26
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,234,234
CLIZA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,119,119
COBIJA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,19,19
COCHABAMBA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,31645,31645
COLCAPIRHUA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,253,253
"COLCHA ""K""",internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,1,1
COLOMI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,2,2
COLPA BELGICA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,68,68
COLQUIRI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,2,2
CONCEPCION,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,30,30
COROICO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,350,350
COTAGAITA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,36,36
CUATRO CAÑADAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,186,186
CULPINA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,96,96
EL ALTO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,6580,6580
ENTRE RIOS CBBA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,12,12
ESCOMA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,23,23
GUANAY,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,2,2
GUAQUI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,120,120
GUAYARAMERIN,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,1438,1438
GUTIERREZ,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,64,64
HUACARETA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,126,126
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,2,2
HUARACAJE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,18,18
HUAYLLAMARCA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,2,2
ICLA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,1,1
INCAHUASI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,5,5
IRUPANA (VILLA DE LANZA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,234,234
IXIAMAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,44,44
JESUS DE MACHACA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,25,25
LA ASUNTA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,80,80
LA PAZ,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,50502,50502
LAGUNILLAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,6,6
LAJA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,1,1
LLALLAGUA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,518,518
MACHARETI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,8,8
MAGDALENA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,278,278
MAPIRI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,15,15
MIZQUE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,105,105
MOJOCOYA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,21,21
MONTEAGUDO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,654,654
MOROCHATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,1,1
OCURI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,1,1
OMEREQUE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,20,20
ORURO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,7695,7695
PADILLA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,361,361
PAILON,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,161,161
PALOS BLANCOS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,43,43
PASORAPA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,4,4
PATACAMAYA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,21,21
POCOATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,9,9
POCONA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,1,1
POJO (CBBA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,8,8
PORTACHUELO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,495,495
POTOSI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,7092,7092
PRESTO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,28,28
PUCARANI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,10,10
PUERTO VILLARROEL,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,643,643
PUNATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,917,917
QUILLACOLLO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,234,234
QUIME,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,3,3
REYES,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,100,100
RIBERALTA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,2112,2112
ROBORE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,225,225
RURRENABAQUE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,453,453
SACABA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,871,871
SAN ANTONIO DE LOMERIO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,32,32
SAN BENITO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,11,11
SAN BORJA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,243,243
SAN BUENA VENTURA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,42,42
SAN IGNACIO DE VELASCO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,1185,1185
SAN JOAQUIN,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,32,32
SAN JOSE DE CHIQUITOS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,355,355
SAN JULIAN,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,148,148
SAN LUCAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,49,49
SAN MATIAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,93,93
SAN MIGUEL DE VELASCO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,57,57
SAN PEDRO DE BUENA VISTA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,21,21
SAN PEDRO DE TIQUINA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,3,3
SAN RAFAEL,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,90,90
SAN RAMON BENI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,57,57
SAN RAMON SCZ,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,64,64
SANTA ANA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,252,252
SANTA CRUZ DE LA SIERRA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,21140,21140
SANTA ROSA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,59,59
SANTA ROSA DEL SARA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,26,26
SHINAOTA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,102,102
SICA SICA (VILLA AROMA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,8,8
SOPACHUY,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,50,50
SUCRE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,27077,27077
TACACOMA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,30,30
TACOPAYA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,2,2
TARABUCO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,163,163
TARIJA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,2602,2602
TARVITA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,25,25
TEOPONTE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,10,10
TIPUANI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,75,75
TIQUIPAYA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,220,220
TIRAQUE (CBBA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,1,1
TOLATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,11,11
TOMINA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,24,24
TORO TORO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,9,9
TOTORA(CBBA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,19,19
TRINIDAD,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,4356,4356
UNCIA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,10,10
UYUNI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,423,423
VILA VILA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,1,1
VILLA MONTES,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,696,696
VILLA RIVERO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,8,8
VILLA SERRANO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,34,34
VILLA TUNARI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,41,41
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,11,11
VILLAZON,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,505,505
VINTO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,175,175
YAPACANI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,613,613
ZUDAÑEZ,internaciones dias camas,      dias camas ocupadas otros servicios,2014-10-01,62,62
ACHACACHI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,123,123
AIQUILE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,210,210
APOLO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,27,27
ARAMPAMPA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,1,1
ARQUE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,30,30
ATOCHA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,225,225
AUCAPATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,92,92
AZURDUY,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,23,23
BAURES,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,65,65
BELLA FLOR,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,2,2
BERMEJO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,613,613
BETANZOS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,10,10
BOLIVAR,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,2,2
BOYUIBE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,47,47
BUENA VISTA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,61,61
CABEZAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,68,68
CAIROMA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,2,2
CAMARGO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,296,296
CAMIRI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,758,758
CAPINOTA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,51,51
CARACOLLO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,17,17
CARANAVI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,397,397
CHALLAPATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,146,146
CHAYANTA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,18,18
CHIMORE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,1,1
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,274,274
CKOCHAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,30,30
CLIZA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,74,74
COBIJA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,1652,1652
COCAPATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,2,2
COCHABAMBA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,30588,30588
COLCAPIRHUA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,221,221
COLOMI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,1,1
COLPA BELGICA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,93,93
COLQUIRI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,6,6
CONCEPCION,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,3,3
COPACABANA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,3,3
COROICO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,494,494
COTAGAITA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,35,35
COTOCA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,128,128
CUATRO CAÑADAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,182,182
CUEVO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,14,14
CULPINA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,59,59
EL ALTO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,8653,8653
EL TORNO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,1148,1148
ENTRE RIOS CBBA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,26,26
ESCOMA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,71,71
FERNANDEZ ALONSO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,20,20
GUAQUI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,120,120
GUAYARAMERIN,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,1224,1224
GUTIERREZ,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,16,16
HUACARETA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,128,128
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,5,5
HUACHACALLA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,90,90
HUANUNI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,1082,1082
HUARACAJE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,26,26
HUAYLLAMARCA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,7,7
ICLA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,16,16
INCAHUASI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,14,14
INQUISIVI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,4,4
IRUPANA (VILLA DE LANZA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,26,26
IXIAMAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,12,12
JESUS DE MACHACA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,9,9
LA ASUNTA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,1,1
LA PAZ,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,52687,52687
LAGUNILLAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,15,15
LLALLAGUA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,531,531
MACHARETI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,12,12
MAGDALENA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,169,169
MAPIRI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,12,12
MINEROS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,48,48
MIZQUE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,167,167
MOCOMOCO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,1,1
MOJOCOYA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,4,4
MONTEAGUDO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,700,700
MONTERO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,1403,1403
MOROCHATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,1,1
OMEREQUE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,18,18
ORURO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,7548,7548
PADILLA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,269,269
PAILON,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,444,444
PALOS BLANCOS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,38,38
PASORAPA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,6,6
PATACAMAYA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,37,37
POCOATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,5,5
POJO (CBBA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,4,4
POROMA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,3,3
PORTACHUELO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,706,706
PORVENIR,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,3,3
POTOSI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,6341,6341
PRESTO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,38,38
PUCARANI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,1,1
PUERTO RICO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,64,64
PUERTO VILLARROEL,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,448,448
PUNA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,6,6
PUNATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,918,918
QUILLACOLLO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,174,174
QUIME,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,5,5
REYES,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,88,88
RIBERALTA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,2885,2885
ROBORE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,242,242
RURRENABAQUE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,523,523
SACABA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,747,747
SACABAMBA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,23,23
SACACA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,5,5
SAN ANTONIO DE LOMERIO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,16,16
SAN BORJA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,275,275
SAN BUENA VENTURA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,34,34
SAN IGNACIO DE VELASCO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,722,722
