municipality,group,variable,month,l 13.8 Días camas ocupadas otros servicios,TOTAL
CHIMORE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,2,2
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,324,324
CLIZA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,58,58
COBIJA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,1358,1358
COCAPATA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,2,2
COCHABAMBA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,34567,34567
COLCAPIRHUA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,249,249
"COLCHA ""K""",internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,4,4
COLOMI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,2,2
COLPA BELGICA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,89,89
COLQUIRI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,5,5
COMARAPA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,123,123
COPACABANA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,2,2
CORIPATA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,3,3
CORO CORO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,95,95
COROICO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,268,268
COTAGAITA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,39,39
COTOCA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,214,214
CUATRO CAÑADAS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,101,101
CUEVO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,14,14
CULPINA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,99,99
EL ALTO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,7162,7162
EL PUENTE(STC),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,19,19
EL TORNO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,882,882
EL VILLAR,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,45,45
ENTRE RIOS TRJ,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,99,99
ENTRE RIOS CBBA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,8,8
ESCOMA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,106,106
EUCALIPTUS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,1,1
EXALTACION,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,8,8
FERNANDEZ ALONSO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,211,211
GENERAL SAAVEDRA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,24,24
GUANAY,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,15,15
GUAYARAMERIN,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,1735,1735
GUTIERREZ,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,61,61
HUACARETA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,44,44
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,13,13
HUACHACALLA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,9,9
HUANUNI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,412,412
HUARACAJE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,37,37
INCAHUASI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,32,32
INGAVI (HUMAITA),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,2,2
IRUPANA (VILLA DE LANZA),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,61,61
IXIAMAS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,25,25
JESUS DE MACHACA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,28,28
LA ASUNTA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,41,41
LA GUARDIA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,212,212
LA PAZ,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,37649,37649
LAGUNILLAS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,17,17
LAS CARRERAS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,1,1
LICOMA PAMPA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,2,2
LLALLAGUA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,450,450
MACHACAMARCA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,1,1
MACHARETI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,19,19
MAGDALENA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,147,147
MAIRANA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,112,112
MAPIRI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,51,51
MINEROS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,90,90
MIZQUE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,125,125
MOJOCOYA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,10,10
MONTEAGUDO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,632,632
MONTERO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,1689,1689
MOROCHATA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,2,2
NACEBE (SANTA ROSA DEL ABUNA),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,2,2
OCURI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,4,4
OKINAWA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,20,20
OMEREQUE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,68,68
ORURO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,7705,7705
PADILLA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,261,261
PAILON,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,39,39
PALOS BLANCOS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,83,83
PATACAMAYA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,44,44
POCOATA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,6,6
POROMA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,20,20
PORTACHUELO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,486,486
PORVENIR,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,6,6
POSTRER VALLE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,2,2
POTOSI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,8441,8441
PRESTO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,2,2
PUCARANI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,15,15
PUERTO CARABUCO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,2,2
PUERTO GONZALO MORENO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,20,20
PUERTO PEREZ,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,1,1
PUERTO QUIJARRO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,70,70
PUERTO RICO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,44,44
PUERTO SILES,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,5,5
PUERTO SUAREZ,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,212,212
PUERTO VILLARROEL,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,372,372
PUNA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,16,16
PUNATA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,633,633
QUILLACOLLO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,138,138
QUIME,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,1,1
QUIRUSILLAS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,2,2
REYES,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,28,28
RIBERALTA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,2681,2681
ROBORE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,258,258
RURRENABAQUE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,356,356
SACABA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,790,790
SACABAMBA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,7,7
SACACA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,10,10
SAIPINA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,16,16
SALINAS DE GARCI MENDOZA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,5,5
SAMAIPATA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,51,51
SAN ANTONIO DE LOMERIO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,24,24
SAN BENITO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,1,1
SAN BORJA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,220,220
SAN BUENA VENTURA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,39,39
SAN CARLOS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,363,363
SAN IGNACIO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,308,308
SAN IGNACIO DE VELASCO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,1489,1489
SAN JAVIER(STC),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,21,21
SAN JOAQUIN,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,119,119
SAN JOSE DE CHIQUITOS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,363,363
SAN JUAN DE YAPACANI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,218,218
SAN JULIAN,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,275,275
SAN LORENZO(PND),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,5,5
SAN LUCAS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,125,125
SAN MATIAS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,44,44
SAN MIGUEL DE VELASCO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,72,72
SAN PEDRO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,881,881
SAN PEDRO DE BUENA VISTA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,11,11
SAN RAFAEL,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,93,93
SAN RAMON BENI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,93,93
SAN RAMON SCZ,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,67,67
SANTA ANA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,350,350
SANTA CRUZ DE LA SIERRA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,37280,37280
SANTA ROSA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,98,98
SANTA ROSA DEL SARA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,103,103
SANTIAGO DE HUARI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,6,6
SANTIVAÑES,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,2,2
SENA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,11,11
SHINAOTA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,167,167
SOPACHUY,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,39,39
SORATA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,17,17
SUCRE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,24879,24879
TACOPAYA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,2,2
TAPACARI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,1,1
TARABUCO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,161,161
TARIJA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,9918,9918
TARVITA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,77,77
TEOPONTE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,4,4
TIPUANI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,71,71
TIQUIPAYA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,152,152
TOLATA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,15,15
TOMAVE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,6,6
TOMINA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,18,18
TOTORA(CBBA),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,111,111
TRIGAL,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,9,9
TRINIDAD,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,2535,2535
TUPIZA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,579,579
UNCIA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,6,6
URUBICHA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,30,30
UYUNI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,406,406
VALLEGRANDE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,458,458
VIACHA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,203,203
VILLA CHARCAS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,11,11
VILLA MONTES,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,586,586
VILLA RIVERO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,7,7
VILLA SERRANO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,21,21
VILLA TUNARI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,1414,1414
VILLAZON,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,610,610
VINTO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,81,81
WARNES,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,335,335
YACUIBA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,1827,1827
YAPACANI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,527,527
YOTALA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,2,2
YUNCHARA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,1,1
ZUDAÑEZ,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-10-01,15,15
ACHACACHI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,60,60
AIQUILE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,224,224
ALALAY,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,1,1
ALCALA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,3,3
ANCORAIMES,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,30,30
ANZALDO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,81,81
APOLO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,21,21
ARAMPAMPA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,1,1
ARANI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,3,3
ASCENCION DE GUARAYOS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,482,482
ATOCHA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,76,76
AYATA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,6,6
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,31,31
AZURDUY,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,29,29
BAURES,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,36,36
BERMEJO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,757,757
BETANZOS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,37,37
BUENA VISTA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,88,88
CABEZAS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,48,48
CAMARGO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,417,417
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,10,10
CAMIRI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,683,683
CAPINOTA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,79,79
CARACOLLO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,28,28
CARANAVI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,343,343
CARAPARI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,3,3
CARMEN RIVERO TORREZ,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,14,14
CHALLAPATA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,260,260
CHARAGUA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,337,337
CHAYANTA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,38,38
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,247,247
CLIZA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,58,58
COBIJA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,1569,1569
COCAPATA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,2,2
COCHABAMBA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,32753,32753
COLCAPIRHUA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,274,274
"COLCHA ""K""",internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,6,6
COLPA BELGICA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,39,39
COLQUECHACA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,2,2
COMARAPA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,87,87
CONCEPCION,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,90,90
COPACABANA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,186,186
CORIPATA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,4,4
CORO CORO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,2,2
COROICO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,374,374
COTAGAITA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,55,55
COTOCA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,179,179
CUATRO CAÑADAS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,128,128
CUEVO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,14,14
CULPINA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,68,68
EL ALTO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,7260,7260
EL PUENTE(STC),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,30,30
EL TORNO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,916,916
EL VILLAR,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,7,7
ENTRE RIOS TRJ,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,90,90
ENTRE RIOS CBBA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,10,10
ESCOMA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,64,64
EXALTACION,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,2,2
FERNANDEZ ALONSO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,216,216
FILADELFIA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,4,4
GENERAL SAAVEDRA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,25,25
GRAL. J.J. PEREZ (CHARAZANI),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,1,1
GUANAY,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,9,9
GUAYARAMERIN,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,1529,1529
GUTIERREZ,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,78,78
HUACARETA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,36,36
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,19,19
HUANUNI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,344,344
HUARACAJE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,24,24
HUAYLLAMARCA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,3,3
INCAHUASI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,12,12
IRUPANA (VILLA DE LANZA),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,37,37
IXIAMAS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,47,47
JESUS DE MACHACA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,37,37
LA ASUNTA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,115,115
LA GUARDIA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,255,255
LA PAZ,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,46725,46725
LAGUNILLAS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,5,5
LLALLAGUA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,416,416
LURIBAY,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,1,1
MACHACAMARCA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,2,2
MACHARETI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,11,11
MAGDALENA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,129,129
MAIRANA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,84,84
MAPIRI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,41,41
MINEROS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,54,54
MIZQUE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,89,89
MOJOCOYA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,10,10
MONTEAGUDO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,520,520
MONTERO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,1735,1735
OCURI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,17,17
OKINAWA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,30,30
OMEREQUE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,3,3
ORURO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,7202,7202
PADILLA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,234,234
PAILON,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,87,87
PALOS BLANCOS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,190,190
PASORAPA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,3,3
PATACAMAYA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,52,52
POCOATA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,2,2
POROMA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,10,10
PORTACHUELO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,540,540
PORVENIR,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,2,2
POSTRER VALLE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,2,2
POTOSI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,6493,6493
PRESTO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,3,3
PUCARANI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,7,7
PUERTO CARABUCO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,2,2
PUERTO GONZALO MORENO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,11,11
PUERTO QUIJARRO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-11-01,47,47
