municipality,group,variable,month,l 1310 Días camas disponibles otros servicios,TOTAL
VILLA MONTES,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-10-01,1116,1116
VILLA RIVERO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-10-01,93,93
VILLA SERRANO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-10-01,279,279
VILLA TUNARI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-10-01,2262,2262
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-10-01,310,310
VILLAZON,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-10-01,1333,1333
VINTO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-10-01,250,250
VITICHI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-10-01,87,87
WARNES,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-10-01,707,707
YACUIBA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-10-01,2356,2356
YAMPARAEZ,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-10-01,341,341
YAPACANI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-10-01,1180,1180
YOTALA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-10-01,217,217
ZUDAÑEZ,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-10-01,93,93
ACACIO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,120,120
ACHACACHI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,450,450
AIQUILE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,1530,1530
ALALAY,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,90,90
ALCALA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,60,60
ANCORAIMES,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,31,31
ANDAMARCA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,30,30
ANTEQUERA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,30,30
ANZALDO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,390,390
APOLO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,270,270
ARAMPAMPA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,150,150
ARANI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,60,60
ARBIETO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,91,91
ARQUE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,150,150
ASCENCION DE GUARAYOS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,930,930
ATOCHA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,1525,1525
AYATA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,120,120
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,840,840
AZURDUY,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,201,201
BAURES,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,60,60
BELEN DE ANDAMARCA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,30,30
BERMEJO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,957,957
BETANZOS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,240,240
BOLIVAR,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,122,122
BUENA VISTA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,276,276
CABEZAS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,240,240
CAIROMA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,60,60
"CAIZA ""D""",internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,30,30
CAMARGO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,1207,1207
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,90,90
CAMIRI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,1325,1325
CAPINOTA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,360,360
CARACOLLO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,210,210
CARANAVI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,1050,1050
CARAPARI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,87,87
CARIPUYO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,150,150
CARMEN RIVERO TORREZ,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,349,349
CHALLAPATA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,570,570
CHAQUI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,30,30
CHARAGUA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,900,900
CHAYANTA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,120,120
CHIMORE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,180,180
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,780,780
CKOCHAS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,60,60
CLIZA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,240,240
COBIJA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,2363,2363
COCAPATA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,333,333
COCHABAMBA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,50759,50759
COLCAPIRHUA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,1100,1100
"COLCHA ""K""",internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,60,60
COLOMI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,210,210
COLPA BELGICA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,270,270
COLQUECHACA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,120,120
COMARAPA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,799,799
CONCEPCION,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,390,390
COPACABANA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,180,180
CORIPATA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,60,60
CORO CORO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,180,180
COROICO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,960,960
CORQUE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,60,60
COTAGAITA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,270,270
COTOCA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,652,652
CUATRO CAÑADAS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,522,522
CUCHUMUELA (V. G. VILLARROEL),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,60,60
CUEVO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,120,120
CULPINA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,510,510
CURAHUARA DE CARANGAS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,240,240
DESAGUADERO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,60,60
EL ALTO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,15192,15192
EL PUENTE(STC),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,150,150
EL TORNO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,2850,2850
EL VILLAR,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,240,240
ENTRE RIOS TRJ,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,433,433
ENTRE RIOS CBBA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,300,300
ESCOMA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,510,510
EUCALIPTUS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,150,150
EXALTACION,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,60,60
FERNANDEZ ALONSO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,445,445
FILADELFIA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,26,26
GENERAL SAAVEDRA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,240,240
GRAL. J.J. PEREZ (CHARAZANI),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,60,60
GUANAY,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,120,120
GUAYARAMERIN,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,1224,1224
GUTIERREZ,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,630,630
HUACARETA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,506,506
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,191,191
HUACHACALLA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,60,60
HUANUNI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,1470,1470
HUARACAJE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,30,30
HUAYLLAMARCA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,60,60
ICLA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,180,180
INCAHUASI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,300,300
IRUPANA (VILLA DE LANZA),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,360,360
IXIAMAS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,180,180
JESUS DE MACHACA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,390,390
LA ASUNTA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,215,215
LA GUARDIA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,1110,1110
LA PAZ,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,65121,65121
LAGUNILLAS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,120,120
LAS CARRERAS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,240,240
LLALLAGUA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,990,990
LLICA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,60,60
LURIBAY,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,150,150
MACHACAMARCA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,60,60
MACHARETI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,450,450
MAGDALENA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,240,240
MAIRANA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,60,60
MAPIRI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,120,120
MINEROS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,150,150
MIZQUE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,870,870
MOJOCOYA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,200,200
MONTEAGUDO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,1410,1410
MONTERO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,2496,2496
MORO MORO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,90,90
MOROCHATA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,240,240
NACEBE (SANTA ROSA DEL ABUNA),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,60,60
OCURI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,120,120
OKINAWA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,210,210
OMEREQUE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,120,120
ORURO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,14356,14356
PADILLA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,450,450
PAILON,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,586,586
PALOS BLANCOS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,420,420
PASORAPA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,90,90
PATACAMAYA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,390,390
PAZÑA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,60,60
POCOATA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,120,120
POCONA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,360,360
POJO (CBBA),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,210,210
POOPO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,90,90
POROMA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,632,632
PORONGO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,300,300
PORTACHUELO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,1140,1140
PORVENIR,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,120,120
POSTRER VALLE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,60,60
POTOSI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,10980,10980
PRESTO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,297,297
PUCARA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,60,60
PUCARANI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,180,180
PUERTO CARABUCO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,60,60
PUERTO GONZALO MORENO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,54,54
PUERTO QUIJARRO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,180,180
PUERTO RICO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,320,320
PUERTO SILES,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,29,29
PUERTO SUAREZ,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,1280,1280
PUERTO VILLARROEL,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,1140,1140
PUNA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,120,120
PUNATA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,1530,1530
QUIABAYA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,30,30
QUILLACOLLO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,690,690
QUIME,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,120,120
QUIRUSILLAS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,30,30
RAVELO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,60,60
REYES,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,180,180
RIBERALTA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,3000,3000
ROBORE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,1453,1453
RURRENABAQUE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,390,390
SABAYA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,119,119
SACABA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,1827,1827
SACABAMBA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,90,90
SACACA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,300,300
SAIPINA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,133,133
SALINAS DE GARCI MENDOZA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,90,90
SAMAIPATA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,90,90
SAN ANDRES,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,29,29
SAN ANTONIO DE LOMERIO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,90,90
SAN BENITO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,60,60
SAN BORJA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,513,513
SAN BUENA VENTURA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,210,210
SAN CARLOS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,1050,1050
SAN IGNACIO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,690,690
SAN IGNACIO DE VELASCO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,2820,2820
SAN JAVIER(BNI),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,30,30
SAN JAVIER(STC),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,300,300
SAN JOAQUIN,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,120,120
SAN JOSE DE CHIQUITOS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,1188,1188
SAN JUAN DE YAPACANI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,182,182
SAN JULIAN,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,900,900
SAN LORENZO(PND),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,84,84
SAN LUCAS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,630,630
SAN MATIAS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,332,332
SAN MIGUEL DE VELASCO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,210,210
SAN PEDRO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,491,491
SAN PEDRO DE BUENA VISTA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,150,150
SAN RAFAEL,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,240,240
SAN RAMON BENI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,120,120
SAN RAMON SCZ,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,814,814
SANTA ANA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,420,420
SANTA CRUZ DE LA SIERRA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,40473,40473
SANTA ROSA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,180,180
SANTA ROSA DEL SARA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,180,180
SANTIAGO DE HUARI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,120,120
SANTIAGO DE MACHACA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,60,60
SANTIVAÑES,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,278,278
SENA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,81,81
SHINAOTA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,660,660
SICAYA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,30,30
SIPE SIPE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,60,60
SOPACHUY,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,808,808
SORATA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,600,600
SUCRE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,30693,30693
TACACOMA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,120,120
TACOPAYA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,180,180
TAPACARI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,180,180
TARABUCO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,30,30
TARATA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,150,150
TARIJA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,12930,12930
TARVITA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,664,664
TEOPONTE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,60,60
TIPUANI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,210,210
TIQUIPAYA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,720,720
TIRAQUE (CBBA),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,90,90
TOCO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,91,91
TOLATA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,60,60
TOLEDO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,90,90
TOMAVE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,180,180
TOMINA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,660,660
TORO TORO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,30,30
TOTORA(CBBA),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,630,630
TRIGAL,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,60,60
TRINIDAD,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,5182,5182
TUPIZA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,1500,1500
TURCO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,150,150
UNCIA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,90,90
URUBICHA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,180,180
UYUNI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,1230,1230
VACAS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,150,150
VALLEGRANDE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,660,660
VIACHA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,1083,1083
VILA VILA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,90,90
VILLA CHARCAS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,90,90
VILLA MONTES,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,1080,1080
VILLA RIVERO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,90,90
VILLA SERRANO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,270,270
VILLA TUNARI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,2161,2161
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,240,240
VILLAZON,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,1230,1230
VINTO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,250,250
VITICHI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,120,120
WARNES,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,682,682
YACO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,120,120
YACUIBA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,2270,2270
YAMPARAEZ,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,330,330
YANACACHI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,60,60
YAPACANI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,1278,1278
YOTALA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,210,210
YUNCHARA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,28,28
ZUDAÑEZ,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-11-01,90,90
ACHACACHI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-12-01,496,496
AIQUILE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-12-01,1612,1612
ALALAY,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-12-01,124,124
ALCALA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-12-01,62,62
ANCORAIMES,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-12-01,164,164
ANTEQUERA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-12-01,31,31
ANZALDO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-12-01,403,403
APOLO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-12-01,279,279
ARAMPAMPA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-12-01,155,155
ARBIETO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-12-01,62,62
ARQUE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-12-01,154,154
ASCENCION DE GUARAYOS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-12-01,959,959
ATOCHA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-12-01,1547,1547
AYATA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-12-01,62,62
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-12-01,868,868
AZURDUY,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-12-01,312,312
BAURES,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-12-01,62,62
BELEN DE ANDAMARCA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-12-01,31,31
BERMEJO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-12-01,1457,1457
BETANZOS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-12-01,248,248
BOLIVAR,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-12-01,186,186
BOYUIBE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-12-01,341,341
BUENA VISTA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-12-01,278,278
CABEZAS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-12-01,279,279
CAIROMA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-12-01,248,248
"CAIZA ""D""",internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-12-01,31,31
CAMARGO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-12-01,60,60
