,group,variable,month,TOTAL 4.4 MUJERES CON 4TA CONSULTA PRENATAL TOTAL 4.4 MUJERES CON 4TA CONSULTA PRENATAL,TOTAL 4.4 MUJERES CON 4TA CONSULTA PRENATAL TOTAL 4.4 MUJERES CON 4TA CONSULTA PRENATAL,TOTALES
SAN PEDRO DE CURAHUARA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,3,0,3
SAN PEDRO DE TIQUINA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,2,1,3
SAN PEDRO(PND),consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,2,0,2
SAN RAFAEL,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,5,0,5
SAN RAMON BENI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,7,0,7
SAN RAMON SCZ,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,17,0,17
SANTA ANA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,53,0,53
SANTA CRUZ DE LA SIERRA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,2217,14,2231
SANTA ROSA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,8,0,8
SANTA ROSA DEL SARA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,10,0,10
SANTIAGO DE CALLAPA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,2,0,2
SANTIAGO DE HUARI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,6,0,6
SANTIAGO DE HUATA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,3,0,3
SANTIAGO DE MACHACA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,2,0,2
SANTIVAÑES,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,6,0,6
SANTUARIO DE QUILLACAS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,5,0,5
SAPAHAQUI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,2,2,4
SENA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,10,0,10
SHINAOTA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,48,0,48
SICA SICA (VILLA AROMA),consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,27,1,28
SICAYA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,4,2,6
SIPE SIPE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,70,0,70
SOPACHUY,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,16,1,17
SORACACHI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,6,0,6
SORATA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,4,1,5
SUCRE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,705,12,717
TACACHI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,2,0,2
TACACOMA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,9,0,9
TACOBAMBA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,5,3,8
TACOPAYA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,10,1,11
TAPACARI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,13,2,15
TARABUCO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,20,3,23
TARACO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,3,0,3
TARATA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,15,0,15
TARIJA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,377,17,394
TARVITA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,16,0,16
TEOPONTE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,14,3,17
TIAWANACU,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,4,2,6
TINGUIPAYA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,13,4,17
TIPUANI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,21,0,21
TIQUIPAYA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,82,3,85
TIRAQUE (CBBA),consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,18,1,19
TOCO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,15,5,20
TOLATA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,5,0,5
TOLEDO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,1,1,2
TOMAVE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,7,3,10
TOMINA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,10,2,12
TORO TORO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,7,4,11
TOTORA(CBBA),consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,19,2,21
TOTORA(ORR),consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,3,2,5
TRINIDAD,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,215,2,217
TUPIZA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,71,3,74
TURCO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,4,0,4
UMALA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,3,1,4
UNCIA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,23,19,42
URIONDO (A. CONCEPCION),consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,17,0,17
UYUNI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,92,3,95
VACAS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,6,0,6
VIACHA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,48,4,52
VILA VILA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,1,0,1
VILLA CHARCAS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,18,8,26
VILLA MONTES,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,81,4,85
VILLA NUEVA (LOMA ALTA),consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,1,1,2
VILLA RIVERO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,11,0,11
VILLA SERRANO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,18,4,22
VILLA TUNARI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,104,1,105
VILLA VACA GUZMAN (MUYUPAMPA),consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,20,0,20
VILLAZON,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,60,2,62
VINTO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,131,0,131
VITICHI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,2,0,2
WALDO BALLIVIAN,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,2,0,2
YACO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,2,3,5
YACUIBA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,107,1,108
YAMPARAEZ,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,15,2,17
YANACACHI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,4,0,4
YAPACANI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,59,8,67
YOCALLA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,13,1,14
YOTALA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,13,0,13
YUNCHARA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,2,4,6
ZUDAÑEZ,consultas prenatales, mujeres con 4ta consulta prenatal,2014-10-01,9,2,11
ACACIO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,7,2,9
ACHACACHI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,35,6,41
ACHOCALLA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,10,12,22
AIQUILE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,17,3,20
ALCALA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,6,1,7
ALTO BENI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,3,1,4
ANCORAIMES,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,9,0,9
ANDAMARCA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,2,3,5
ANTEQUERA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,2,3,5
ANZALDO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,1,1,2
APOLO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,14,6,20
ARAMPAMPA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,5,2,7
ARANI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,24,1,25
ARBIETO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,9,4,13
ARQUE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,4,1,5
ATOCHA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,17,0,17
AUCAPATA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,1,3,4
AYATA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,6,0,6
AYO AYO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,8,0,8
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,23,3,26
AZURDUY,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,11,10,21
BATALLAS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,13,2,15
BAURES,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,1,0,1
BELEN DE ANDAMARCA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,1,0,1
BELEN DE URMIRI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,0,2,2
BELLA FLOR,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,5,1,6
BERMEJO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,60,0,60
BETANZOS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,27,6,33
BOLIVAR,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,1,0,1
BOLPEBRA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,0,1,1
BOYUIBE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,4,0,4
BUENA VISTA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,4,0,4
CABEZAS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,18,11,29
CAIROMA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,12,0,12
"CAIZA ""D""",consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,8,0,8
CAJUATA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,18,0,18
CALACOTO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,2,3,5
CALAMARCA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,16,3,19
CAMARGO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,49,7,56
CAMATAQUI (C. VILLA ABECIA),consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,2,0,2
CAMIRI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,33,3,36
CAPINOTA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,25,0,25
CAQUIAVIRI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,11,1,12
CARACOLLO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,10,13,23
CARANAVI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,116,0,116
CARAPARI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,28,0,28
CARIPUYO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,8,3,11
CHACARILLA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,2,0,2
CHALLAPATA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,39,4,43
CHAQUI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,17,0,17
CHARAÑA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,4,0,4
CHAYANTA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,12,6,18
CHIMORE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,30,1,31
CHIPAYA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,2,0,2
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,63,0,63
CHUMA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,4,2,6
CHUQUIHUTA AYLLU JUCUMANI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,7,1,8
CKOCHAS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,10,2,12
CLIZA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,15,5,20
COBIJA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,105,1,106
COCAPATA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,11,13,24
COCHABAMBA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,1065,1,1066
COLCAPIRHUA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,76,2,78
"COLCHA ""K""",consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,18,0,18
COLLANA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,1,1,2
COLOMI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,9,0,9
COLPA BELGICA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,12,0,12
COLQUECHACA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,31,9,40
COLQUENCHA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,9,0,9
COLQUIRI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,17,7,24
COMANCHE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,2,5,7
COMBAYA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,0,1,1
CONCEPCION,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,4,0,4
COPACABANA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,7,0,7
CORIPATA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,12,0,12
CORO CORO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,3,2,5
COROICO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,22,0,22
CORQUE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,3,0,3
COTAGAITA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,11,2,13
COTOCA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,72,0,72
CUATRO CAÑADAS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,24,0,24
CUCHUMUELA (V. G. VILLARROEL),consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,1,0,1
CUEVO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,6,0,6
CULPINA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,38,4,42
CURAHUARA DE CARANGAS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,3,0,3
DESAGUADERO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,10,0,10
EL ALTO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,1107,134,1241
EL CHORO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,0,2,2
EL PUENTE(TJA),consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,7,1,8
EL TORNO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,109,0,109
EL VILLAR,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,5,2,7
ENTRE RIOS TRJ,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,14,3,17
ENTRE RIOS CBBA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,65,0,65
ESCARA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,1,0,1
ESCOMA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,3,0,3
EUCALIPTUS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,6,0,6
EUREKA (SANTOS MERCADO),consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,3,1,4
EXALTACION,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,2,0,2
FERNANDEZ ALONSO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,10,0,10
FILADELFIA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,7,1,8
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,13,1,14
GUANAY,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,18,2,20
GUAQUI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,11,0,11
GUAYARAMERIN,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,90,2,92
GUTIERREZ,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,6,1,7
HUACARETA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,7,2,9
HUACAYA (VILLA DE HUACAYA),consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,4,1,5
HUANUNI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,27,0,27
HUARACAJE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,4,0,4
HUARINA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,4,0,4
HUMANATA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,1,2,3
ICHOCA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,2,0,2
ICLA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,8,5,13
INCAHUASI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,6,11,17
INGAVI (HUMAITA),consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,4,0,4
INQUISIVI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,5,0,5
IRUPANA (VILLA DE LANZA),consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,1,5,6
IXIAMAS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,9,0,9
JESUS DE MACHACA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,18,1,19
LA ASUNTA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,50,8,58
LA PAZ,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,943,13,956
LAGUNILLAS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,9,4,13
LAJA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,18,2,20
LAS CARRERAS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,4,0,4
LLALLAGUA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,64,0,64
LLICA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,1,1,2
LORETO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,2,0,2
LURIBAY,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,6,1,7
MACHARETI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,10,1,11
MAGDALENA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,16,0,16
MALLA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,1,0,1
MAPIRI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,28,4,32
MECAPACA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,5,2,7
MINEROS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,35,0,35
MIZQUE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,39,0,39
MOCOMOCO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,12,3,15
MOJOCOYA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,11,1,12
MONTEAGUDO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,37,7,44
MONTERO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,58,0,58
MOROCHATA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,1,3,4
NACEBE (SANTA ROSA DEL ABUNA),consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,1,1,2
NUEVO MANOA (NUEVA ESPERANZA),consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,4,4,8
OCURI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,11,4,15
OMEREQUE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,4,0,4
ORURO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,394,5,399
PADCAYA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,19,1,20
PADILLA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,10,0,10
PAILON,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,21,1,22
PALCA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,40,0,40
PALOS BLANCOS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,32,0,32
PAMPA AULLAGAS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,1,0,1
PAPEL PAMPA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,8,1,9
PATACAMAYA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,41,0,41
PAZÑA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,8,0,8
PELECHUCO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,3,1,4
POCOATA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,6,15,21
POCONA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,7,0,7
POJO (CBBA),consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,7,0,7
POOPO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,1,0,1
PORCO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,11,9,20
POROMA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,20,7,27
PORTACHUELO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,31,0,31
PORVENIR,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,8,0,8
POTOSI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,327,2,329
PRESTO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,7,9,16
PUCARANI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,11,5,16
PUERTO ACOSTA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,3,7,10
PUERTO CARABUCO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,5,4,9
PUERTO GONZALO MORENO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,12,0,12
PUERTO PEREZ,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,0,4,4
PUERTO RICO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,12,0,12
PUERTO VILLARROEL,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,42,0,42
PUNA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,14,5,19
PUNATA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,53,1,54
QUIABAYA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,3,0,3
QUILLACOLLO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,169,12,181
QUIME,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,13,0,13
RAVELO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,5,6,11
REYES,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,20,4,24
RIBERALTA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,177,12,189
ROBORE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,21,0,21
RURRENABAQUE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,29,0,29
SABAYA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,3,0,3
SACABA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,233,0,233
SACABAMBA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,0,1,1
SACACA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,21,3,24
SALINAS DE GARCI MENDOZA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,10,5,15
SAN AGUSTIN,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,1,0,1
SAN ANDRES,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,5,0,5
SAN ANDRES DE MACHACA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,5,1,6
SAN ANTONIO DE ESMORUCO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,2,0,2
SAN ANTONIO DE LOMERIO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,6,1,7
SAN BENITO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,9,0,9
SAN BORJA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,58,0,58
SAN BUENA VENTURA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,14,0,14
SAN CARLOS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,31,0,31
SAN IGNACIO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,23,10,33
SAN IGNACIO DE VELASCO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,68,2,70
SAN JAVIER(BNI),consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,2,0,2
SAN JAVIER(STC),consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,16,0,16
SAN JOAQUIN,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,6,0,6
SAN JOSE DE CHIQUITOS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,21,0,21
SAN JUAN DE YAPACANI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,12,1,13
SAN JULIAN,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,83,2,85
SAN LORENZO(PND),consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,7,0,7
SAN LORENZO(TJA),consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,28,2,30
SAN LUCAS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,54,20,74
SAN MATIAS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,28,0,28
SAN MIGUEL DE VELASCO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,14,0,14
SAN PABLO DE LIPEZ,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,3,0,3
SAN PEDRO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,6,0,6
SAN PEDRO DE BUENA VISTA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,22,5,27
SAN PEDRO DE CURAHUARA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-11-01,7,0,7
