municipality,group,variable,month,Otros,TOTAL
ROBORE,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,4,4
RURRENABAQUE,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,5,5
SACABA,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,53,53
SAN ANTONIO DE LOMERIO,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,1,1
SAN BORJA,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,10,10
SAN CARLOS,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,3,3
SAN IGNACIO,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,1,1
SAN IGNACIO DE VELASCO,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,99,99
SAN JOAQUIN,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,2,2
SAN JOSE DE CHIQUITOS,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,3,3
SAN JULIAN,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,9,9
SAN MATIAS,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,2,2
SAN MIGUEL DE VELASCO,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,2,2
SAN RAFAEL,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,2,2
SAN RAMON,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,23,23
SANTA ANA,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,2,2
SANTA CRUZ DE LA SIERRA,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,1060,1060
SANTA ROSA,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,1,1
SOPACHUY,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,5,5
SUCRE,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,223,223
TARABUCO,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,9,9
TARATA,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,2,2
TARIJA,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,75,75
TIQUIPAYA,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,5,5
TIRAQUE (CBBA),diagnostico de egreso en menores de 5 anos,otros,2006-12-01,13,13
TOLEDO,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,1,1
TRINIDAD,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,270,270
TUPIZA,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,49,49
UNCIA,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,52,52
VALLEGRANDE,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,7,7
VILLA MONTES,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,20,20
VILLA TUNARI,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,7,7
VILLA VACA GUZMAN (MUYUPAMPA),diagnostico de egreso en menores de 5 anos,otros,2006-12-01,34,34
VILLAZON,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,24,24
VINTO,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,1,1
WARNES,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,6,6
YACUIBA,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,35,35
YAPACANI,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,14,14
