municipality,group,variable,month,Partos atendidos por partera empírica,TOTAL
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,partos atendidos por partera empirica,2016-09-01,1,1
SAN LORENZO(PND),atencion de partos en domicilio,partos atendidos por partera empirica,2016-09-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-09-01,2,2
SICA SICA (VILLA AROMA),atencion de partos en domicilio,partos atendidos por partera empirica,2016-09-01,1,1
SUCRE,atencion de partos en domicilio,partos atendidos por partera empirica,2016-09-01,2,2
TARATA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-09-01,1,1
TINGUIPAYA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-09-01,2,2
TIQUIPAYA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-09-01,2,2
VILLA TUNARI,atencion de partos en domicilio,partos atendidos por partera empirica,2016-09-01,1,1
YOCALLA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-09-01,1,1
AIQUILE,atencion de partos en domicilio,partos atendidos por partera empirica,2016-10-01,1,1
ARQUE,atencion de partos en domicilio,partos atendidos por partera empirica,2016-10-01,1,1
AYO AYO,atencion de partos en domicilio,partos atendidos por partera empirica,2016-10-01,1,1
CABEZAS,atencion de partos en domicilio,partos atendidos por partera empirica,2016-10-01,24,24
CAPINOTA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-10-01,1,1
CAQUIAVIRI,atencion de partos en domicilio,partos atendidos por partera empirica,2016-10-01,1,1
CHIMORE,atencion de partos en domicilio,partos atendidos por partera empirica,2016-10-01,2,2
COLQUECHACA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-10-01,1,1
EL ALTO,atencion de partos en domicilio,partos atendidos por partera empirica,2016-10-01,1,1
LA ASUNTA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-10-01,1,1
MACHACAMARCA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-10-01,1,1
MOCOMOCO,atencion de partos en domicilio,partos atendidos por partera empirica,2016-10-01,1,1
MOROCHATA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-10-01,1,1
OCURI,atencion de partos en domicilio,partos atendidos por partera empirica,2016-10-01,1,1
PAILON,atencion de partos en domicilio,partos atendidos por partera empirica,2016-10-01,1,1
RAVELO,atencion de partos en domicilio,partos atendidos por partera empirica,2016-10-01,1,1
