,group,variable,month,NIÑOS DE 1 A 4 AÑOS NUEVO,NIÑOS DE 1 A 4 AÑOS NUEVO,NIÑOS DE 1 A 4 AÑOS REPETIDO,NIÑOS DE 1 A 4 AÑOS REPETIDO,NIÑOS DE 1 A 4 AÑOS PRIMERA,NIÑOS DE 1 A 4 AÑOS PRIMERA,TOTALES,TOTALES,TOTALES
SAN LORENZO(PND),consulta externa,ninos  de 1 a 4 anos,2024-01-01,99,86,0,0,0,0,185,0,185
SAN LORENZO(TJA),consulta externa,ninos  de 1 a 4 anos,2024-01-01,273,291,20,13,251,271,564,33,597
SAN LUCAS,consulta externa,ninos  de 1 a 4 anos,2024-01-01,371,334,16,16,314,285,705,32,737
SAN MATIAS,consulta externa,ninos  de 1 a 4 anos,2024-01-01,123,95,8,2,0,0,218,10,228
SAN MIGUEL DE VELASCO,consulta externa,ninos  de 1 a 4 anos,2024-01-01,112,76,8,7,0,0,188,15,203
SAN PABLO DE LIPEZ,consulta externa,ninos  de 1 a 4 anos,2024-01-01,15,17,0,0,3,3,32,0,32
SAN PEDRO,consulta externa,ninos  de 1 a 4 anos,2024-01-01,227,237,12,13,0,0,464,25,489
SAN PEDRO DE BUENA VISTA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,88,85,3,3,61,65,173,6,179
SAN PEDRO DE CURAHUARA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,48,56,2,3,0,0,104,5,109
SAN PEDRO DE MACHA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,140,122,0,1,0,0,262,1,263
SAN PEDRO DE QUEMES,consulta externa,ninos  de 1 a 4 anos,2024-01-01,6,12,1,0,0,0,18,1,19
SAN PEDRO DE TIQUINA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,29,42,16,22,0,0,71,38,109
SAN PEDRO(PND),consulta externa,ninos  de 1 a 4 anos,2024-01-01,33,33,0,0,33,33,66,0,66
SAN RAFAEL,consulta externa,ninos  de 1 a 4 anos,2024-01-01,104,82,26,16,0,0,186,42,228
SAN RAMON BENI,consulta externa,ninos  de 1 a 4 anos,2024-01-01,41,53,4,6,0,0,94,10,104
SAN RAMON SCZ,consulta externa,ninos  de 1 a 4 anos,2024-01-01,77,46,4,0,0,0,123,4,127
SANTA ANA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,89,103,63,41,0,0,192,104,296
SANTA CRUZ DE LA SIERRA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,9164,8054,2764,2427,2297,2142,17218,5191,22409
SANTA ROSA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,73,73,10,0,71,77,146,10,156
SANTA ROSA DEL SARA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,78,70,6,3,117,92,148,9,157
SANTIAGO DE CALLAPA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,22,27,6,10,0,0,49,16,65
SANTIAGO DE HUARI,consulta externa,ninos  de 1 a 4 anos,2024-01-01,4,4,6,15,59,48,8,21,29
SANTIAGO DE HUATA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,30,26,4,5,0,0,56,9,65
SANTIAGO DE MACHACA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,21,25,4,4,0,0,46,8,54
SANTIVAÑES,consulta externa,ninos  de 1 a 4 anos,2024-01-01,92,86,15,11,0,0,178,26,204
SANTUARIO DE QUILLACAS,consulta externa,ninos  de 1 a 4 anos,2024-01-01,22,12,2,1,22,12,34,3,37
SAPAHAQUI,consulta externa,ninos  de 1 a 4 anos,2024-01-01,74,61,5,2,38,19,135,7,142
SENA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,51,54,1,1,0,0,105,2,107
SHINAOTA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,367,348,24,32,385,336,715,56,771
SICA SICA (VILLA AROMA),consulta externa,ninos  de 1 a 4 anos,2024-01-01,120,90,3,5,9,11,210,8,218
SICAYA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,36,44,17,16,0,0,80,33,113
SIPE SIPE,consulta externa,ninos  de 1 a 4 anos,2024-01-01,587,566,252,235,0,0,1153,487,1640
SOPACHUY,consulta externa,ninos  de 1 a 4 anos,2024-01-01,100,114,6,3,0,0,214,9,223
SORACACHI,consulta externa,ninos  de 1 a 4 anos,2024-01-01,45,51,3,3,0,1,96,6,102
SORATA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,135,131,55,35,0,0,266,90,356
SUCRE,consulta externa,ninos  de 1 a 4 anos,2024-01-01,2366,2138,562,420,13,11,4504,982,5486
TACACHI,consulta externa,ninos  de 1 a 4 anos,2024-01-01,10,3,0,1,0,0,13,1,14
TACACOMA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,120,72,9,7,0,0,192,16,208
TACOBAMBA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,55,60,0,0,0,0,115,0,115
TACOPAYA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,42,40,2,1,10,12,82,3,85
TAHUA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,8,4,0,0,0,0,12,0,12
TAPACARI,consulta externa,ninos  de 1 a 4 anos,2024-01-01,158,145,8,8,0,0,303,16,319
TARABUCO,consulta externa,ninos  de 1 a 4 anos,2024-01-01,111,114,5,6,88,89,225,11,236
TARACO,consulta externa,ninos  de 1 a 4 anos,2024-01-01,39,28,5,6,0,0,67,11,78
TARATA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,83,50,27,16,0,0,133,43,176
TARIJA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,1926,1917,656,635,192,196,3843,1291,5134
TARVITA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,205,217,5,2,246,236,422,7,429
TEOPONTE,consulta externa,ninos  de 1 a 4 anos,2024-01-01,106,80,31,18,0,0,186,49,235
TIAHUANACU,consulta externa,ninos  de 1 a 4 anos,2024-01-01,61,52,37,34,0,0,113,71,184
TINGUIPAYA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,114,106,0,1,44,51,220,1,221
TIPUANI,consulta externa,ninos  de 1 a 4 anos,2024-01-01,122,116,25,33,0,0,238,58,296
TIQUIPAYA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,638,639,104,105,0,0,1277,209,1486
TIRAQUE (CBBA),consulta externa,ninos  de 1 a 4 anos,2024-01-01,111,121,74,96,6,5,232,170,402
TITO YUPANQUI (PARQUIPUJIO),consulta externa,ninos  de 1 a 4 anos,2024-01-01,6,7,0,0,0,0,13,0,13
TOCO,consulta externa,ninos  de 1 a 4 anos,2024-01-01,44,57,23,20,0,0,101,43,144
TODOS SANTOS,consulta externa,ninos  de 1 a 4 anos,2024-01-01,5,7,0,0,0,0,12,0,12
TOLATA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,45,60,18,30,0,0,105,48,153
TOLEDO,consulta externa,ninos  de 1 a 4 anos,2024-01-01,27,35,7,0,27,34,62,7,69
TOMAVE,consulta externa,ninos  de 1 a 4 anos,2024-01-01,75,64,0,1,0,0,139,1,140
TOMINA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,129,124,19,8,0,0,253,27,280
TORO TORO,consulta externa,ninos  de 1 a 4 anos,2024-01-01,114,96,4,7,0,0,210,11,221
TOTORA(CBBA),consulta externa,ninos  de 1 a 4 anos,2024-01-01,159,139,41,40,0,0,298,81,379
TOTORA(ORR),consulta externa,ninos  de 1 a 4 anos,2024-01-01,17,27,1,2,17,27,44,3,47
TRIGAL,consulta externa,ninos  de 1 a 4 anos,2024-01-01,17,20,0,0,0,0,37,0,37
TRINIDAD,consulta externa,ninos  de 1 a 4 anos,2024-01-01,952,711,180,124,296,233,1663,304,1967
TUPIZA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,404,363,53,48,146,131,767,101,868
TURCO,consulta externa,ninos  de 1 a 4 anos,2024-01-01,25,17,2,2,0,0,42,4,46
UMALA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,41,39,22,28,0,0,80,50,130
UNCIA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,191,181,12,14,0,0,372,26,398
URIONDO (A. CONCEPCION),consulta externa,ninos  de 1 a 4 anos,2024-01-01,238,213,28,27,159,135,451,55,506
URUBICHA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,0,0,0,1,69,50,0,1,1
UYUNI,consulta externa,ninos  de 1 a 4 anos,2024-01-01,237,240,12,13,4,3,477,25,502
VACAS,consulta externa,ninos  de 1 a 4 anos,2024-01-01,62,65,4,7,0,0,127,11,138
VALLEGRANDE,consulta externa,ninos  de 1 a 4 anos,2024-01-01,118,93,69,80,0,0,211,149,360
VIACHA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,542,458,159,139,29,60,1000,298,1298
VILA VILA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,46,34,1,1,79,83,80,2,82
VILLA CHARCAS,consulta externa,ninos  de 1 a 4 anos,2024-01-01,121,95,2,3,134,103,216,5,221
VILLA MONTES,consulta externa,ninos  de 1 a 4 anos,2024-01-01,506,461,47,45,87,60,967,92,1059
VILLA NUEVA (LOMA ALTA),consulta externa,ninos  de 1 a 4 anos,2024-01-01,26,39,0,0,0,0,65,0,65
VILLA RIVERO,consulta externa,ninos  de 1 a 4 anos,2024-01-01,101,87,6,8,0,0,188,14,202
VILLA SERRANO,consulta externa,ninos  de 1 a 4 anos,2024-01-01,120,121,69,88,0,0,241,157,398
VILLA TUNARI,consulta externa,ninos  de 1 a 4 anos,2024-01-01,1690,1580,242,224,311,343,3270,466,3736
VILLA VACA GUZMAN (MUYUPAMPA),consulta externa,ninos  de 1 a 4 anos,2024-01-01,126,99,21,17,0,0,225,38,263
VILLAZON,consulta externa,ninos  de 1 a 4 anos,2024-01-01,234,236,20,18,223,226,470,38,508
VINTO,consulta externa,ninos  de 1 a 4 anos,2024-01-01,643,579,180,178,0,0,1222,358,1580
VITICHI,consulta externa,ninos  de 1 a 4 anos,2024-01-01,53,65,0,0,49,62,118,0,118
WALDO BALLIVIAN,consulta externa,ninos  de 1 a 4 anos,2024-01-01,14,14,1,0,0,0,28,1,29
WARNES,consulta externa,ninos  de 1 a 4 anos,2024-01-01,1213,1061,165,136,0,0,2274,301,2575
YACO,consulta externa,ninos  de 1 a 4 anos,2024-01-01,66,71,10,9,0,0,137,19,156
YACUIBA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,1122,1048,177,192,590,544,2170,369,2539
YAMPARAEZ,consulta externa,ninos  de 1 a 4 anos,2024-01-01,68,55,5,6,62,59,123,11,134
YANACACHI,consulta externa,ninos  de 1 a 4 anos,2024-01-01,33,40,2,0,0,0,73,2,75
YAPACANI,consulta externa,ninos  de 1 a 4 anos,2024-01-01,549,454,82,66,0,0,1003,148,1151
YOCALLA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,52,46,0,0,12,9,98,0,98
YOTALA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,114,83,4,3,63,46,197,7,204
YUNCHARA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,72,77,1,2,0,0,149,3,152
YUNGUYO DE LITORAL,consulta externa,ninos  de 1 a 4 anos,2024-01-01,8,5,0,0,8,5,13,0,13
ZUDAÑEZ,consulta externa,ninos  de 1 a 4 anos,2024-01-01,86,97,16,14,0,0,183,30,213
ACACIO,consulta externa,ninos  de 1 a 4 anos,2024-02-01,25,30,0,1,0,0,55,1,56
ACHACACHI,consulta externa,ninos  de 1 a 4 anos,2024-02-01,140,159,32,41,0,0,299,73,372
ACHOCALLA,consulta externa,ninos  de 1 a 4 anos,2024-02-01,128,89,13,9,3,1,217,22,239
AIQUILE,consulta externa,ninos  de 1 a 4 anos,2024-02-01,159,114,106,139,111,80,273,245,518
ALALAY,consulta externa,ninos  de 1 a 4 anos,2024-02-01,17,13,2,8,9,7,30,10,40
ALCALA,consulta externa,ninos  de 1 a 4 anos,2024-02-01,48,27,8,1,8,9,75,9,84
ALTO BENI,consulta externa,ninos  de 1 a 4 anos,2024-02-01,169,148,6,5,0,0,317,11,328
ANCORAIMES,consulta externa,ninos  de 1 a 4 anos,2024-02-01,31,27,13,17,11,4,58,30,88
ANDAMARCA,consulta externa,ninos  de 1 a 4 anos,2024-02-01,21,23,3,5,0,0,44,8,52
ANTEQUERA,consulta externa,ninos  de 1 a 4 anos,2024-02-01,20,6,2,3,0,0,26,5,31
ANZALDO,consulta externa,ninos  de 1 a 4 anos,2024-02-01,47,47,10,16,0,0,94,26,120
APOLO,consulta externa,ninos  de 1 a 4 anos,2024-02-01,130,131,39,56,38,53,261,95,356
ARAMPAMPA,consulta externa,ninos  de 1 a 4 anos,2024-02-01,24,32,0,0,4,5,56,0,56
ARANI,consulta externa,ninos  de 1 a 4 anos,2024-02-01,92,67,19,22,0,0,159,41,200
ARBIETO,consulta externa,ninos  de 1 a 4 anos,2024-02-01,229,245,32,39,0,0,474,71,545
ARQUE,consulta externa,ninos  de 1 a 4 anos,2024-02-01,93,84,1,2,0,0,177,3,180
ASCENCION DE GUARAYOS,consulta externa,ninos  de 1 a 4 anos,2024-02-01,91,95,3,1,49,62,186,4,190
ATOCHA,consulta externa,ninos  de 1 a 4 anos,2024-02-01,125,112,10,17,20,20,237,27,264
AUCAPATA,consulta externa,ninos  de 1 a 4 anos,2024-02-01,33,47,0,2,17,22,80,2,82
AYATA,consulta externa,ninos  de 1 a 4 anos,2024-02-01,38,43,2,0,14,15,81,2,83
AYO AYO,consulta externa,ninos  de 1 a 4 anos,2024-02-01,33,34,24,18,0,0,67,42,109
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,ninos  de 1 a 4 anos,2024-02-01,219,203,30,28,12,6,422,58,480
AZURDUY,consulta externa,ninos  de 1 a 4 anos,2024-02-01,162,148,37,33,20,4,310,70,380
BATALLAS,consulta externa,ninos  de 1 a 4 anos,2024-02-01,49,55,20,19,0,0,104,39,143
BAURES,consulta externa,ninos  de 1 a 4 anos,2024-02-01,62,42,11,3,0,0,104,14,118
BELEN DE ANDAMARCA,consulta externa,ninos  de 1 a 4 anos,2024-02-01,6,10,0,2,0,0,16,2,18
BELEN DE URMIRI,consulta externa,ninos  de 1 a 4 anos,2024-02-01,3,3,0,0,1,0,6,0,6
BELLA FLOR,consulta externa,ninos  de 1 a 4 anos,2024-02-01,44,45,8,14,0,0,89,22,111
BERMEJO,consulta externa,ninos  de 1 a 4 anos,2024-02-01,476,456,56,56,0,0,932,112,1044
BETANZOS,consulta externa,ninos  de 1 a 4 anos,2024-02-01,178,138,11,6,0,0,316,17,333
BOLIVAR,consulta externa,ninos  de 1 a 4 anos,2024-02-01,26,35,7,5,0,0,61,12,73
BOLPEBRA,consulta externa,ninos  de 1 a 4 anos,2024-02-01,9,17,0,1,0,0,26,1,27
BOYUIBE,consulta externa,ninos  de 1 a 4 anos,2024-02-01,48,42,1,0,0,0,90,1,91
BUENA VISTA,consulta externa,ninos  de 1 a 4 anos,2024-02-01,73,54,8,2,25,24,127,10,137
CABEZAS,consulta externa,ninos  de 1 a 4 anos,2024-02-01,181,174,11,16,7,8,355,27,382
CAIROMA,consulta externa,ninos  de 1 a 4 anos,2024-02-01,109,67,5,5,0,0,176,10,186
"CAIZA ""D""",consulta externa,ninos  de 1 a 4 anos,2024-02-01,107,88,2,4,0,0,195,6,201
CAJUATA,consulta externa,ninos  de 1 a 4 anos,2024-02-01,101,111,10,9,25,37,212,19,231
CALACOTO,consulta externa,ninos  de 1 a 4 anos,2024-02-01,27,21,1,2,0,0,48,3,51
CALAMARCA,consulta externa,ninos  de 1 a 4 anos,2024-02-01,84,93,1,1,0,0,177,2,179
CAMARGO,consulta externa,ninos  de 1 a 4 anos,2024-02-01,146,127,21,31,0,0,273,52,325
CAMATAQUI (C. VILLA ABECIA),consulta externa,ninos  de 1 a 4 anos,2024-02-01,41,20,3,0,0,0,61,3,64
CAMIRI,consulta externa,ninos  de 1 a 4 anos,2024-02-01,111,107,34,31,0,2,218,65,283
CAPINOTA,consulta externa,ninos  de 1 a 4 anos,2024-02-01,234,212,11,23,0,0,446,34,480
CAQUIAVIRI,consulta externa,ninos  de 1 a 4 anos,2024-02-01,79,61,10,5,0,0,140,15,155
CARACOLLO,consulta externa,ninos  de 1 a 4 anos,2024-02-01,180,140,10,8,6,8,320,18,338
CARANAVI,consulta externa,ninos  de 1 a 4 anos,2024-02-01,486,420,90,60,42,22,906,150,1056
CARANGAS,consulta externa,ninos  de 1 a 4 anos,2024-02-01,1,1,0,0,0,0,2,0,2
CARAPARI,consulta externa,ninos  de 1 a 4 anos,2024-02-01,190,189,4,5,4,6,379,9,388
CARIPUYO,consulta externa,ninos  de 1 a 4 anos,2024-02-01,50,33,1,0,0,0,83,1,84
CARMEN RIVERO TORREZ,consulta externa,ninos  de 1 a 4 anos,2024-02-01,38,29,0,1,0,0,67,1,68
CATACORA,consulta externa,ninos  de 1 a 4 anos,2024-02-01,16,13,2,0,0,0,29,2,31
CHACARILLA,consulta externa,ninos  de 1 a 4 anos,2024-02-01,16,11,0,0,0,0,27,0,27
CHALLAPATA,consulta externa,ninos  de 1 a 4 anos,2024-02-01,140,153,6,4,52,52,293,10,303
CHAQUI,consulta externa,ninos  de 1 a 4 anos,2024-02-01,38,37,3,0,0,0,75,3,78
CHARAGUA,consulta externa,ninos  de 1 a 4 anos,2024-02-01,416,431,60,47,0,0,847,107,954
CHARAÑA,consulta externa,ninos  de 1 a 4 anos,2024-02-01,14,20,5,11,0,0,34,16,50
CHAYANTA,consulta externa,ninos  de 1 a 4 anos,2024-02-01,102,87,4,0,14,16,189,4,193
CHIMORE,consulta externa,ninos  de 1 a 4 anos,2024-02-01,406,377,35,57,2,4,783,92,875
CHIPAYA,consulta externa,ninos  de 1 a 4 anos,2024-02-01,16,11,0,0,2,1,27,0,27
CHOQUE COTA,consulta externa,ninos  de 1 a 4 anos,2024-02-01,8,6,0,0,0,0,14,0,14
CHUA COCANI,consulta externa,ninos  de 1 a 4 anos,2024-02-01,7,5,22,26,0,0,12,48,60
CHULUMANI (V. DE LA LIBERTAD),consulta externa,ninos  de 1 a 4 anos,2024-02-01,124,120,24,17,4,5,244,41,285
CHUMA,consulta externa,ninos  de 1 a 4 anos,2024-02-01,57,55,8,9,44,44,112,17,129
CHUQUIHUTA AYLLU JUCUMANI,consulta externa,ninos  de 1 a 4 anos,2024-02-01,64,64,5,5,0,0,128,10,138
CKOCHAS,consulta externa,ninos  de 1 a 4 anos,2024-02-01,78,71,0,0,7,4,149,0,149
CLIZA,consulta externa,ninos  de 1 a 4 anos,2024-02-01,150,154,86,59,0,0,304,145,449
COBIJA,consulta externa,ninos  de 1 a 4 anos,2024-02-01,493,387,216,193,0,82,880,409,1289
COCAPATA,consulta externa,ninos  de 1 a 4 anos,2024-02-01,313,331,7,3,0,0,644,10,654
COCHABAMBA,consulta externa,ninos  de 1 a 4 anos,2024-02-01,6511,5869,2159,1907,892,834,12380,4066,16446
COIPASA,consulta externa,ninos  de 1 a 4 anos,2024-02-01,5,7,11,6,0,0,12,17,29
COLCAPIRHUA,consulta externa,ninos  de 1 a 4 anos,2024-02-01,217,255,134,118,0,0,472,252,724
"COLCHA ""K""",consulta externa,ninos  de 1 a 4 anos,2024-02-01,125,126,7,0,10,9,251,7,258
COLLANA,consulta externa,ninos  de 1 a 4 anos,2024-02-01,17,6,1,3,0,0,23,4,27
COLOMI,consulta externa,ninos  de 1 a 4 anos,2024-02-01,185,210,19,20,81,87,395,39,434
COLPA BELGICA,consulta externa,ninos  de 1 a 4 anos,2024-02-01,45,80,5,4,45,75,125,9,134
COLQUECHACA,consulta externa,ninos  de 1 a 4 anos,2024-02-01,120,111,0,1,2,0,231,1,232
COLQUENCHA,consulta externa,ninos  de 1 a 4 anos,2024-02-01,65,69,25,30,0,0,134,55,189
COLQUIRI,consulta externa,ninos  de 1 a 4 anos,2024-02-01,101,98,29,35,48,46,199,64,263
COMANCHE,consulta externa,ninos  de 1 a 4 anos,2024-02-01,7,10,0,1,0,0,17,1,18
COMARAPA,consulta externa,ninos  de 1 a 4 anos,2024-02-01,130,157,19,12,1,5,287,31,318
COMBAYA,consulta externa,ninos  de 1 a 4 anos,2024-02-01,8,9,8,4,0,0,17,12,29
CONCEPCION,consulta externa,ninos  de 1 a 4 anos,2024-02-01,113,117,15,15,7,7,230,30,260
COPACABANA,consulta externa,ninos  de 1 a 4 anos,2024-02-01,30,23,3,1,0,0,53,4,57
CORIPATA,consulta externa,ninos  de 1 a 4 anos,2024-02-01,144,105,19,20,0,1,249,39,288
CORO CORO,consulta externa,ninos  de 1 a 4 anos,2024-02-01,52,47,15,10,0,0,99,25,124
COROICO,consulta externa,ninos  de 1 a 4 anos,2024-02-01,132,99,23,26,0,1,231,49,280
CORQUE,consulta externa,ninos  de 1 a 4 anos,2024-02-01,40,30,1,0,0,0,70,1,71
COTAGAITA,consulta externa,ninos  de 1 a 4 anos,2024-02-01,206,179,11,13,64,58,385,24,409
COTOCA,consulta externa,ninos  de 1 a 4 anos,2024-02-01,484,443,33,23,349,322,927,56,983
CUATRO CAÑADAS,consulta externa,ninos  de 1 a 4 anos,2024-02-01,153,145,63,25,1,0,298,88,386
CUCHUMUELA (V. G. VILLARROEL),consulta externa,ninos  de 1 a 4 anos,2024-02-01,27,21,2,3,0,0,48,5,53
CUEVO,consulta externa,ninos  de 1 a 4 anos,2024-02-01,36,34,29,31,0,0,70,60,130
CULPINA,consulta externa,ninos  de 1 a 4 anos,2024-02-01,114,93,6,1,0,0,207,7,214
CURAHUARA DE CARANGAS,consulta externa,ninos  de 1 a 4 anos,2024-02-01,16,20,0,1,13,11,36,1,37
CURVA,consulta externa,ninos  de 1 a 4 anos,2024-02-01,25,25,0,0,5,9,50,0,50
DESAGUADERO,consulta externa,ninos  de 1 a 4 anos,2024-02-01,22,24,8,4,3,1,46,12,58
EL ALTO,consulta externa,ninos  de 1 a 4 anos,2024-02-01,4755,4434,1776,1539,301,302,9189,3315,12504
EL CHORO,consulta externa,ninos  de 1 a 4 anos,2024-02-01,21,19,0,0,0,2,40,0,40
EL PUENTE(STC),consulta externa,ninos  de 1 a 4 anos,2024-02-01,107,115,1,1,28,27,222,2,224
EL PUENTE(TJA),consulta externa,ninos  de 1 a 4 anos,2024-02-01,101,113,3,4,59,55,214,7,221
EL TORNO,consulta externa,ninos  de 1 a 4 anos,2024-02-01,686,631,259,399,7,7,1317,658,1975
EL VILLAR,consulta externa,ninos  de 1 a 4 anos,2024-02-01,56,58,0,0,0,0,114,0,114
ENTRE RIOS TRJ,consulta externa,ninos  de 1 a 4 anos,2024-02-01,201,245,5,2,0,0,446,7,453
ENTRE RIOS CBBA,consulta externa,ninos  de 1 a 4 anos,2024-02-01,574,461,27,23,0,0,1035,50,1085
ESCARA,consulta externa,ninos  de 1 a 4 anos,2024-02-01,2,1,0,0,0,0,3,0,3
ESCOMA,consulta externa,ninos  de 1 a 4 anos,2024-02-01,46,31,0,0,0,0,77,0,77
ESMERALDA,consulta externa,ninos  de 1 a 4 anos,2024-02-01,9,2,0,1,7,2,11,1,12
EUCALIPTUS,consulta externa,ninos  de 1 a 4 anos,2024-02-01,22,19,1,0,14,9,41,1,42
EUREKA (SANTOS MERCADO),consulta externa,ninos  de 1 a 4 anos,2024-02-01,7,16,4,0,0,0,23,4,27
EXALTACION,consulta externa,ninos  de 1 a 4 anos,2024-02-01,41,48,2,6,0,0,89,8,97
FERNANDEZ ALONSO,consulta externa,ninos  de 1 a 4 anos,2024-02-01,183,169,15,24,0,2,352,39,391
FILADELFIA,consulta externa,ninos  de 1 a 4 anos,2024-02-01,85,78,0,0,65,61,163,0,163
GAIOC JATUN AYLLU YURA,consulta externa,ninos  de 1 a 4 anos,2024-02-01,42,39,0,0,4,0,81,0,81
GENERAL SAAVEDRA,consulta externa,ninos  de 1 a 4 anos,2024-02-01,228,207,18,25,0,0,435,43,478
GIA-TIM,consulta externa,ninos  de 1 a 4 anos,2024-02-01,47,57,2,2,12,5,104,4,108
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,ninos  de 1 a 4 anos,2024-02-01,95,64,9,5,8,4,159,14,173
GUANAY,consulta externa,ninos  de 1 a 4 anos,2024-02-01,71,75,74,70,0,0,146,144,290
GUAQUI,consulta externa,ninos  de 1 a 4 anos,2024-02-01,18,16,4,4,7,7,34,8,42
GUAYARAMERIN,consulta externa,ninos  de 1 a 4 anos,2024-02-01,348,311,24,30,28,35,659,54,713
GUTIERREZ,consulta externa,ninos  de 1 a 4 anos,2024-02-01,185,178,3,2,0,0,363,5,368
HUACARAJE,consulta externa,ninos  de 1 a 4 anos,2024-02-01,26,15,12,7,0,0,41,19,60
HUACARETA,consulta externa,ninos  de 1 a 4 anos,2024-02-01,54,48,24,20,0,0,102,44,146
HUACAYA (VILLA DE HUACAYA),consulta externa,ninos  de 1 a 4 anos,2024-02-01,23,29,7,5,0,0,52,12,64
HUACHACALLA,consulta externa,ninos  de 1 a 4 anos,2024-02-01,4,6,4,6,1,1,10,10,20
HUANUNI,consulta externa,ninos  de 1 a 4 anos,2024-02-01,132,111,63,25,26,25,243,88,331
HUARINA,consulta externa,ninos  de 1 a 4 anos,2024-02-01,41,34,42,25,0,0,75,67,142
HUATAJATA,consulta externa,ninos  de 1 a 4 anos,2024-02-01,16,7,15,17,0,0,23,32,55
HUAYLLAMARCA,consulta externa,ninos  de 1 a 4 anos,2024-02-01,33,30,6,5,0,0,63,11,74
HUMANATA,consulta externa,ninos  de 1 a 4 anos,2024-02-01,6,16,11,13,0,0,22,24,46
ICHOCA,consulta externa,ninos  de 1 a 4 anos,2024-02-01,31,32,11,10,3,6,63,21,84
ICLA,consulta externa,ninos  de 1 a 4 anos,2024-02-01,99,93,18,16,0,0,192,34,226
INCAHUASI,consulta externa,ninos  de 1 a 4 anos,2024-02-01,177,169,2,1,55,48,346,3,349
INGAVI (HUMAITA),consulta externa,ninos  de 1 a 4 anos,2024-02-01,44,38,0,1,0,0,82,1,83
INQUISIVI,consulta externa,ninos  de 1 a 4 anos,2024-02-01,73,62,0,2,5,2,135,2,137
IRUPANA (VILLA DE LANZA),consulta externa,ninos  de 1 a 4 anos,2024-02-01,154,137,9,15,0,0,291,24,315
IXIAMAS,consulta externa,ninos  de 1 a 4 anos,2024-02-01,104,116,26,21,0,0,220,47,267
JESUS DE MACHACA,consulta externa,ninos  de 1 a 4 anos,2024-02-01,50,42,39,29,5,4,92,68,160
LA ASUNTA,consulta externa,ninos  de 1 a 4 anos,2024-02-01,335,274,28,21,208,165,609,49,658
LA GUARDIA,consulta externa,ninos  de 1 a 4 anos,2024-02-01,801,668,407,353,48,44,1469,760,2229
LA PAZ,consulta externa,ninos  de 1 a 4 anos,2024-02-01,4949,4385,1448,1455,647,616,9334,2903,12237
LA RIVERA,consulta externa,ninos  de 1 a 4 anos,2024-02-01,4,2,0,0,0,0,6,0,6
LAGUNILLAS,consulta externa,ninos  de 1 a 4 anos,2024-02-01,77,76,31,29,0,0,153,60,213
LAJA,consulta externa,ninos  de 1 a 4 anos,2024-02-01,78,72,32,33,0,0,150,65,215
LAS CARRERAS,consulta externa,ninos  de 1 a 4 anos,2024-02-01,32,30,0,0,0,0,62,0,62
LICOMA PAMPA,consulta externa,ninos  de 1 a 4 anos,2024-02-01,21,17,2,3,0,0,38,5,43
LLALLAGUA,consulta externa,ninos  de 1 a 4 anos,2024-02-01,412,350,8,12,0,0,762,20,782
LLICA,consulta externa,ninos  de 1 a 4 anos,2024-02-01,22,20,2,4,0,0,42,6,48
LORETO,consulta externa,ninos  de 1 a 4 anos,2024-02-01,25,28,12,8,0,0,53,20,73
LURIBAY,consulta externa,ninos  de 1 a 4 anos,2024-02-01,68,74,2,4,0,0,142,6,148
