,group,variable,month,13. 3 EGRESOS CANTIDAD,13. 3 EGRESOS CANTIDAD,TOTALES,TOTALES,TOTALES
CHULUMANI (V. DE LA LIBERTAD),internaciones,3      egresos,2014-10-01,32,59,32,59,91
CHUMA,internaciones,3      egresos,2014-10-01,1,3,1,3,4
CLIZA,internaciones,3      egresos,2014-10-01,19,69,19,69,88
COBIJA,internaciones,3      egresos,2014-10-01,197,370,197,370,567
COCAPATA,internaciones,3      egresos,2014-10-01,0,3,0,3,3
COCHABAMBA,internaciones,3      egresos,2014-10-01,3151,5497,3151,5497,8648
COLCAPIRHUA,internaciones,3      egresos,2014-10-01,45,64,45,64,109
"COLCHA ""K""",internaciones,3      egresos,2014-10-01,0,1,0,1,1
COLLANA,internaciones,3      egresos,2014-10-01,0,1,0,1,1
COLOMI,internaciones,3      egresos,2014-10-01,1,25,1,25,26
COLPA BELGICA,internaciones,3      egresos,2014-10-01,21,26,21,26,47
COLQUECHACA,internaciones,3      egresos,2014-10-01,0,4,0,4,4
COLQUENCHA,internaciones,3      egresos,2014-10-01,0,1,0,1,1
COLQUIRI,internaciones,3      egresos,2014-10-01,0,13,0,13,13
COMARAPA,internaciones,3      egresos,2014-10-01,11,57,11,57,68
CONCEPCION,internaciones,3      egresos,2014-10-01,10,49,10,49,59
COPACABANA,internaciones,3      egresos,2014-10-01,0,7,0,7,7
CORIPATA,internaciones,3      egresos,2014-10-01,0,10,0,10,10
COROICO,internaciones,3      egresos,2014-10-01,24,73,24,73,97
COTAGAITA,internaciones,3      egresos,2014-10-01,3,13,3,13,16
COTOCA,internaciones,3      egresos,2014-10-01,21,163,21,163,184
CUATRO CAÑADAS,internaciones,3      egresos,2014-10-01,4,8,4,8,12
CUEVO,internaciones,3      egresos,2014-10-01,5,1,5,1,6
CULPINA,internaciones,3      egresos,2014-10-01,5,34,5,34,39
CURAHUARA DE CARANGAS,internaciones,3      egresos,2014-10-01,0,3,0,3,3
DESAGUADERO,internaciones,3      egresos,2014-10-01,0,5,0,5,5
EL ALTO,internaciones,3      egresos,2014-10-01,900,2776,900,2776,3676
EL CHORO,internaciones,3      egresos,2014-10-01,0,2,0,2,2
EL PUENTE(STC),internaciones,3      egresos,2014-10-01,18,25,18,25,43
EL PUENTE(TJA),internaciones,3      egresos,2014-10-01,0,11,0,11,11
EL TORNO,internaciones,3      egresos,2014-10-01,256,408,256,408,664
EL VILLAR,internaciones,3      egresos,2014-10-01,0,3,0,3,3
ENTRE RIOS TRJ,internaciones,3      egresos,2014-10-01,11,16,11,16,27
ENTRE RIOS CBBA,internaciones,3      egresos,2014-10-01,8,47,8,47,55
ESCOMA,internaciones,3      egresos,2014-10-01,3,19,3,19,22
EUCALIPTUS,internaciones,3      egresos,2014-10-01,0,5,0,5,5
FERNANDEZ ALONSO,internaciones,3      egresos,2014-10-01,14,14,14,14,28
GENERAL SAAVEDRA,internaciones,3      egresos,2014-10-01,7,24,7,24,31
GRAL. J.J. PEREZ (CHARAZANI),internaciones,3      egresos,2014-10-01,0,3,0,3,3
GUANAY,internaciones,3      egresos,2014-10-01,0,14,0,14,14
GUAQUI,internaciones,3      egresos,2014-10-01,0,6,0,6,6
GUAYARAMERIN,internaciones,3      egresos,2014-10-01,174,417,174,417,591
GUTIERREZ,internaciones,3      egresos,2014-10-01,2,28,2,28,30
HUACARETA,internaciones,3      egresos,2014-10-01,16,31,16,31,47
HUACAYA (VILLA DE HUACAYA),internaciones,3      egresos,2014-10-01,0,7,0,7,7
HUANUNI,internaciones,3      egresos,2014-10-01,84,82,84,82,166
HUARACAJE,internaciones,3      egresos,2014-10-01,4,11,4,11,15
HUARINA,internaciones,3      egresos,2014-10-01,0,2,0,2,2
HUAYLLAMARCA,internaciones,3      egresos,2014-10-01,4,4,4,4,8
ICLA,internaciones,3      egresos,2014-10-01,0,9,0,9,9
INCAHUASI,internaciones,3      egresos,2014-10-01,1,9,1,9,10
INQUISIVI,internaciones,3      egresos,2014-10-01,0,2,0,2,2
IRUPANA (VILLA DE LANZA),internaciones,3      egresos,2014-10-01,10,32,10,32,42
IXIAMAS,internaciones,3      egresos,2014-10-01,6,24,6,24,30
JESUS DE MACHACA,internaciones,3      egresos,2014-10-01,3,17,3,17,20
LA ASUNTA,internaciones,3      egresos,2014-10-01,17,86,17,86,103
LA GUARDIA,internaciones,3      egresos,2014-10-01,33,76,33,76,109
LA PAZ,internaciones,3      egresos,2014-10-01,3558,7020,3558,7020,10578
LAJA,internaciones,3      egresos,2014-10-01,0,7,0,7,7
LAS CARRERAS,internaciones,3      egresos,2014-10-01,0,4,0,4,4
LLALLAGUA,internaciones,3      egresos,2014-10-01,65,185,65,185,250
LLICA,internaciones,3      egresos,2014-10-01,0,5,0,5,5
MACHACAMARCA,internaciones,3      egresos,2014-10-01,0,4,0,4,4
MACHARETI,internaciones,3      egresos,2014-10-01,0,11,0,11,11
MAGDALENA,internaciones,3      egresos,2014-10-01,43,75,43,75,118
MAIRANA,internaciones,3      egresos,2014-10-01,5,58,5,58,63
MAPIRI,internaciones,3      egresos,2014-10-01,2,33,2,33,35
MECAPACA,internaciones,3      egresos,2014-10-01,0,2,0,2,2
MINEROS,internaciones,3      egresos,2014-10-01,8,42,8,42,50
MIZQUE,internaciones,3      egresos,2014-10-01,12,58,12,58,70
MOCOMOCO,internaciones,3      egresos,2014-10-01,0,2,0,2,2
MOJINETE,internaciones,3      egresos,2014-10-01,0,1,0,1,1
MOJOCOYA,internaciones,3      egresos,2014-10-01,7,12,7,12,19
MONTEAGUDO,internaciones,3      egresos,2014-10-01,70,162,70,162,232
MONTERO,internaciones,3      egresos,2014-10-01,112,396,112,396,508
MORO MORO,internaciones,3      egresos,2014-10-01,0,2,0,2,2
MOROCHATA,internaciones,3      egresos,2014-10-01,0,8,0,8,8
OCURI,internaciones,3      egresos,2014-10-01,0,9,0,9,9
OKINAWA,internaciones,3      egresos,2014-10-01,8,29,8,29,37
OMEREQUE,internaciones,3      egresos,2014-10-01,4,15,4,15,19
ORURO,internaciones,3      egresos,2014-10-01,1047,2271,1047,2271,3318
PADILLA,internaciones,3      egresos,2014-10-01,40,73,40,73,113
PAILON,internaciones,3      egresos,2014-10-01,28,68,28,68,96
PALCA,internaciones,3      egresos,2014-10-01,0,3,0,3,3
PALOS BLANCOS,internaciones,3      egresos,2014-10-01,13,43,13,43,56
PAMPA AULLAGAS,internaciones,3      egresos,2014-10-01,0,1,0,1,1
PAMPA GRANDE,internaciones,3      egresos,2014-10-01,4,21,4,21,25
PAPEL PAMPA,internaciones,3      egresos,2014-10-01,0,3,0,3,3
PASORAPA,internaciones,3      egresos,2014-10-01,2,1,2,1,3
PATACAMAYA,internaciones,3      egresos,2014-10-01,3,50,3,50,53
PAZÑA,internaciones,3      egresos,2014-10-01,0,1,0,1,1
POCOATA,internaciones,3      egresos,2014-10-01,2,9,2,9,11
POCONA,internaciones,3      egresos,2014-10-01,1,11,1,11,12
POJO (CBBA),internaciones,3      egresos,2014-10-01,4,20,4,20,24
POOPO,internaciones,3      egresos,2014-10-01,0,2,0,2,2
POROMA,internaciones,3      egresos,2014-10-01,1,7,1,7,8
PORONGO,internaciones,3      egresos,2014-10-01,0,1,0,1,1
PORTACHUELO,internaciones,3      egresos,2014-10-01,70,164,70,164,234
PORVENIR,internaciones,3      egresos,2014-10-01,7,11,7,11,18
POSTRER VALLE,internaciones,3      egresos,2014-10-01,1,2,1,2,3
POTOSI,internaciones,3      egresos,2014-10-01,671,1973,671,1973,2644
PRESTO,internaciones,3      egresos,2014-10-01,1,3,1,3,4
PUCARANI,internaciones,3      egresos,2014-10-01,3,13,3,13,16
PUERTO ACOSTA,internaciones,3      egresos,2014-10-01,0,1,0,1,1
PUERTO CARABUCO,internaciones,3      egresos,2014-10-01,0,1,0,1,1
PUERTO GONZALO MORENO,internaciones,3      egresos,2014-10-01,4,8,4,8,12
PUERTO PEREZ,internaciones,3      egresos,2014-10-01,0,1,0,1,1
PUERTO QUIJARRO,internaciones,3      egresos,2014-10-01,28,24,28,24,52
PUERTO RICO,internaciones,3      egresos,2014-10-01,8,34,8,34,42
PUERTO VILLARROEL,internaciones,3      egresos,2014-10-01,98,216,98,216,314
PUNA,internaciones,3      egresos,2014-10-01,0,11,0,11,11
PUNATA,internaciones,3      egresos,2014-10-01,114,222,114,222,336
QUILLACOLLO,internaciones,3      egresos,2014-10-01,31,313,31,313,344
QUIME,internaciones,3      egresos,2014-10-01,1,5,1,5,6
QUIRUSILLAS,internaciones,3      egresos,2014-10-01,1,1,1,1,2
REYES,internaciones,3      egresos,2014-10-01,12,45,12,45,57
RIBERALTA,internaciones,3      egresos,2014-10-01,388,813,388,813,1201
ROBORE,internaciones,3      egresos,2014-10-01,39,84,39,84,123
RURRENABAQUE,internaciones,3      egresos,2014-10-01,52,113,52,113,165
SACABA,internaciones,3      egresos,2014-10-01,125,434,125,434,559
SACABAMBA,internaciones,3      egresos,2014-10-01,3,9,3,9,12
SACACA,internaciones,3      egresos,2014-10-01,0,5,0,5,5
SAIPINA,internaciones,3      egresos,2014-10-01,0,11,0,11,11
SALINAS DE GARCI MENDOZA,internaciones,3      egresos,2014-10-01,0,3,0,3,3
SAMAIPATA,internaciones,3      egresos,2014-10-01,7,36,7,36,43
SAN ANDRES,internaciones,3      egresos,2014-10-01,0,8,0,8,8
SAN ANTONIO DE LOMERIO,internaciones,3      egresos,2014-10-01,9,12,9,12,21
SAN BENITO,internaciones,3      egresos,2014-10-01,2,12,2,12,14
SAN BORJA,internaciones,3      egresos,2014-10-01,44,123,44,123,167
SAN BUENA VENTURA,internaciones,3      egresos,2014-10-01,7,33,7,33,40
SAN CARLOS,internaciones,3      egresos,2014-10-01,0,6,0,6,6
SAN IGNACIO,internaciones,3      egresos,2014-10-01,42,58,42,58,100
SAN IGNACIO DE VELASCO,internaciones,3      egresos,2014-10-01,82,261,82,261,343
SAN JOAQUIN,internaciones,3      egresos,2014-10-01,13,0,13,0,13
SAN JOSE DE CHIQUITOS,internaciones,3      egresos,2014-10-01,56,141,56,141,197
SAN JULIAN,internaciones,3      egresos,2014-10-01,48,176,48,176,224
SAN LORENZO(TJA),internaciones,3      egresos,2014-10-01,0,8,0,8,8
SAN LUCAS,internaciones,3      egresos,2014-10-01,8,34,8,34,42
SAN MATIAS,internaciones,3      egresos,2014-10-01,16,50,16,50,66
SAN MIGUEL DE VELASCO,internaciones,3      egresos,2014-10-01,6,19,6,19,25
SAN PEDRO,internaciones,3      egresos,2014-10-01,10,15,10,15,25
SAN PEDRO DE BUENA VISTA,internaciones,3      egresos,2014-10-01,1,13,1,13,14
SAN PEDRO DE TIQUINA,internaciones,3      egresos,2014-10-01,0,2,0,2,2
SAN RAFAEL,internaciones,3      egresos,2014-10-01,15,21,15,21,36
SAN RAMON BENI,internaciones,3      egresos,2014-10-01,10,32,10,32,42
SAN RAMON SCZ,internaciones,3      egresos,2014-10-01,5,34,5,34,39
SANTA ANA,internaciones,3      egresos,2014-10-01,54,119,54,119,173
SANTA CRUZ DE LA SIERRA,internaciones,3      egresos,2014-10-01,2775,5197,2775,5197,7972
SANTA ROSA,internaciones,3      egresos,2014-10-01,13,22,13,22,35
SANTA ROSA DEL SARA,internaciones,3      egresos,2014-10-01,5,28,5,28,33
SANTIAGO DE CALLAPA,internaciones,3      egresos,2014-10-01,0,2,0,2,2
SANTIAGO DE HUARI,internaciones,3      egresos,2014-10-01,0,2,0,2,2
SANTIAGO DE HUATA,internaciones,3      egresos,2014-10-01,0,5,0,5,5
SANTIAGO DE MACHACA,internaciones,3      egresos,2014-10-01,0,3,0,3,3
SANTIVAÑES,internaciones,3      egresos,2014-10-01,0,5,0,5,5
SANTUARIO DE QUILLACAS,internaciones,3      egresos,2014-10-01,0,3,0,3,3
SENA,internaciones,3      egresos,2014-10-01,12,37,12,37,49
SHINAOTA,internaciones,3      egresos,2014-10-01,13,51,13,51,64
SICA SICA (VILLA AROMA),internaciones,3      egresos,2014-10-01,0,14,0,14,14
SICAYA,internaciones,3      egresos,2014-10-01,0,4,0,4,4
SIPE SIPE,internaciones,3      egresos,2014-10-01,0,33,0,33,33
SOPACHUY,internaciones,3      egresos,2014-10-01,3,26,3,26,29
SORACACHI,internaciones,3      egresos,2014-10-01,0,1,0,1,1
SORATA,internaciones,3      egresos,2014-10-01,1,9,1,9,10
SUCRE,internaciones,3      egresos,2014-10-01,1775,2297,1775,2297,4072
TACACOMA,internaciones,3      egresos,2014-10-01,0,4,0,4,4
TACOPAYA,internaciones,3      egresos,2014-10-01,1,9,1,9,10
TAPACARI,internaciones,3      egresos,2014-10-01,0,6,0,6,6
TARABUCO,internaciones,3      egresos,2014-10-01,13,38,13,38,51
TARACO,internaciones,3      egresos,2014-10-01,0,1,0,1,1
TARATA,internaciones,3      egresos,2014-10-01,0,8,0,8,8
TARIJA,internaciones,3      egresos,2014-10-01,857,1449,857,1449,2306
TARVITA,internaciones,3      egresos,2014-10-01,6,21,6,21,27
TEOPONTE,internaciones,3      egresos,2014-10-01,7,15,7,15,22
TIAWANACU,internaciones,3      egresos,2014-10-01,1,1,1,1,2
TIPUANI,internaciones,3      egresos,2014-10-01,13,33,13,33,46
TIQUIPAYA,internaciones,3      egresos,2014-10-01,24,174,24,174,198
TIRAQUE (CBBA),internaciones,3      egresos,2014-10-01,0,22,0,22,22
TOCO,internaciones,3      egresos,2014-10-01,0,3,0,3,3
TOLATA,internaciones,3      egresos,2014-10-01,5,0,5,0,5
TOMINA,internaciones,3      egresos,2014-10-01,5,10,5,10,15
TORO TORO,internaciones,3      egresos,2014-10-01,4,5,4,5,9
TOTORA(CBBA),internaciones,3      egresos,2014-10-01,7,29,7,29,36
TOTORA(ORR),internaciones,3      egresos,2014-10-01,0,2,0,2,2
TRIGAL,internaciones,3      egresos,2014-10-01,5,2,5,2,7
TRINIDAD,internaciones,3      egresos,2014-10-01,414,430,414,430,844
TUPIZA,internaciones,3      egresos,2014-10-01,73,174,73,174,247
UNCIA,internaciones,3      egresos,2014-10-01,1,14,1,14,15
URUBICHA,internaciones,3      egresos,2014-10-01,13,21,13,21,34
UYUNI,internaciones,3      egresos,2014-10-01,42,148,42,148,190
VACAS,internaciones,3      egresos,2014-10-01,1,3,1,3,4
VALLEGRANDE,internaciones,3      egresos,2014-10-01,47,101,47,101,148
VIACHA,internaciones,3      egresos,2014-10-01,0,12,0,12,12
VILA VILA,internaciones,3      egresos,2014-10-01,1,5,1,5,6
VILLA CHARCAS,internaciones,3      egresos,2014-10-01,0,32,0,32,32
VILLA MONTES,internaciones,3      egresos,2014-10-01,86,230,86,230,316
VILLA RIVERO,internaciones,3      egresos,2014-10-01,4,13,4,13,17
VILLA SERRANO,internaciones,3      egresos,2014-10-01,0,2,0,2,2
VILLA TUNARI,internaciones,3      egresos,2014-10-01,122,225,122,225,347
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,3      egresos,2014-10-01,0,9,0,9,9
VILLAZON,internaciones,3      egresos,2014-10-01,73,162,73,162,235
VINTO,internaciones,3      egresos,2014-10-01,57,105,57,105,162
WARNES,internaciones,3      egresos,2014-10-01,53,119,53,119,172
YACO,internaciones,3      egresos,2014-10-01,0,1,0,1,1
YACUIBA,internaciones,3      egresos,2014-10-01,284,498,284,498,782
YAMPARAEZ,internaciones,3      egresos,2014-10-01,0,6,0,6,6
YANACACHI,internaciones,3      egresos,2014-10-01,0,1,0,1,1
YAPACANI,internaciones,3      egresos,2014-10-01,112,97,112,97,209
YOTALA,internaciones,3      egresos,2014-10-01,5,6,5,6,11
ZUDAÑEZ,internaciones,3      egresos,2014-10-01,4,26,4,26,30
ACHACACHI,internaciones,3      egresos,2014-11-01,9,69,9,69,78
AIQUILE,internaciones,3      egresos,2014-11-01,34,82,34,82,116
ALCALA,internaciones,3      egresos,2014-11-01,0,4,0,4,4
ALTO BENI,internaciones,3      egresos,2014-11-01,0,10,0,10,10
ANTEQUERA,internaciones,3      egresos,2014-11-01,1,1,1,1,2
ANZALDO,internaciones,3      egresos,2014-11-01,0,4,0,4,4
APOLO,internaciones,3      egresos,2014-11-01,5,23,5,23,28
ARAMPAMPA,internaciones,3      egresos,2014-11-01,1,0,1,0,1
ARANI,internaciones,3      egresos,2014-11-01,0,16,0,16,16
ARBIETO,internaciones,3      egresos,2014-11-01,0,15,0,15,15
ARQUE,internaciones,3      egresos,2014-11-01,0,1,0,1,1
ASCENCION DE GUARAYOS,internaciones,3      egresos,2014-11-01,48,159,48,159,207
ATOCHA,internaciones,3      egresos,2014-11-01,78,94,78,94,172
AUCAPATA,internaciones,3      egresos,2014-11-01,1,1,1,1,2
AYO AYO,internaciones,3      egresos,2014-11-01,0,3,0,3,3
AYOPAYA (V. DE INDEPENDENCIA),internaciones,3      egresos,2014-11-01,17,48,17,48,65
BAURES,internaciones,3      egresos,2014-11-01,8,11,8,11,19
BELLA FLOR,internaciones,3      egresos,2014-11-01,0,2,0,2,2
BERMEJO,internaciones,3      egresos,2014-11-01,114,205,114,205,319
BETANZOS,internaciones,3      egresos,2014-11-01,0,24,0,24,24
BOLIVAR,internaciones,3      egresos,2014-11-01,1,1,1,1,2
BOYUIBE,internaciones,3      egresos,2014-11-01,11,29,11,29,40
CABEZAS,internaciones,3      egresos,2014-11-01,9,27,9,27,36
CAIROMA,internaciones,3      egresos,2014-11-01,2,2,2,2,4
"CAIZA ""D""",internaciones,3      egresos,2014-11-01,0,1,0,1,1
CAJUATA,internaciones,3      egresos,2014-11-01,0,8,0,8,8
CALACOTO,internaciones,3      egresos,2014-11-01,0,1,0,1,1
CALAMARCA,internaciones,3      egresos,2014-11-01,0,8,0,8,8
CAMARGO,internaciones,3      egresos,2014-11-01,24,61,24,61,85
CAMATAQUI (C. VILLA ABECIA),internaciones,3      egresos,2014-11-01,0,2,0,2,2
CAMIRI,internaciones,3      egresos,2014-11-01,93,213,93,213,306
CAPINOTA,internaciones,3      egresos,2014-11-01,5,24,5,24,29
CAQUIAVIRI,internaciones,3      egresos,2014-11-01,0,1,0,1,1
CARACOLLO,internaciones,3      egresos,2014-11-01,3,22,3,22,25
CARANAVI,internaciones,3      egresos,2014-11-01,42,170,42,170,212
CARAPARI,internaciones,3      egresos,2014-11-01,1,5,1,5,6
CARMEN RIVERO TORREZ,internaciones,3      egresos,2014-11-01,4,11,4,11,15
CATACORA,internaciones,3      egresos,2014-11-01,0,1,0,1,1
CHALLAPATA,internaciones,3      egresos,2014-11-01,20,113,20,113,133
CHARAGUA,internaciones,3      egresos,2014-11-01,10,28,10,28,38
CHARAÑA,internaciones,3      egresos,2014-11-01,0,1,0,1,1
CHAYANTA,internaciones,3      egresos,2014-11-01,3,17,3,17,20
CHIMORE,internaciones,3      egresos,2014-11-01,1,9,1,9,10
CHIPAYA,internaciones,3      egresos,2014-11-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),internaciones,3      egresos,2014-11-01,44,88,44,88,132
CKOCHAS,internaciones,3      egresos,2014-11-01,0,1,0,1,1
CLIZA,internaciones,3      egresos,2014-11-01,15,72,15,72,87
COBIJA,internaciones,3      egresos,2014-11-01,168,359,168,359,527
COCAPATA,internaciones,3      egresos,2014-11-01,0,5,0,5,5
COCHABAMBA,internaciones,3      egresos,2014-11-01,3021,5378,3021,5378,8399
COLCAPIRHUA,internaciones,3      egresos,2014-11-01,35,56,35,56,91
COLOMI,internaciones,3      egresos,2014-11-01,0,17,0,17,17
COLPA BELGICA,internaciones,3      egresos,2014-11-01,21,27,21,27,48
COLQUECHACA,internaciones,3      egresos,2014-11-01,0,7,0,7,7
COLQUENCHA,internaciones,3      egresos,2014-11-01,0,1,0,1,1
COLQUIRI,internaciones,3      egresos,2014-11-01,0,15,0,15,15
COMARAPA,internaciones,3      egresos,2014-11-01,13,19,13,19,32
CONCEPCION,internaciones,3      egresos,2014-11-01,3,2,3,2,5
CORIPATA,internaciones,3      egresos,2014-11-01,0,15,0,15,15
COROICO,internaciones,3      egresos,2014-11-01,49,76,49,76,125
COTAGAITA,internaciones,3      egresos,2014-11-01,3,7,3,7,10
COTOCA,internaciones,3      egresos,2014-11-01,22,143,22,143,165
CUATRO CAÑADAS,internaciones,3      egresos,2014-11-01,14,47,14,47,61
CUEVO,internaciones,3      egresos,2014-11-01,6,5,6,5,11
CULPINA,internaciones,3      egresos,2014-11-01,13,23,13,23,36
CURAHUARA DE CARANGAS,internaciones,3      egresos,2014-11-01,0,6,0,6,6
DESAGUADERO,internaciones,3      egresos,2014-11-01,0,10,0,10,10
EL ALTO,internaciones,3      egresos,2014-11-01,1152,2814,1152,2814,3966
EL CHORO,internaciones,3      egresos,2014-11-01,0,2,0,2,2
EL PUENTE(STC),internaciones,3      egresos,2014-11-01,12,29,12,29,41
EL TORNO,internaciones,3      egresos,2014-11-01,241,324,241,324,565
EL VILLAR,internaciones,3      egresos,2014-11-01,0,3,0,3,3
ENTRE RIOS CBBA,internaciones,3      egresos,2014-11-01,16,37,16,37,53
ESCOMA,internaciones,3      egresos,2014-11-01,8,19,8,19,27
EUCALIPTUS,internaciones,3      egresos,2014-11-01,0,2,0,2,2
FERNANDEZ ALONSO,internaciones,3      egresos,2014-11-01,15,27,15,27,42
FILADELFIA,internaciones,3      egresos,2014-11-01,0,2,0,2,2
GRAL. J.J. PEREZ (CHARAZANI),internaciones,3      egresos,2014-11-01,0,4,0,4,4
GUANAY,internaciones,3      egresos,2014-11-01,0,18,0,18,18
GUAQUI,internaciones,3      egresos,2014-11-01,0,2,0,2,2
GUAYARAMERIN,internaciones,3      egresos,2014-11-01,114,333,114,333,447
GUTIERREZ,internaciones,3      egresos,2014-11-01,3,10,3,10,13
HUACARETA,internaciones,3      egresos,2014-11-01,12,41,12,41,53
HUACAYA (VILLA DE HUACAYA),internaciones,3      egresos,2014-11-01,0,4,0,4,4
HUANUNI,internaciones,3      egresos,2014-11-01,78,110,78,110,188
HUARACAJE,internaciones,3      egresos,2014-11-01,4,15,4,15,19
HUARINA,internaciones,3      egresos,2014-11-01,2,5,2,5,7
HUAYLLAMARCA,internaciones,3      egresos,2014-11-01,2,4,2,4,6
HUMANATA,internaciones,3      egresos,2014-11-01,0,3,0,3,3
ICLA,internaciones,3      egresos,2014-11-01,0,7,0,7,7
INCAHUASI,internaciones,3      egresos,2014-11-01,1,9,1,9,10
INQUISIVI,internaciones,3      egresos,2014-11-01,1,2,1,2,3
IRUPANA (VILLA DE LANZA),internaciones,3      egresos,2014-11-01,13,22,13,22,35
IXIAMAS,internaciones,3      egresos,2014-11-01,5,19,5,19,24
JESUS DE MACHACA,internaciones,3      egresos,2014-11-01,0,11,0,11,11
LA ASUNTA,internaciones,3      egresos,2014-11-01,1,50,1,50,51
LA GUARDIA,internaciones,3      egresos,2014-11-01,36,83,36,83,119
LA PAZ,internaciones,3      egresos,2014-11-01,2694,4751,2694,4751,7445
LAGUNILLAS,internaciones,3      egresos,2014-11-01,1,12,1,12,13
LAJA,internaciones,3      egresos,2014-11-01,0,6,0,6,6
LAS CARRERAS,internaciones,3      egresos,2014-11-01,0,3,0,3,3
LLALLAGUA,internaciones,3      egresos,2014-11-01,69,185,69,185,254
LLICA,internaciones,3      egresos,2014-11-01,0,4,0,4,4
MACHACAMARCA,internaciones,3      egresos,2014-11-01,0,2,0,2,2
MACHARETI,internaciones,3      egresos,2014-11-01,0,1,0,1,1
MAGDALENA,internaciones,3      egresos,2014-11-01,32,70,32,70,102
MAIRANA,internaciones,3      egresos,2014-11-01,7,53,7,53,60
MAPIRI,internaciones,3      egresos,2014-11-01,3,27,3,27,30
MINEROS,internaciones,3      egresos,2014-11-01,7,11,7,11,18
MIZQUE,internaciones,3      egresos,2014-11-01,12,49,12,49,61
MOCOMOCO,internaciones,3      egresos,2014-11-01,0,4,0,4,4
MOJOCOYA,internaciones,3      egresos,2014-11-01,2,7,2,7,9
MONTEAGUDO,internaciones,3      egresos,2014-11-01,86,159,86,159,245
MONTERO,internaciones,3      egresos,2014-11-01,144,283,144,283,427
MORO MORO,internaciones,3      egresos,2014-11-01,1,3,1,3,4
MOROCHATA,internaciones,3      egresos,2014-11-01,0,5,0,5,5
NACEBE (SANTA ROSA DEL ABUNA),internaciones,3      egresos,2014-11-01,0,2,0,2,2
OCURI,internaciones,3      egresos,2014-11-01,0,7,0,7,7
OKINAWA,internaciones,3      egresos,2014-11-01,5,20,5,20,25
OMEREQUE,internaciones,3      egresos,2014-11-01,3,13,3,13,16
ORURO,internaciones,3      egresos,2014-11-01,861,1774,861,1774,2635
PADILLA,internaciones,3      egresos,2014-11-01,38,79,38,79,117
PAILON,internaciones,3      egresos,2014-11-01,12,68,12,68,80
PALCA,internaciones,3      egresos,2014-11-01,0,3,0,3,3
PALOS BLANCOS,internaciones,3      egresos,2014-11-01,5,45,5,45,50
PAMPA AULLAGAS,internaciones,3      egresos,2014-11-01,0,1,0,1,1
PAMPA GRANDE,internaciones,3      egresos,2014-11-01,35,10,35,10,45
PASORAPA,internaciones,3      egresos,2014-11-01,3,3,3,3,6
PATACAMAYA,internaciones,3      egresos,2014-11-01,10,24,10,24,34
PELECHUCO,internaciones,3      egresos,2014-11-01,0,2,0,2,2
POCOATA,internaciones,3      egresos,2014-11-01,2,5,2,5,7
POCONA,internaciones,3      egresos,2014-11-01,0,8,0,8,8
POJO (CBBA),internaciones,3      egresos,2014-11-01,2,15,2,15,17
POOPO,internaciones,3      egresos,2014-11-01,0,1,0,1,1
POROMA,internaciones,3      egresos,2014-11-01,1,10,1,10,11
PORONGO,internaciones,3      egresos,2014-11-01,1,5,1,5,6
PORTACHUELO,internaciones,3      egresos,2014-11-01,66,200,66,200,266
PORVENIR,internaciones,3      egresos,2014-11-01,0,11,0,11,11
POSTRER VALLE,internaciones,3      egresos,2014-11-01,1,2,1,2,3
POTOSI,internaciones,3      egresos,2014-11-01,420,928,420,928,1348
PRESTO,internaciones,3      egresos,2014-11-01,1,5,1,5,6
PUCARA,internaciones,3      egresos,2014-11-01,0,1,0,1,1
PUCARANI,internaciones,3      egresos,2014-11-01,0,12,0,12,12
PUERTO ACOSTA,internaciones,3      egresos,2014-11-01,0,2,0,2,2
PUERTO CARABUCO,internaciones,3      egresos,2014-11-01,0,1,0,1,1
PUERTO GONZALO MORENO,internaciones,3      egresos,2014-11-01,3,7,3,7,10
PUERTO QUIJARRO,internaciones,3      egresos,2014-11-01,30,38,30,38,68
PUERTO RICO,internaciones,3      egresos,2014-11-01,10,24,10,24,34
PUERTO SUAREZ,internaciones,3      egresos,2014-11-01,41,55,41,55,96
PUERTO VILLARROEL,internaciones,3      egresos,2014-11-01,66,179,66,179,245
PUNA,internaciones,3      egresos,2014-11-01,1,15,1,15,16
PUNATA,internaciones,3      egresos,2014-11-01,118,230,118,230,348
QUILLACOLLO,internaciones,3      egresos,2014-11-01,40,339,40,339,379
QUIME,internaciones,3      egresos,2014-11-01,1,3,1,3,4
REYES,internaciones,3      egresos,2014-11-01,17,23,17,23,40
RIBERALTA,internaciones,3      egresos,2014-11-01,218,252,218,252,470
ROBORE,internaciones,3      egresos,2014-11-01,28,73,28,73,101
RURRENABAQUE,internaciones,3      egresos,2014-11-01,53,145,53,145,198
SACABA,internaciones,3      egresos,2014-11-01,121,416,121,416,537
SACABAMBA,internaciones,3      egresos,2014-11-01,5,18,5,18,23
SACACA,internaciones,3      egresos,2014-11-01,1,14,1,14,15
SAIPINA,internaciones,3      egresos,2014-11-01,0,7,0,7,7
SALINAS DE GARCI MENDOZA,internaciones,3      egresos,2014-11-01,0,1,0,1,1
SAMAIPATA,internaciones,3      egresos,2014-11-01,7,26,7,26,33
SAN ANDRES,internaciones,3      egresos,2014-11-01,0,8,0,8,8
SAN ANTONIO DE LOMERIO,internaciones,3      egresos,2014-11-01,0,4,0,4,4
