municipality,group,variable,month,Niños de 2 años a menores de 5 años con dosis comp,TOTAL
ARANI,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,20,20
ARBIETO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,74,74
ARQUE,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,167,167
ASCENCION DE GUARAYOS,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,263,263
ATOCHA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,16,16
AUCAPATA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,36,36
AYATA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,27,27
AYO AYO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,57,57
AYOPAYA (V. DE INDEPENDENCIA),nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,169,169
AZURDUY,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,22,22
BATALLAS,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,56,56
BAURES,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,109,109
BELEN DE ANDAMARCA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,2,2
BELEN DE URMIRI,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,14,14
BELLA FLOR,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,18,18
BERMEJO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,184,184
BETANZOS,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,238,238
BOLIVAR,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,59,59
BOLPEBRA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,5,5
BOYUIBE,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,26,26
BUENA VISTA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,63,63
CABEZAS,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,16,16
CAIROMA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,25,25
"CAIZA ""D""",nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,21,21
CAJUATA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,36,36
CALACOTO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,46,46
CALAMARCA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,70,70
CAMARGO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,91,91
CAMATAQUI (C. VILLA ABECIA),nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,10,10
CAMIRI,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,17,17
CAPINOTA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,122,122
CAQUIAVIRI,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,2,2
CARACOLLO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,30,30
CARANAVI,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,522,522
CARAPARI,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,39,39
CARIPUYO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,104,104
CARMEN RIVERO TORREZ,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,14,14
CATACORA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,3,3
CHACARILLA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,20,20
CHALLAPATA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,81,81
CHAQUI,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,11,11
CHARAGUA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,43,43
CHARAÑA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,9,9
CHAYANTA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,71,71
CHIMORE,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,68,68
CHIPAYA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,3,3
CHOQUE COTA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,10,10
CHULUMANI (V. DE LA LIBERTAD),nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,126,126
CHUMA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,22,22
CLIZA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,18,18
COBIJA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,212,212
COCHABAMBA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,722,722
COIPASA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,10,10
COLCAPIRHUA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,534,534
"COLCHA ""K""",nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,63,63
COLLANA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,5,5
COLOMI,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,82,82
COLPA BELGICA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,39,39
COLQUECHACA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,244,244
COLQUENCHA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,92,92
COLQUIRI,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,69,69
COMANCHE,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,8,8
COMARAPA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,62,62
COMBAYA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,2,2
CONCEPCION,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,57,57
COPACABANA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,17,17
CORIPATA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,23,23
CORO CORO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,47,47
COROICO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,31,31
CORQUE,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,25,25
COTAGAITA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,121,121
COTOCA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,16,16
CUATRO CAÑADAS,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,73,73
CUCHUMUELA (V. G. VILLARROEL),nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,3,3
CUEVO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,24,24
CULPINA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,47,47
CURAHUARA DE CARANGAS,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,36,36
CURVA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,27,27
DESAGUADERO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,10,10
EL ALTO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,2130,2130
EL CHORO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,11,11
EL PUENTE(TJA),nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,45,45
EL TORNO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,237,237
EL VILLAR,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,12,12
ENTRE RIOS,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,71,71
ENTRE RIOS,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,89,89
EUCALIPTUS,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,51,51
EUREKA (SANTOS MERCADO),nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,14,14
EXALTACION,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,74,74
FERNANDEZ ALONSO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,52,52
FILADELFIA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,36,36
GENERAL SAAVEDRA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,6,6
GRAL. J.J. PEREZ (CHARAZANI),nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,79,79
GUANAY,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,10,10
GUAQUI,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,37,37
GUAYARAMERIN,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,448,448
GUTIERREZ,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,24,24
HUACARETA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,162,162
HUACAYA (VILLA DE HUACAYA),nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,36,36
HUACHACALLA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,6,6
HUANUNI,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,110,110
HUARACAJE,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,22,22
HUAYLLAMARCA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,14,14
ICHOCA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,49,49
ICLA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,24,24
INCAHUASI,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,258,258
INGAVI (HUMAITA),nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,5,5
INQUISIVI,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,59,59
IRUPANA (VILLA DE LANZA),nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,101,101
IXIAMAS,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,9,9
JESUS DE MACHACA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,41,41
LA ASUNTA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,88,88
LA GUARDIA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,168,168
LA PAZ,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,2239,2239
LA RIVERA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,4,4
LAGUNILLAS,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,11,11
LAJA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,96,96
LAS CARRERAS,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,12,12
LICOMA PAMPA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,9,9
LLALLAGUA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,102,102
LLICA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,33,33
LORETO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,95,95
LURIBAY,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,26,26
MACHACAMARCA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,16,16
MACHARETI,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,19,19
MAGDALENA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,167,167
MAIRANA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,17,17
MALLA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,7,7
MAPIRI,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,26,26
MECAPACA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,41,41
MINEROS,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,58,58
MIZQUE,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,296,296
MOCOMOCO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,100,100
MOJINETE,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,1,1
MOJOCOYA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,3,3
MONTEAGUDO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,302,302
MONTERO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,204,204
MORO MORO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,12,12
MOROCHATA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,185,185
NACEBE (SANTA ROSA DEL ABUNA),nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,29,29
NUEVO MANOA (NUEVA ESPERANZA),nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,9,9
OCURI,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,167,167
OKINAWA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,37,37
OMEREQUE,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,113,113
ORURO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,790,790
PADCAYA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,91,91
PADILLA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,6,6
PAILON,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,47,47
PALCA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,54,54
PALOS BLANCOS,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,110,110
PAMPA AULLAGAS,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,4,4
PAMPA GRANDE,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,4,4
PAPEL PAMPA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,9,9
PASORAPA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,41,41
PATACAMAYA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,44,44
PAZÑA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,21,21
PELECHUCO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,35,35
POCOATA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,85,85
POCONA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,52,52
POJO (CBBA),nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,78,78
POOPO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,6,6
PORCO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,77,77
POROMA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,144,144
PORONGO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,58,58
PORTACHUELO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,205,205
PORVENIR,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,19,19
POSTRER VALLE,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,7,7
POTOSI,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,530,530
PRESTO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,37,37
PUCARA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,2,2
PUCARANI,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,212,212
PUERTO ACOSTA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,82,82
PUERTO CARABUCO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,138,138
PUERTO GONZALO MORENO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,124,124
PUERTO PEREZ,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,41,41
PUERTO QUIJARRO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,8,8
PUERTO RICO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,101,101
PUERTO SILES,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,11,11
PUERTO SUAREZ,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,14,14
PUERTO VILLARROEL,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,125,125
PUNA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,151,151
PUNATA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,116,116
QUIABAYA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,44,44
QUILLACOLLO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,1864,1864
QUIME,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,42,42
QUIRUSILLAS,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,2,2
RAVELO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,236,236
REYES,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,219,219
RIBERALTA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,1635,1635
ROBORE,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,34,34
RURRENABAQUE,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,72,72
SABAYA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,13,13
SACABA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,220,220
SACABAMBA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,89,89
SACACA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,125,125
SAIPINA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,60,60
SALINAS DE GARCI MENDOZA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,6,6
SAMAIPATA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,45,45
SAN ANDRES,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,108,108
SAN ANDRES DE MACHACA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,30,30
SAN ANTONIO DE ESMORUCO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,26,26
SAN ANTONIO DE LOMERIO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,62,62
SAN BENITO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,28,28
SAN BORJA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,627,627
SAN BUENA VENTURA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,46,46
SAN CARLOS,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,68,68
SAN IGNACIO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,374,374
SAN IGNACIO DE VELASCO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,180,180
SAN JAVIER(BNI),nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,23,23
SAN JOAQUIN,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,15,15
SAN JOSE DE CHIQUITOS,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,56,56
SAN JUAN DE YAPACANI,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,52,52
SAN JULIAN,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,220,220
SAN LORENZO(PND),nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,20,20
SAN LORENZO(TJA),nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,77,77
SAN LUCAS,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,258,258
SAN MATIAS,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,25,25
SAN MIGUEL DE VELASCO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,33,33
SAN PABLO DE LIPEZ,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,31,31
SAN PEDRO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,88,88
SAN PEDRO DE BUENA VISTA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,462,462
SAN PEDRO DE CURAHUARA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,35,35
SAN PEDRO DE QUEMES,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,2,2
SAN PEDRO DE TIQUINA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,4,4
SAN PEDRO(PND),nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,20,20
SAN RAFAEL,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,5,5
SANTA ANA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,171,171
SANTA CRUZ DE LA SIERRA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,1798,1798
SANTA ROSA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,178,178
SANTA ROSA DEL SARA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,65,65
SANTIAGO DE CALLAPA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,12,12
SANTIAGO DE HUARI,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,42,42
SANTIAGO DE MACHACA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,15,15
SANTIVAÑES,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,7,7
SANTUARIO DE QUILLACAS,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,24,24
SAPAHAQUI,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,86,86
SENA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,8,8
SICA SICA (VILLA AROMA),nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,122,122
SICAYA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,17,17
SIPE SIPE,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,713,713
SOPACHUY,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,30,30
SORACACHI,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-10-01,32,32
