municipality,group,variable,month,Mujeres puérperas que recibieron 90 tabletas de hi,TOTAL
SANTA ANA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,56,56
SANTA CRUZ DE LA SIERRA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,689,689
SANTA ROSA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,5,5
SANTA ROSA DEL SARA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,24,24
SANTIAGO DE CALLAPA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,3,3
SANTIAGO DE HUARI,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,11,11
SANTIAGO DE MACHACA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,4,4
SANTIVAÑES,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,4,4
SANTUARIO DE QUILLACAS,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,3,3
SAPAHAQUI,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,6,6
SENA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,9,9
SICA SICA (VILLA AROMA),nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,19,19
SICAYA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,1,1
SIPE SIPE,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,18,18
SOPACHUY,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,16,16
SORACACHI,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,15,15
SORATA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,14,14
SUCRE,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,165,165
TACACOMA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,9,9
TACOBAMBA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,18,18
