,group,variable,month,1. NACIDOS VIVOS SERV/DOM,1. NACIDOS VIVOS SERV/DOM,TOTALES,TOTALES,TOTALES
URUBICHA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,5,0,5,0,5
UYUNI,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,39,3,39,3,42
VACAS,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,3,0,3,0,3
VALLEGRANDE,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,24,0,24,0,24
VIACHA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,56,4,56,4,60
VILA VILA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,2,1,2,1,3
VILLA CHARCAS,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,3,4,3,4,7
VILLA MONTES,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,71,0,71,0,71
VILLA RIVERO,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,2,0,2,0,2
VILLA SERRANO,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,2,1,2,1,3
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,132,5,132,5,137
VILLA VACA GUZMAN (MUYUPAMPA),recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,2,1,2,1,3
VILLAZON,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,34,1,34,1,35
VINTO,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,57,4,57,4,61
VITICHI,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,2,2,2,2,4
WALDO BALLIVIAN,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,1,0,1,0,1
WARNES,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,138,0,138,0,138
YACO,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,1,2,1,2,3
YACUIBA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,126,1,126,1,127
YAMPARAEZ,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,2,0,2,0,2
YANACACHI,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,1,0,1,0,1
YAPACANI,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,76,0,76,0,76
YOCALLA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,0,2,0,2,2
YOTALA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,2,0,2,0,2
YUNCHARA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,1,2,1,2,3
ZUDAÑEZ,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,5,0,5,0,5
ACACIO,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,1,2,1,2,3
ACHACACHI,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,37,4,37,4,41
ACHOCALLA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,5,1,5,1,6
AIQUILE,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,15,1,15,1,16
ALALAY,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,0,2,0,2,2
ALTO BENI,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,6,0,6,0,6
ANCORAIMES,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,0,4,0,4,4
ANDAMARCA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,1,0,1,0,1
ANTEQUERA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,0,1,0,1,1
ANZALDO,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,0,2,0,2,2
APOLO,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,18,7,18,7,25
ARAMPAMPA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,3,2,3,2,5
ARBIETO,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,7,0,7,0,7
ARQUE,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,2,14,2,14,16
ASCENCION DE GUARAYOS,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,53,0,53,0,53
ATOCHA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,12,0,12,0,12
AUCAPATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,1,5,1,5,6
AYATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,5,3,5,3,8
AYO AYO,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,1,5,1,5,6
AYOPAYA (V. DE INDEPENDENCIA),recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,14,11,14,11,25
AZURDUY,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,5,3,5,3,8
BATALLAS,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,3,2,3,2,5
BERMEJO,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,42,0,42,0,42
BETANZOS,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,18,3,18,3,21
BOLIVAR,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,2,0,2,0,2
BOYUIBE,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,4,0,4,0,4
BUENA VISTA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,5,0,5,0,5
CABEZAS,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,13,1,13,1,14
CAIROMA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,3,1,3,1,4
"CAIZA ""D""",recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,9,0,9,0,9
CAJUATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,10,2,10,2,12
CALACOTO,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,0,1,0,1,1
CALAMARCA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,3,5,3,5,8
CAMARGO,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,15,0,15,0,15
CAMATAQUI (C. VILLA ABECIA),recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,0,1,0,1,1
CAMIRI,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,40,0,40,0,40
CAPINOTA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,14,2,14,2,16
CAQUIAVIRI,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,1,1,1,1,2
CARACOLLO,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,9,1,9,1,10
CARANAVI,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,72,2,72,2,74
CARAPARI,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,15,1,15,1,16
CARIPUYO,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,3,6,3,6,9
CARMEN RIVERO TORREZ,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,8,0,8,0,8
CHACARILLA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,0,1,0,1,1
CHALLAPATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,39,8,39,8,47
CHAQUI,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,3,1,3,1,4
CHARAGUA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,44,5,44,5,49
CHAYANTA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,12,3,12,3,15
CHIMORE,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,20,0,20,0,20
CHOQUE COTA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,0,2,0,2,2
CHUA COCANI,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,1,1,1,1,2
CHULUMANI (V. DE LA LIBERTAD),recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,13,0,13,0,13
CHUMA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,5,4,5,4,9
CHUQUIHUTA AYLLU JUCUMANI,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,5,3,5,3,8
CKOCHAS,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,5,10,5,10,15
CLIZA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,27,0,27,0,27
COBIJA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,17,0,17,0,17
COCAPATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,4,10,4,10,14
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,1093,6,1093,6,1099
COLCAPIRHUA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,39,0,39,0,39
"COLCHA ""K""",recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,4,5,4,5,9
COLLANA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,1,0,1,0,1
COLOMI,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,11,2,11,2,13
COLPA BELGICA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,3,0,3,0,3
COLQUECHACA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,13,9,13,9,22
COLQUENCHA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,6,2,6,2,8
COLQUIRI,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,5,9,5,9,14
COMANCHE,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,0,1,0,1,1
COMARAPA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,13,0,13,0,13
CONCEPCION,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,17,1,17,1,18
CORIPATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,2,0,2,0,2
CORO CORO,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,3,3,3,3,6
COROICO,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,16,4,16,4,20
CORQUE,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,1,4,1,4,5
COTAGAITA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,7,3,7,3,10
COTOCA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,74,3,74,3,77
CUATRO CAÑADAS,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,19,0,19,0,19
CUCHUMUELA (V. G. VILLARROEL),recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,1,0,1,0,1
CUEVO,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,1,1,1,1,2
CULPINA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,12,7,12,7,19
CURAHUARA DE CARANGAS,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,0,2,0,2,2
CURVA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,1,0,1,0,1
DESAGUADERO,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,4,0,4,0,4
EL ALTO,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,974,23,974,23,997
EL CHORO,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,1,0,1,0,1
EL PUENTE(STC),recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,4,1,4,1,5
EL PUENTE(TJA),recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,4,0,4,0,4
EL TORNO,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,70,1,70,1,71
EL VILLAR,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,2,0,2,0,2
ENTRE RIOS TRJ,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,10,1,10,1,11
ENTRE RIOS CBBA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,35,5,35,5,40
ESCOMA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,2,0,2,0,2
EUCALIPTUS,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,2,0,2,0,2
EUREKA (SANTOS MERCADO),recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,1,0,1,0,1
FERNANDEZ ALONSO,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,6,0,6,0,6
FILADELFIA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,1,0,1,0,1
GAIOC JATUN AYLLU YURA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,3,1,3,1,4
GENERAL SAAVEDRA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,7,0,7,0,7
GRAL. J.J. PEREZ (CHARAZANI),recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,2,8,2,8,10
GUANAY,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,6,1,6,1,7
GUAQUI,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,2,2,2,2,4
GUAYARAMERIN,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,71,0,71,0,71
GUTIERREZ,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,12,5,12,5,17
HUACARAJE,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,1,0,1,0,1
HUACARETA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,3,0,3,0,3
HUACAYA (VILLA DE HUACAYA),recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,1,1,1,1,2
HUANUNI,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,14,1,14,1,15
HUARINA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,3,1,3,1,4
HUAYLLAMARCA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,1,1,1,1,2
HUMANATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,0,2,0,2,2
ICHOCA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,0,4,0,4,4
ICLA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,3,0,3,0,3
INCAHUASI,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,8,9,8,9,17
INQUISIVI,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,5,5,5,5,10
IRUPANA (VILLA DE LANZA),recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,6,4,6,4,10
IXIAMAS,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,8,1,8,1,9
JESUS DE MACHACA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,7,7,7,7,14
LA ASUNTA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,43,2,43,2,45
LA GUARDIA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,101,1,101,1,102
LA PAZ,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,1014,1,1014,1,1015
LA RIVERA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,1,0,1,0,1
LAGUNILLAS,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,4,0,4,0,4
LAJA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,7,3,7,3,10
LAS CARRERAS,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,1,0,1,0,1
LICOMA PAMPA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,1,0,1,0,1
LLALLAGUA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,55,4,55,4,59
LLICA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,1,0,1,0,1
LORETO,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,1,2,1,2,3
LURIBAY,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,1,1,1,1,2
MACHACAMARCA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,1,0,1,0,1
MACHARETI,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,1,0,1,0,1
MAGDALENA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,6,1,6,1,7
MAIRANA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,10,0,10,0,10
MALLA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,0,2,0,2,2
MAPIRI,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,17,1,17,1,18
MINEROS,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,9,0,9,0,9
MIZQUE,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,17,0,17,0,17
MOCOMOCO,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,3,5,3,5,8
MOJOCOYA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,4,1,4,1,5
MONTEAGUDO,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,23,0,23,0,23
MONTERO,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,193,0,193,0,193
MORO MORO,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,1,0,1,0,1
MOROCHATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,1,4,1,4,5
NACEBE (SANTA ROSA DEL ABUNA),recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,2,0,2,0,2
NAZACARA DE PACAJES,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,0,1,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,0,1,0,1,1
OCURI,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,10,4,10,4,14
OKINAWA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,5,0,5,0,5
OMEREQUE,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,5,0,5,0,5
ORURO,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,495,19,495,19,514
PADCAYA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,4,2,4,2,6
PADILLA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,3,0,3,0,3
PAILON,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,26,6,26,6,32
PALCA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,4,5,4,5,9
PALOS BLANCOS,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,14,7,14,7,21
PAMPA AULLAGAS,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,1,2,1,2,3
PAMPA GRANDE,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,1,0,1,0,1
PAPEL PAMPA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,0,2,0,2,2
PASORAPA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,1,1,1,1,2
PATACAMAYA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,23,1,23,1,24
PAZÑA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,4,0,4,0,4
PELECHUCO,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,2,4,2,4,6
POCOATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,10,11,10,11,21
POCONA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,6,0,6,0,6
POJO (CBBA),recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,9,1,9,1,10
PORCO,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,14,0,14,0,14
POROMA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,6,6,6,6,12
PORONGO,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,2,0,2,0,2
PORTACHUELO,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,13,0,13,0,13
PORVENIR,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,2,0,2,0,2
POSTRER VALLE,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,1,0,1,0,1
POTOSI,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,375,6,375,6,381
PRESTO,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,1,2,1,2,3
PUCARANI,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,12,15,12,15,27
PUERTO ACOSTA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,3,2,3,2,5
PUERTO CARABUCO,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,2,7,2,7,9
PUERTO GONZALO MORENO,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,3,0,3,0,3
PUERTO PEREZ,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,1,4,1,4,5
PUERTO QUIJARRO,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,16,0,16,0,16
PUERTO RICO,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,4,0,4,0,4
PUERTO SILES,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,1,0,1,0,1
PUERTO SUAREZ,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,27,0,27,0,27
PUERTO VILLARROEL,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,128,1,128,1,129
PUNA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,5,1,5,1,6
PUNATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,76,1,76,1,77
QUIABAYA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,1,0,1,0,1
QUILLACOLLO,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,190,4,190,4,194
QUIME,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,7,2,7,2,9
RAQAYPAMPA(ETA),recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,4,4,4,4,8
RAVELO,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,2,0,2,0,2
REYES,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,15,1,15,1,16
RIBERALTA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,212,0,212,0,212
ROBORE,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,21,2,21,2,23
RURRENABAQUE,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,33,3,33,3,36
SABAYA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,2,0,2,0,2
SACABA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,211,1,211,1,212
SACABAMBA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,3,0,3,0,3
SACACA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,4,12,4,12,16
SAIPINA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,3,0,3,0,3
SALINAS DE GARCI MENDOZA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,3,0,3,0,3
SAMAIPATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,1,0,1,0,1
SAN AGUSTIN,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,0,1,0,1,1
SAN ANDRES,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,4,0,4,0,4
SAN ANDRES DE MACHACA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,0,2,0,2,2
SAN ANTONIO DE ESMORUCO,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,1,0,1,0,1
SAN ANTONIO DE LOMERIO,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,6,3,6,3,9
SAN BENITO,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,2,0,2,0,2
SAN BORJA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,53,14,53,14,67
SAN BUENA VENTURA,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,11,0,11,0,11
SAN CARLOS,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,26,0,26,0,26
SAN IGNACIO,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,20,2,20,2,22
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,75,0,75,0,75
SAN JAVIER(STC),recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,20,0,20,0,20
SAN JOAQUIN,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,7,1,7,1,8
SAN JOSE DE CHIQUITOS,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,37,0,37,0,37
SAN JUAN DE YAPACANI,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,3,0,3,0,3
SAN JULIAN,recien nacidos en servicio y domicilio,nacidos vivos,2024-02-01,51,0,51,0,51
