,group,variable,month,19. RN CON ALOJAMIENTO CONJUNTO SERV/DOM,19. RN CON ALOJAMIENTO CONJUNTO SERV/DOM,TOTALES,TOTALES,TOTALES
VILLAZON,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,32,0,32,0,32
VINTO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,61,0,61,0,61
VITICHI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,2,2,2,2,4
WALDO BALLIVIAN,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,11,0,11,0,11
WARNES,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,136,0,136,0,136
YACO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,1,0,1,0,1
YACUIBA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,113,0,113,0,113
YAMPARAEZ,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,2,0,2,0,2
YAPACANI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,76,0,76,0,76
YOCALLA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,0,2,0,2,2
YOTALA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,2,0,2,0,2
YUNCHARA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,1,2,1,2,3
ZUDAÑEZ,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,5,0,5,0,5
ACACIO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,1,2,1,2,3
ACHACACHI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,36,3,36,3,39
ACHOCALLA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,5,0,5,0,5
AIQUILE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,15,0,15,0,15
ALALAY,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,0,2,0,2,2
ALTO BENI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,6,0,6,0,6
ANCORAIMES,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,0,4,0,4,4
ANDAMARCA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,1,0,1,0,1
ANTEQUERA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,0,1,0,1,1
ANZALDO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,1,0,1,0,1
ARAMPAMPA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,3,2,3,2,5
ARQUE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,2,4,2,4,6
ATOCHA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,12,0,12,0,12
AYO AYO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,1,3,1,3,4
AYOPAYA (V. DE INDEPENDENCIA),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,14,5,14,5,19
AZURDUY,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,5,3,5,3,8
BATALLAS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,3,2,3,2,5
BERMEJO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,35,0,35,0,35
BETANZOS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,18,0,18,0,18
BOLIVAR,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,2,0,2,0,2
BOYUIBE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,4,0,4,0,4
BUENA VISTA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,5,0,5,0,5
CABEZAS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,8,1,8,1,9
CAIROMA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,3,1,3,1,4
"CAIZA ""D""",recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,9,0,9,0,9
CAJUATA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,4,1,4,1,5
CALAMARCA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,0,1,0,1,1
CAMARGO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,14,0,14,0,14
CAMATAQUI (C. VILLA ABECIA),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,0,1,0,1,1
CAMIRI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,7,0,7,0,7
CAPINOTA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,14,1,14,1,15
CAQUIAVIRI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,0,1,0,1,1
CARACOLLO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,8,0,8,0,8
CARANAVI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,66,1,66,1,67
CARAPARI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,11,0,11,0,11
CARIPUYO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,3,6,3,6,9
CARMEN RIVERO TORREZ,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,8,0,8,0,8
CHALLAPATA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,39,3,39,3,42
CHAQUI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,3,1,3,1,4
CHARAGUA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,38,2,38,2,40
CHAYANTA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,12,2,12,2,14
CHOQUE COTA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,0,2,0,2,2
CHULUMANI (V. DE LA LIBERTAD),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,1,0,1,0,1
CHUQUIHUTA AYLLU JUCUMANI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,5,3,5,3,8
CKOCHAS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,4,8,4,8,12
CLIZA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,27,0,27,0,27
COBIJA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,19,0,19,0,19
COCAPATA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,4,8,4,8,12
COCHABAMBA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,998,0,998,0,998
COLCAPIRHUA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,35,0,35,0,35
"COLCHA ""K""",recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,4,1,4,1,5
COLLANA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,1,0,1,0,1
COLOMI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,11,1,11,1,12
COLQUECHACA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,13,9,13,9,22
COLQUENCHA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,3,2,3,2,5
COLQUIRI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,5,6,5,6,11
COMARAPA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,13,0,13,0,13
CONCEPCION,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,17,1,17,1,18
CORIPATA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,1,0,1,0,1
CORO CORO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,3,1,3,1,4
COROICO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,16,2,16,2,18
CORQUE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,1,4,1,4,5
COTAGAITA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,6,2,6,2,8
COTOCA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,74,3,74,3,77
CUATRO CAÑADAS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,19,0,19,0,19
CULPINA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,12,2,12,2,14
CURAHUARA DE CARANGAS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,0,1,0,1,1
EL ALTO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,734,15,734,15,749
EL CHORO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,1,0,1,0,1
EL PUENTE(STC),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,3,0,3,0,3
EL PUENTE(TJA),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,4,0,4,0,4
EL TORNO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,50,1,50,1,51
EL VILLAR,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,2,0,2,0,2
ENTRE RIOS TRJ,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,4,0,4,0,4
ENTRE RIOS CBBA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,24,1,24,1,25
ESCOMA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,2,0,2,0,2
EUCALIPTUS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,2,0,2,0,2
EUREKA (SANTOS MERCADO),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,1,0,1,0,1
FERNANDEZ ALONSO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,5,0,5,0,5
FILADELFIA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,1,0,1,0,1
GAIOC JATUN AYLLU YURA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,3,1,3,1,4
GUANAY,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,3,0,3,0,3
GUAQUI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,2,2,2,2,4
GUAYARAMERIN,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,68,0,68,0,68
GUTIERREZ,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,8,2,8,2,10
HUACARAJE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,1,0,1,0,1
HUACARETA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,3,0,3,0,3
HUACAYA (VILLA DE HUACAYA),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,1,1,1,1,2
HUANUNI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,13,0,13,0,13
HUARINA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,1,1,1,1,2
HUAYLLAMARCA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,1,1,1,1,2
HUMANATA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,0,2,0,2,2
ICHOCA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,0,3,0,3,3
ICLA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,3,0,3,0,3
INCAHUASI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,8,9,8,9,17
INQUISIVI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,5,0,5,0,5
IRUPANA (VILLA DE LANZA),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,0,1,0,1,1
JESUS DE MACHACA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,7,2,7,2,9
LA ASUNTA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,39,1,39,1,40
LA GUARDIA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,101,1,101,1,102
LA PAZ,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,626,1,626,1,627
LA RIVERA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,1,0,1,0,1
LAGUNILLAS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,4,0,4,0,4
LAS CARRERAS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,1,0,1,0,1
LICOMA PAMPA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,1,0,1,0,1
LLALLAGUA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,52,1,52,1,53
LLICA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,1,0,1,0,1
LORETO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,1,2,1,2,3
LURIBAY,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,1,1,1,1,2
MACHACAMARCA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,1,0,1,0,1
MACHARETI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,1,0,1,0,1
MAGDALENA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,6,1,6,1,7
MAIRANA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,10,0,10,0,10
MALLA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,0,2,0,2,2
MAPIRI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,17,1,17,1,18
MINEROS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,9,0,9,0,9
MIZQUE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,17,0,17,0,17
MOCOMOCO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,3,1,3,1,4
MOJOCOYA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,4,1,4,1,5
MONTEAGUDO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,23,0,23,0,23
MONTERO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,30,0,30,0,30
MOROCHATA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,0,2,0,2,2
NACEBE (SANTA ROSA DEL ABUNA),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,2,0,2,0,2
NUEVO MANOA (NUEVA ESPERANZA),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,0,1,0,1,1
OCURI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,8,3,8,3,11
OMEREQUE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,4,0,4,0,4
ORURO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,449,8,449,8,457
PADCAYA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,4,0,4,0,4
PADILLA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,3,0,3,0,3
PAILON,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,26,6,26,6,32
PALCA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,2,5,2,5,7
PALOS BLANCOS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,14,7,14,7,21
PAMPA AULLAGAS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,1,2,1,2,3
PAMPA GRANDE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,1,0,1,0,1
PASORAPA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,0,1,0,1,1
PATACAMAYA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,23,1,23,1,24
PAZÑA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,4,0,4,0,4
POCOATA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,9,9,9,9,18
POCONA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,6,0,6,0,6
POJO (CBBA),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,9,0,9,0,9
PORCO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,14,0,14,0,14
POROMA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,6,6,6,6,12
PORONGO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,2,0,2,0,2
PORTACHUELO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,11,0,11,0,11
PORVENIR,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,2,0,2,0,2
POTOSI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,364,5,364,5,369
PRESTO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,1,0,1,0,1
PUCARANI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,6,6,6,6,12
PUERTO ACOSTA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,3,2,3,2,5
PUERTO CARABUCO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,2,5,2,5,7
PUERTO GONZALO MORENO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,2,0,2,0,2
PUERTO PEREZ,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,1,2,1,2,3
PUERTO QUIJARRO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,16,0,16,0,16
PUERTO RICO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,4,0,4,0,4
PUERTO VILLARROEL,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,118,0,118,0,118
PUNA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,5,1,5,1,6
PUNATA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,34,1,34,1,35
QUIABAYA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,1,0,1,0,1
QUILLACOLLO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,175,4,175,4,179
QUIME,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,7,0,7,0,7
RAQAYPAMPA(ETA),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,4,4,4,4,8
RAVELO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,2,0,2,0,2
REYES,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,14,0,14,0,14
RIBERALTA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,206,0,206,0,206
ROBORE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,21,2,21,2,23
RURRENABAQUE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,31,3,31,3,34
SABAYA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,2,0,2,0,2
SACABA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,203,0,203,0,203
SACABAMBA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,3,0,3,0,3
SACACA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,4,6,4,6,10
SAIPINA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,3,0,3,0,3
SALINAS DE GARCI MENDOZA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,1,0,1,0,1
SAMAIPATA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,1,0,1,0,1
SAN AGUSTIN,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,0,1,0,1,1
SAN ANDRES,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,4,0,4,0,4
SAN ANDRES DE MACHACA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,0,2,0,2,2
SAN ANTONIO DE LOMERIO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,6,2,6,2,8
SAN BORJA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,49,11,49,11,60
SAN BUENA VENTURA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,10,0,10,0,10
SAN CARLOS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,4,0,4,0,4
SAN IGNACIO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,18,1,18,1,19
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,42,0,42,0,42
SAN JAVIER(STC),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,20,0,20,0,20
SAN JOSE DE CHIQUITOS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,37,0,37,0,37
SAN JUAN DE YAPACANI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-02-01,1,0,1,0,1
