municipality,group,variable,month,Repetidas,TOTAL
CHOQUE COTA,consultas prenatales,repetidas,2006-10-01,4,4
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,repetidas,2006-10-01,118,118
CHUMA,consultas prenatales,repetidas,2006-10-01,35,35
CLIZA,consultas prenatales,repetidas,2006-10-01,134,134
COBIJA,consultas prenatales,repetidas,2006-10-01,459,459
COCHABAMBA,consultas prenatales,repetidas,2006-10-01,5776,5776
COIPASA,consultas prenatales,repetidas,2006-10-01,3,3
COLCAPIRHUA,consultas prenatales,repetidas,2006-10-01,368,368
"COLCHA ""K""",consultas prenatales,repetidas,2006-10-01,38,38
COLLANA,consultas prenatales,repetidas,2006-10-01,2,2
COLOMI,consultas prenatales,repetidas,2006-10-01,127,127
COLPA BELGICA,consultas prenatales,repetidas,2006-10-01,33,33
COLQUECHACA,consultas prenatales,repetidas,2006-10-01,163,163
COLQUENCHA,consultas prenatales,repetidas,2006-10-01,26,26
COLQUIRI,consultas prenatales,repetidas,2006-10-01,127,127
COMANCHE,consultas prenatales,repetidas,2006-10-01,13,13
COMARAPA,consultas prenatales,repetidas,2006-10-01,190,190
COMBAYA,consultas prenatales,repetidas,2006-10-01,6,6
CONCEPCION,consultas prenatales,repetidas,2006-10-01,148,148
COPACABANA,consultas prenatales,repetidas,2006-10-01,63,63
CORIPATA,consultas prenatales,repetidas,2006-10-01,103,103
CORO CORO,consultas prenatales,repetidas,2006-10-01,32,32
COROICO,consultas prenatales,repetidas,2006-10-01,115,115
CORQUE,consultas prenatales,repetidas,2006-10-01,21,21
COTAGAITA,consultas prenatales,repetidas,2006-10-01,163,163
COTOCA,consultas prenatales,repetidas,2006-10-01,252,252
CUATRO CAÑADAS,consultas prenatales,repetidas,2006-10-01,86,86
CUCHUMUELA (V. G. VILLARROEL),consultas prenatales,repetidas,2006-10-01,9,9
CUEVO,consultas prenatales,repetidas,2006-10-01,28,28
CULPINA,consultas prenatales,repetidas,2006-10-01,123,123
CURAHUARA DE CARANGAS,consultas prenatales,repetidas,2006-10-01,31,31
CURVA,consultas prenatales,repetidas,2006-10-01,13,13
DESAGUADERO,consultas prenatales,repetidas,2006-10-01,31,31
EL ALTO,consultas prenatales,repetidas,2006-10-01,5075,5075
EL CHORO,consultas prenatales,repetidas,2006-10-01,14,14
EL PUENTE(STC),consultas prenatales,repetidas,2006-10-01,79,79
EL PUENTE(TJA),consultas prenatales,repetidas,2006-10-01,73,73
EL TORNO,consultas prenatales,repetidas,2006-10-01,355,355
EL VILLAR,consultas prenatales,repetidas,2006-10-01,31,31
ENTRE RIOS,consultas prenatales,repetidas,2006-10-01,92,92
ENTRE RIOS,consultas prenatales,repetidas,2006-10-01,118,118
ESCARA,consultas prenatales,repetidas,2006-10-01,1,1
ESMERALDA,consultas prenatales,repetidas,2006-10-01,1,1
EUCALIPTUS,consultas prenatales,repetidas,2006-10-01,30,30
EUREKA (SANTOS MERCADO),consultas prenatales,repetidas,2006-10-01,1,1
EXALTACION,consultas prenatales,repetidas,2006-10-01,7,7
FERNANDEZ ALONSO,consultas prenatales,repetidas,2006-10-01,126,126
FILADELFIA,consultas prenatales,repetidas,2006-10-01,13,13
GENERAL SAAVEDRA,consultas prenatales,repetidas,2006-10-01,119,119
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales,repetidas,2006-10-01,20,20
GUANAY,consultas prenatales,repetidas,2006-10-01,76,76
GUAQUI,consultas prenatales,repetidas,2006-10-01,25,25
GUAYARAMERIN,consultas prenatales,repetidas,2006-10-01,382,382
GUTIERREZ,consultas prenatales,repetidas,2006-10-01,59,59
HUACARETA,consultas prenatales,repetidas,2006-10-01,85,85
HUACAYA (VILLA DE HUACAYA),consultas prenatales,repetidas,2006-10-01,15,15
HUANUNI,consultas prenatales,repetidas,2006-10-01,238,238
HUARACAJE,consultas prenatales,repetidas,2006-10-01,28,28
HUAYLLAMARCA,consultas prenatales,repetidas,2006-10-01,11,11
ICHOCA,consultas prenatales,repetidas,2006-10-01,20,20
ICLA,consultas prenatales,repetidas,2006-10-01,79,79
INCAHUASI,consultas prenatales,repetidas,2006-10-01,183,183
INGAVI (HUMAITA),consultas prenatales,repetidas,2006-10-01,8,8
INQUISIVI,consultas prenatales,repetidas,2006-10-01,36,36
IRUPANA (VILLA DE LANZA),consultas prenatales,repetidas,2006-10-01,75,75
IXIAMAS,consultas prenatales,repetidas,2006-10-01,67,67
JESUS DE MACHACA,consultas prenatales,repetidas,2006-10-01,68,68
LA ASUNTA,consultas prenatales,repetidas,2006-10-01,188,188
LA GUARDIA,consultas prenatales,repetidas,2006-10-01,426,426
LA PAZ,consultas prenatales,repetidas,2006-10-01,7150,7150
LAGUNILLAS,consultas prenatales,repetidas,2006-10-01,26,26
LAJA,consultas prenatales,repetidas,2006-10-01,45,45
LAS CARRERAS,consultas prenatales,repetidas,2006-10-01,20,20
LICOMA PAMPA,consultas prenatales,repetidas,2006-10-01,7,7
LLALLAGUA,consultas prenatales,repetidas,2006-10-01,335,335
LLICA,consultas prenatales,repetidas,2006-10-01,16,16
LORETO,consultas prenatales,repetidas,2006-10-01,14,14
LURIBAY,consultas prenatales,repetidas,2006-10-01,24,24
MACHACAMARCA,consultas prenatales,repetidas,2006-10-01,15,15
MACHARETI,consultas prenatales,repetidas,2006-10-01,62,62
MAGDALENA,consultas prenatales,repetidas,2006-10-01,82,82
MAIRANA,consultas prenatales,repetidas,2006-10-01,83,83
MALLA,consultas prenatales,repetidas,2006-10-01,14,14
MAPIRI,consultas prenatales,repetidas,2006-10-01,96,96
MECAPACA,consultas prenatales,repetidas,2006-10-01,29,29
MINEROS,consultas prenatales,repetidas,2006-10-01,149,149
MIZQUE,consultas prenatales,repetidas,2006-10-01,125,125
MOCOMOCO,consultas prenatales,repetidas,2006-10-01,43,43
MOJINETE,consultas prenatales,repetidas,2006-10-01,1,1
MOJOCOYA,consultas prenatales,repetidas,2006-10-01,47,47
MONTEAGUDO,consultas prenatales,repetidas,2006-10-01,294,294
MONTERO,consultas prenatales,repetidas,2006-10-01,604,604
MORO MORO,consultas prenatales,repetidas,2006-10-01,15,15
MOROCHATA,consultas prenatales,repetidas,2006-10-01,101,101
NACEBE (SANTA ROSA DEL ABUNA),consultas prenatales,repetidas,2006-10-01,4,4
NUEVO MANOA (NUEVA ESPERANZA),consultas prenatales,repetidas,2006-10-01,5,5
OCURI,consultas prenatales,repetidas,2006-10-01,104,104
OKINAWA,consultas prenatales,repetidas,2006-10-01,117,117
OMEREQUE,consultas prenatales,repetidas,2006-10-01,23,23
ORURO,consultas prenatales,repetidas,2006-10-01,2303,2303
PADCAYA,consultas prenatales,repetidas,2006-10-01,90,90
PADILLA,consultas prenatales,repetidas,2006-10-01,101,101
PAILON,consultas prenatales,repetidas,2006-10-01,77,77
PALCA,consultas prenatales,repetidas,2006-10-01,18,18
PALOS BLANCOS,consultas prenatales,repetidas,2006-10-01,126,126
PAMPA AULLAGAS,consultas prenatales,repetidas,2006-10-01,16,16
PAMPA GRANDE,consultas prenatales,repetidas,2006-10-01,37,37
PAPEL PAMPA,consultas prenatales,repetidas,2006-10-01,19,19
PASORAPA,consultas prenatales,repetidas,2006-10-01,15,15
PATACAMAYA,consultas prenatales,repetidas,2006-10-01,100,100
PAZÑA,consultas prenatales,repetidas,2006-10-01,23,23
PELECHUCO,consultas prenatales,repetidas,2006-10-01,15,15
POCOATA,consultas prenatales,repetidas,2006-10-01,112,112
POCONA,consultas prenatales,repetidas,2006-10-01,48,48
POJO (CBBA),consultas prenatales,repetidas,2006-10-01,49,49
POOPO,consultas prenatales,repetidas,2006-10-01,16,16
PORCO,consultas prenatales,repetidas,2006-10-01,78,78
POROMA,consultas prenatales,repetidas,2006-10-01,99,99
PORONGO,consultas prenatales,repetidas,2006-10-01,26,26
PORTACHUELO,consultas prenatales,repetidas,2006-10-01,149,149
PORVENIR,consultas prenatales,repetidas,2006-10-01,39,39
POSTRER VALLE,consultas prenatales,repetidas,2006-10-01,4,4
POTOSI,consultas prenatales,repetidas,2006-10-01,1540,1540
PRESTO,consultas prenatales,repetidas,2006-10-01,42,42
PUCARA,consultas prenatales,repetidas,2006-10-01,10,10
PUCARANI,consultas prenatales,repetidas,2006-10-01,111,111
PUERTO ACOSTA,consultas prenatales,repetidas,2006-10-01,56,56
PUERTO CARABUCO,consultas prenatales,repetidas,2006-10-01,33,33
PUERTO GONZALO MORENO,consultas prenatales,repetidas,2006-10-01,36,36
PUERTO PEREZ,consultas prenatales,repetidas,2006-10-01,11,11
PUERTO QUIJARRO,consultas prenatales,repetidas,2006-10-01,51,51
PUERTO RICO,consultas prenatales,repetidas,2006-10-01,41,41
PUERTO SILES,consultas prenatales,repetidas,2006-10-01,2,2
PUERTO SUAREZ,consultas prenatales,repetidas,2006-10-01,112,112
PUERTO VILLARROEL,consultas prenatales,repetidas,2006-10-01,271,271
PUNA,consultas prenatales,repetidas,2006-10-01,186,186
PUNATA,consultas prenatales,repetidas,2006-10-01,189,189
QUIABAYA,consultas prenatales,repetidas,2006-10-01,4,4
QUILLACOLLO,consultas prenatales,repetidas,2006-10-01,510,510
QUIME,consultas prenatales,repetidas,2006-10-01,34,34
QUIRUSILLAS,consultas prenatales,repetidas,2006-10-01,5,5
RAVELO,consultas prenatales,repetidas,2006-10-01,118,118
REYES,consultas prenatales,repetidas,2006-10-01,93,93
RIBERALTA,consultas prenatales,repetidas,2006-10-01,1002,1002
ROBORE,consultas prenatales,repetidas,2006-10-01,74,74
RURRENABAQUE,consultas prenatales,repetidas,2006-10-01,97,97
SABAYA,consultas prenatales,repetidas,2006-10-01,13,13
SACABA,consultas prenatales,repetidas,2006-10-01,541,541
SACABAMBA,consultas prenatales,repetidas,2006-10-01,14,14
SACACA,consultas prenatales,repetidas,2006-10-01,169,169
SAIPINA,consultas prenatales,repetidas,2006-10-01,31,31
SALINAS DE GARCI MENDOZA,consultas prenatales,repetidas,2006-10-01,35,35
SAMAIPATA,consultas prenatales,repetidas,2006-10-01,53,53
SAN AGUSTIN,consultas prenatales,repetidas,2006-10-01,11,11
SAN ANDRES,consultas prenatales,repetidas,2006-10-01,48,48
SAN ANDRES DE MACHACA,consultas prenatales,repetidas,2006-10-01,21,21
SAN ANTONIO DE ESMORUCO,consultas prenatales,repetidas,2006-10-01,17,17
SAN ANTONIO DE LOMERIO,consultas prenatales,repetidas,2006-10-01,30,30
SAN BENITO,consultas prenatales,repetidas,2006-10-01,47,47
SAN BORJA,consultas prenatales,repetidas,2006-10-01,247,247
SAN BUENA VENTURA,consultas prenatales,repetidas,2006-10-01,110,110
SAN CARLOS,consultas prenatales,repetidas,2006-10-01,205,205
SAN IGNACIO,consultas prenatales,repetidas,2006-10-01,130,130
SAN IGNACIO DE VELASCO,consultas prenatales,repetidas,2006-10-01,371,371
SAN JAVIER(BNI),consultas prenatales,repetidas,2006-10-01,5,5
SAN JAVIER(STC),consultas prenatales,repetidas,2006-10-01,116,116
SAN JOAQUIN,consultas prenatales,repetidas,2006-10-01,33,33
SAN JOSE DE CHIQUITOS,consultas prenatales,repetidas,2006-10-01,65,65
SAN JUAN DE YAPACANI,consultas prenatales,repetidas,2006-10-01,75,75
SAN JULIAN,consultas prenatales,repetidas,2006-10-01,242,242
SAN LORENZO(PND),consultas prenatales,repetidas,2006-10-01,21,21
SAN LORENZO(TJA),consultas prenatales,repetidas,2006-10-01,85,85
SAN LUCAS,consultas prenatales,repetidas,2006-10-01,282,282
SAN MATIAS,consultas prenatales,repetidas,2006-10-01,39,39
SAN MIGUEL DE VELASCO,consultas prenatales,repetidas,2006-10-01,77,77
SAN PABLO DE LIPEZ,consultas prenatales,repetidas,2006-10-01,22,22
SAN PEDRO,consultas prenatales,repetidas,2006-10-01,106,106
SAN PEDRO DE BUENA VISTA,consultas prenatales,repetidas,2006-10-01,105,105
SAN PEDRO DE CURAHUARA,consultas prenatales,repetidas,2006-10-01,7,7
SAN PEDRO DE QUEMES,consultas prenatales,repetidas,2006-10-01,2,2
SAN PEDRO DE TIQUINA,consultas prenatales,repetidas,2006-10-01,15,15
SAN PEDRO(PND),consultas prenatales,repetidas,2006-10-01,13,13
SAN RAFAEL,consultas prenatales,repetidas,2006-10-01,48,48
SAN RAMON,consultas prenatales,repetidas,2006-10-01,32,32
SAN RAMON,consultas prenatales,repetidas,2006-10-01,40,40
SANTA ANA,consultas prenatales,repetidas,2006-10-01,178,178
SANTA CRUZ DE LA SIERRA,consultas prenatales,repetidas,2006-10-01,8191,8191
SANTA ROSA,consultas prenatales,repetidas,2006-10-01,87,87
SANTA ROSA DEL SARA,consultas prenatales,repetidas,2006-10-01,176,176
SANTIAGO DE CALLAPA,consultas prenatales,repetidas,2006-10-01,7,7
SANTIAGO DE HUARI,consultas prenatales,repetidas,2006-10-01,46,46
SANTIAGO DE MACHACA,consultas prenatales,repetidas,2006-10-01,10,10
SANTIVAÑES,consultas prenatales,repetidas,2006-10-01,24,24
SANTUARIO DE QUILLACAS,consultas prenatales,repetidas,2006-10-01,7,7
SAPAHAQUI,consultas prenatales,repetidas,2006-10-01,18,18
SENA,consultas prenatales,repetidas,2006-10-01,83,83
SICA SICA (VILLA AROMA),consultas prenatales,repetidas,2006-10-01,57,57
SICAYA,consultas prenatales,repetidas,2006-10-01,8,8
SIPE SIPE,consultas prenatales,repetidas,2006-10-01,255,255
SOPACHUY,consultas prenatales,repetidas,2006-10-01,66,66
SORACACHI,consultas prenatales,repetidas,2006-10-01,6,6
SORATA,consultas prenatales,repetidas,2006-10-01,64,64
SUCRE,consultas prenatales,repetidas,2006-10-01,2440,2440
TACACHI,consultas prenatales,repetidas,2006-10-01,5,5
TACACOMA,consultas prenatales,repetidas,2006-10-01,31,31
TACOBAMBA,consultas prenatales,repetidas,2006-10-01,21,21
TACOPAYA,consultas prenatales,repetidas,2006-10-01,56,56
TAHUA,consultas prenatales,repetidas,2006-10-01,3,3
TAPACARI,consultas prenatales,repetidas,2006-10-01,120,120
TARABUCO,consultas prenatales,repetidas,2006-10-01,158,158
TARACO,consultas prenatales,repetidas,2006-10-01,11,11
TARATA,consultas prenatales,repetidas,2006-10-01,39,39
TARIJA,consultas prenatales,repetidas,2006-10-01,1146,1146
TARVITA,consultas prenatales,repetidas,2006-10-01,125,125
TEOPONTE,consultas prenatales,repetidas,2006-10-01,23,23
TIAWANACU,consultas prenatales,repetidas,2006-10-01,51,51
TINGUIPAYA,consultas prenatales,repetidas,2006-10-01,112,112
TIPUANI,consultas prenatales,repetidas,2006-10-01,84,84
TIQUIPAYA,consultas prenatales,repetidas,2006-10-01,367,367
TIRAQUE (CBBA),consultas prenatales,repetidas,2006-10-01,301,301
TITO YUPANQUI (PARQUIPUJIO),consultas prenatales,repetidas,2006-10-01,5,5
TOCO,consultas prenatales,repetidas,2006-10-01,11,11
TOLATA,consultas prenatales,repetidas,2006-10-01,10,10
TOLEDO,consultas prenatales,repetidas,2006-10-01,25,25
TOMAVE,consultas prenatales,repetidas,2006-10-01,33,33
TOMINA,consultas prenatales,repetidas,2006-10-01,76,76
TORO TORO,consultas prenatales,repetidas,2006-10-01,55,55
TOTORA(CBBA),consultas prenatales,repetidas,2006-10-01,82,82
TOTORA(ORR),consultas prenatales,repetidas,2006-10-01,14,14
TRIGAL,consultas prenatales,repetidas,2006-10-01,7,7
TRINIDAD,consultas prenatales,repetidas,2006-10-01,849,849
TUPIZA,consultas prenatales,repetidas,2006-10-01,340,340
TURCO,consultas prenatales,repetidas,2006-10-01,23,23
UMALA,consultas prenatales,repetidas,2006-10-01,9,9
UNCIA,consultas prenatales,repetidas,2006-10-01,178,178
URIONDO (A. CONCEPCION),consultas prenatales,repetidas,2006-10-01,101,101
URUBICHA,consultas prenatales,repetidas,2006-10-01,61,61
UYUNI,consultas prenatales,repetidas,2006-10-01,144,144
VACAS,consultas prenatales,repetidas,2006-10-01,84,84
VALLEGRANDE,consultas prenatales,repetidas,2006-10-01,76,76
VIACHA,consultas prenatales,repetidas,2006-10-01,222,222
VILA VILA,consultas prenatales,repetidas,2006-10-01,15,15
VILLA MONTES,consultas prenatales,repetidas,2006-10-01,229,229
VILLA NUEVA (LOMA ALTA),consultas prenatales,repetidas,2006-10-01,1,1
VILLA RIVERO,consultas prenatales,repetidas,2006-10-01,11,11
VILLA SERRANO,consultas prenatales,repetidas,2006-10-01,114,114
VILLA TUNARI,consultas prenatales,repetidas,2006-10-01,438,438
VILLA VACA GUZMAN (MUYUPAMPA),consultas prenatales,repetidas,2006-10-01,56,56
VILLAZON,consultas prenatales,repetidas,2006-10-01,328,328
VINTO,consultas prenatales,repetidas,2006-10-01,147,147
VITICHI,consultas prenatales,repetidas,2006-10-01,86,86
WALDO BALLIVIAN,consultas prenatales,repetidas,2006-10-01,11,11
WARNES,consultas prenatales,repetidas,2006-10-01,481,481
YACO,consultas prenatales,repetidas,2006-10-01,17,17
YACUIBA,consultas prenatales,repetidas,2006-10-01,448,448
YAMPARAEZ,consultas prenatales,repetidas,2006-10-01,58,58
YANACACHI,consultas prenatales,repetidas,2006-10-01,15,15
YAPACANI,consultas prenatales,repetidas,2006-10-01,310,310
YOCALLA,consultas prenatales,repetidas,2006-10-01,25,25
YOTALA,consultas prenatales,repetidas,2006-10-01,61,61
YUNCHARA,consultas prenatales,repetidas,2006-10-01,34,34
ZUDAÑEZ,consultas prenatales,repetidas,2006-10-01,55,55
ACACIO,consultas prenatales,repetidas,2006-11-01,44,44
ACHACACHI,consultas prenatales,repetidas,2006-11-01,167,167
ACHOCALLA,consultas prenatales,repetidas,2006-11-01,33,33
AIQUILE,consultas prenatales,repetidas,2006-11-01,210,210
ALCALA,consultas prenatales,repetidas,2006-11-01,28,28
ANCORAIMES,consultas prenatales,repetidas,2006-11-01,75,75
ANDAMARCA,consultas prenatales,repetidas,2006-11-01,9,9
ANTEQUERA,consultas prenatales,repetidas,2006-11-01,32,32
ANZALDO,consultas prenatales,repetidas,2006-11-01,15,15
APOLO,consultas prenatales,repetidas,2006-11-01,80,80
ARAMPAMPA,consultas prenatales,repetidas,2006-11-01,30,30
ARANI,consultas prenatales,repetidas,2006-11-01,28,28
ARBIETO,consultas prenatales,repetidas,2006-11-01,15,15
ARQUE,consultas prenatales,repetidas,2006-11-01,33,33
ASCENCION DE GUARAYOS,consultas prenatales,repetidas,2006-11-01,168,168
ATOCHA,consultas prenatales,repetidas,2006-11-01,54,54
AUCAPATA,consultas prenatales,repetidas,2006-11-01,6,6
AYATA,consultas prenatales,repetidas,2006-11-01,20,20
AYO AYO,consultas prenatales,repetidas,2006-11-01,18,18
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,repetidas,2006-11-01,143,143
AZURDUY,consultas prenatales,repetidas,2006-11-01,96,96
BATALLAS,consultas prenatales,repetidas,2006-11-01,54,54
BAURES,consultas prenatales,repetidas,2006-11-01,27,27
BELEN DE ANDAMARCA,consultas prenatales,repetidas,2006-11-01,1,1
BELEN DE URMIRI,consultas prenatales,repetidas,2006-11-01,5,5
BELLA FLOR,consultas prenatales,repetidas,2006-11-01,7,7
BERMEJO,consultas prenatales,repetidas,2006-11-01,177,177
BETANZOS,consultas prenatales,repetidas,2006-11-01,214,214
BOLIVAR,consultas prenatales,repetidas,2006-11-01,33,33
BOLPEBRA,consultas prenatales,repetidas,2006-11-01,2,2
BOYUIBE,consultas prenatales,repetidas,2006-11-01,18,18
BUENA VISTA,consultas prenatales,repetidas,2006-11-01,78,78
CABEZAS,consultas prenatales,repetidas,2006-11-01,108,108
CAIROMA,consultas prenatales,repetidas,2006-11-01,46,46
"CAIZA ""D""",consultas prenatales,repetidas,2006-11-01,47,47
CAJUATA,consultas prenatales,repetidas,2006-11-01,56,56
CALACOTO,consultas prenatales,repetidas,2006-11-01,11,11
CALAMARCA,consultas prenatales,repetidas,2006-11-01,48,48
CAMARGO,consultas prenatales,repetidas,2006-11-01,112,112
CAMATAQUI (C. VILLA ABECIA),consultas prenatales,repetidas,2006-11-01,28,28
CAMIRI,consultas prenatales,repetidas,2006-11-01,178,178
CAPINOTA,consultas prenatales,repetidas,2006-11-01,151,151
CAQUIAVIRI,consultas prenatales,repetidas,2006-11-01,18,18
CARACOLLO,consultas prenatales,repetidas,2006-11-01,110,110
CARANAVI,consultas prenatales,repetidas,2006-11-01,317,317
CARANGAS,consultas prenatales,repetidas,2006-11-01,1,1
CARAPARI,consultas prenatales,repetidas,2006-11-01,58,58
CARIPUYO,consultas prenatales,repetidas,2006-11-01,48,48
CARMEN RIVERO TORREZ,consultas prenatales,repetidas,2006-11-01,18,18
CATACORA,consultas prenatales,repetidas,2006-11-01,4,4
CHALLAPATA,consultas prenatales,repetidas,2006-11-01,134,134
CHAQUI,consultas prenatales,repetidas,2006-11-01,18,18
CHARAGUA,consultas prenatales,repetidas,2006-11-01,190,190
CHARAÑA,consultas prenatales,repetidas,2006-11-01,10,10
CHAYANTA,consultas prenatales,repetidas,2006-11-01,112,112
CHIMORE,consultas prenatales,repetidas,2006-11-01,45,45
CHIPAYA,consultas prenatales,repetidas,2006-11-01,7,7
CHOQUE COTA,consultas prenatales,repetidas,2006-11-01,9,9
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,repetidas,2006-11-01,137,137
CHUMA,consultas prenatales,repetidas,2006-11-01,35,35
CLIZA,consultas prenatales,repetidas,2006-11-01,136,136
COBIJA,consultas prenatales,repetidas,2006-11-01,416,416
COCHABAMBA,consultas prenatales,repetidas,2006-11-01,4940,4940
COLCAPIRHUA,consultas prenatales,repetidas,2006-11-01,354,354
"COLCHA ""K""",consultas prenatales,repetidas,2006-11-01,41,41
COLLANA,consultas prenatales,repetidas,2006-11-01,8,8
COLOMI,consultas prenatales,repetidas,2006-11-01,117,117
COLPA BELGICA,consultas prenatales,repetidas,2006-11-01,32,32
COLQUECHACA,consultas prenatales,repetidas,2006-11-01,182,182
COLQUENCHA,consultas prenatales,repetidas,2006-11-01,25,25
COLQUIRI,consultas prenatales,repetidas,2006-11-01,98,98
COMANCHE,consultas prenatales,repetidas,2006-11-01,10,10
COMARAPA,consultas prenatales,repetidas,2006-11-01,163,163
COMBAYA,consultas prenatales,repetidas,2006-11-01,6,6
CONCEPCION,consultas prenatales,repetidas,2006-11-01,114,114
COPACABANA,consultas prenatales,repetidas,2006-11-01,45,45
CORIPATA,consultas prenatales,repetidas,2006-11-01,91,91
CORO CORO,consultas prenatales,repetidas,2006-11-01,26,26
COROICO,consultas prenatales,repetidas,2006-11-01,101,101
CORQUE,consultas prenatales,repetidas,2006-11-01,19,19
COTAGAITA,consultas prenatales,repetidas,2006-11-01,136,136
COTOCA,consultas prenatales,repetidas,2006-11-01,210,210
CUATRO CAÑADAS,consultas prenatales,repetidas,2006-11-01,89,89
CUCHUMUELA (V. G. VILLARROEL),consultas prenatales,repetidas,2006-11-01,5,5
CUEVO,consultas prenatales,repetidas,2006-11-01,24,24
CULPINA,consultas prenatales,repetidas,2006-11-01,132,132
CURAHUARA DE CARANGAS,consultas prenatales,repetidas,2006-11-01,43,43
CURVA,consultas prenatales,repetidas,2006-11-01,17,17
DESAGUADERO,consultas prenatales,repetidas,2006-11-01,32,32
EL ALTO,consultas prenatales,repetidas,2006-11-01,4926,4926
EL CHORO,consultas prenatales,repetidas,2006-11-01,18,18
EL PUENTE(STC),consultas prenatales,repetidas,2006-11-01,87,87
EL PUENTE(TJA),consultas prenatales,repetidas,2006-11-01,48,48
EL TORNO,consultas prenatales,repetidas,2006-11-01,276,276
EL VILLAR,consultas prenatales,repetidas,2006-11-01,26,26
ENTRE RIOS,consultas prenatales,repetidas,2006-11-01,105,105
ENTRE RIOS,consultas prenatales,repetidas,2006-11-01,91,91
ESCARA,consultas prenatales,repetidas,2006-11-01,1,1
ESMERALDA,consultas prenatales,repetidas,2006-11-01,1,1
EUCALIPTUS,consultas prenatales,repetidas,2006-11-01,20,20
EUREKA (SANTOS MERCADO),consultas prenatales,repetidas,2006-11-01,10,10
EXALTACION,consultas prenatales,repetidas,2006-11-01,19,19
FERNANDEZ ALONSO,consultas prenatales,repetidas,2006-11-01,99,99
FILADELFIA,consultas prenatales,repetidas,2006-11-01,12,12
GENERAL SAAVEDRA,consultas prenatales,repetidas,2006-11-01,91,91
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales,repetidas,2006-11-01,18,18
GUANAY,consultas prenatales,repetidas,2006-11-01,74,74
GUAQUI,consultas prenatales,repetidas,2006-11-01,22,22
GUAYARAMERIN,consultas prenatales,repetidas,2006-11-01,407,407
GUTIERREZ,consultas prenatales,repetidas,2006-11-01,53,53
HUACARETA,consultas prenatales,repetidas,2006-11-01,89,89
HUACAYA (VILLA DE HUACAYA),consultas prenatales,repetidas,2006-11-01,19,19
HUACHACALLA,consultas prenatales,repetidas,2006-11-01,10,10
HUANUNI,consultas prenatales,repetidas,2006-11-01,231,231
HUARACAJE,consultas prenatales,repetidas,2006-11-01,29,29
HUAYLLAMARCA,consultas prenatales,repetidas,2006-11-01,16,16
ICHOCA,consultas prenatales,repetidas,2006-11-01,20,20
ICLA,consultas prenatales,repetidas,2006-11-01,92,92
INCAHUASI,consultas prenatales,repetidas,2006-11-01,179,179
INGAVI (HUMAITA),consultas prenatales,repetidas,2006-11-01,3,3
INQUISIVI,consultas prenatales,repetidas,2006-11-01,21,21
IRUPANA (VILLA DE LANZA),consultas prenatales,repetidas,2006-11-01,75,75
IXIAMAS,consultas prenatales,repetidas,2006-11-01,57,57
JESUS DE MACHACA,consultas prenatales,repetidas,2006-11-01,39,39
LA ASUNTA,consultas prenatales,repetidas,2006-11-01,244,244
LA GUARDIA,consultas prenatales,repetidas,2006-11-01,386,386
LA PAZ,consultas prenatales,repetidas,2006-11-01,7175,7175
LAGUNILLAS,consultas prenatales,repetidas,2006-11-01,21,21
LAJA,consultas prenatales,repetidas,2006-11-01,54,54
LAS CARRERAS,consultas prenatales,repetidas,2006-11-01,29,29
LICOMA PAMPA,consultas prenatales,repetidas,2006-11-01,9,9
LLALLAGUA,consultas prenatales,repetidas,2006-11-01,297,297
LLICA,consultas prenatales,repetidas,2006-11-01,20,20
LORETO,consultas prenatales,repetidas,2006-11-01,11,11
LURIBAY,consultas prenatales,repetidas,2006-11-01,35,35
MACHACAMARCA,consultas prenatales,repetidas,2006-11-01,14,14
MACHARETI,consultas prenatales,repetidas,2006-11-01,62,62
MAGDALENA,consultas prenatales,repetidas,2006-11-01,75,75
MAIRANA,consultas prenatales,repetidas,2006-11-01,91,91
MALLA,consultas prenatales,repetidas,2006-11-01,13,13
MAPIRI,consultas prenatales,repetidas,2006-11-01,142,142
MECAPACA,consultas prenatales,repetidas,2006-11-01,35,35
MINEROS,consultas prenatales,repetidas,2006-11-01,131,131
MIZQUE,consultas prenatales,repetidas,2006-11-01,144,144
MOCOMOCO,consultas prenatales,repetidas,2006-11-01,33,33
MOJOCOYA,consultas prenatales,repetidas,2006-11-01,38,38
MONTEAGUDO,consultas prenatales,repetidas,2006-11-01,283,283
MONTERO,consultas prenatales,repetidas,2006-11-01,639,639
MORO MORO,consultas prenatales,repetidas,2006-11-01,12,12
MOROCHATA,consultas prenatales,repetidas,2006-11-01,86,86
NACEBE (SANTA ROSA DEL ABUNA),consultas prenatales,repetidas,2006-11-01,3,3
NUEVO MANOA (NUEVA ESPERANZA),consultas prenatales,repetidas,2006-11-01,6,6
OCURI,consultas prenatales,repetidas,2006-11-01,127,127
OKINAWA,consultas prenatales,repetidas,2006-11-01,116,116
OMEREQUE,consultas prenatales,repetidas,2006-11-01,30,30
ORURO,consultas prenatales,repetidas,2006-11-01,2106,2106
PADCAYA,consultas prenatales,repetidas,2006-11-01,85,85
PADILLA,consultas prenatales,repetidas,2006-11-01,117,117
