,group,variable,month,PERSONAS CON PRE-CONSEJERIA REALIZADAS PARA ACCESO A LA PRUEBA RÁPIDA CANTIDAD,PERSONAS CON PRE-CONSEJERIA REALIZADAS PARA ACCESO A LA PRUEBA RÁPIDA CANTIDAD,TOTALES
SAN JAVIER(STC),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,1,28,29
SAN JOSE DE CHIQUITOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,10,20,30
SAN JUAN DE YAPACANI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,3,22,25
SAN JULIAN,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,7,91,98
SAN LORENZO(PND),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,3,22,25
SAN LORENZO(TJA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,0,12,12
SAN LUCAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,5,88,93
SAN MATIAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,2,41,43
SAN MIGUEL DE VELASCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,1,19,20
SAN PEDRO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,2,22,24
SANTA ANA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,5,43,48
SANTA CRUZ DE LA SIERRA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,511,1068,1579
SANTA ROSA DEL SARA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,0,13,13
SENA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,0,19,19
SHINAOTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,11,21,32
SIPE SIPE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,9,83,92
SOPACHUY,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,1,10,11
SUCRE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,53,1149,1202
TAPACARI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,1,0,1
TARABUCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,4,39,43
TARIJA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,239,187,426
TARVITA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,3,31,34
TOCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,0,7,7
TOLATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,0,6,6
TOLEDO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,0,1,1
TOMINA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,0,10,10
TRINIDAD,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,146,250,396
TUPIZA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,0,12,12
TURCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,20,9,29
UNCIA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,1,14,15
URIONDO (A. CONCEPCION),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,0,3,3
URUBICHA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,1,19,20
VALLEGRANDE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,0,47,47
VIACHA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,2,66,68
VILLA CHARCAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,0,24,24
VILLA MONTES,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,0,47,47
VILLA NUEVA (LOMA ALTA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,0,11,11
VILLA SERRANO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,1,16,17
VILLA TUNARI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,5,259,264
VILLAZON,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,4,133,137
WARNES,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,6,82,88
YACUIBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,28,146,174
YAMPARAEZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,0,10,10
YOTALA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,1,13,14
YUNCHARA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,3,7,10
ZUDAÑEZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,1,21,22
ACHACACHI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,2,29,31
AIQUILE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,3,9,12
ALCALA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,2,9,11
ANDAMARCA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,4,28,32
ANTEQUERA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,3,44,47
ASCENCION DE GUARAYOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,10,91,101
AYATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,1,18,19
AZURDUY,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,1,16,17
BELEN DE ANDAMARCA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,0,13,13
BERMEJO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,0,65,65
BETANZOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,3,24,27
BOLPEBRA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,1,3,4
BUENA VISTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,1,13,14
CAMARGO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,0,34,34
CAMATAQUI (C. VILLA ABECIA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,2,10,12
CAMIRI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,33,169,202
CAPINOTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,4,43,47
CARACOLLO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,1,23,24
CARANAVI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,17,121,138
CARMEN RIVERO TORREZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,25,43,68
CHALLAPATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,2,61,63
CHIMORE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,2,19,21
CHOQUE COTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,0,8,8
CHUMA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,0,6,6
CLIZA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,0,1,1
COBIJA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,24,89,113
COCAPATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,0,5,5
COCHABAMBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,107,466,573
COLCAPIRHUA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,0,8,8
COLPA BELGICA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,9,11,20
COROICO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,2,33,35
CORQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,0,11,11
COTAGAITA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,1,8,9
COTOCA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,0,61,61
CUATRO CAÑADAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,0,43,43
CULPINA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,7,44,51
DESAGUADERO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,0,12,12
EL ALTO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,186,1819,2005
EL CHORO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,0,7,7
EL PUENTE(STC),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,5,14,19
EL TORNO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,10,123,133
EL VILLAR,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,1,2,3
ENTRE RIOS TRJ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,6,21,27
ENTRE RIOS CBBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,3,56,59
ESCOMA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,7,26,33
FILADELFIA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,0,7,7
GUAYARAMERIN,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,610,265,875
HUACARETA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,0,6,6
HUACAYA (VILLA DE HUACAYA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,5,10,15
HUANUNI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,8,53,61
ICLA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,7,25,32
INCAHUASI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,1,27,28
INGAVI (HUMAITA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,0,6,6
INQUISIVI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,0,6,6
LA GUARDIA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,7,75,82
LA PAZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,276,373,649
LAGUNILLAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,0,15,15
LAS CARRERAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,0,7,7
MACHACAMARCA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,2,5,7
MACHARETI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,2,18,20
MAIRANA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,1,48,49
MAPIRI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,5,5,10
MIZQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,1,10,11
MOJOCOYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,4,13,17
MONTEAGUDO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,7,68,75
MONTERO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,8,278,286
MOROCHATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,0,5,5
NACEBE (SANTA ROSA DEL ABUNA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,0,18,18
NUEVO MANOA (NUEVA ESPERANZA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,0,3,3
ORURO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,43,398,441
PADCAYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,0,13,13
PADILLA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,0,30,30
PAILON,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,10,129,139
PAMPA GRANDE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,6,34,40
PATACAMAYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,10,84,94
POOPO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,0,5,5
POROMA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,0,5,5
PORONGO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,3,20,23
PORTACHUELO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,5,1,6
PORVENIR,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,0,22,22
POTOSI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,21,69,90
PRESTO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,0,6,6
PUERTO ACOSTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,15,0,15
PUERTO GONZALO MORENO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,1,16,17
PUERTO QUIJARRO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,8,5,13
PUERTO RICO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,0,25,25
PUERTO SUAREZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,7,55,62
PUERTO VILLARROEL,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,12,165,177
PUNATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,13,122,135
QUIABAYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,0,1,1
QUILLACOLLO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,0,1,1
QUIME,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,4,14,18
RIBERALTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,8,17,25
ROBORE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,2,35,37
RURRENABAQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,5,46,51
SABAYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,0,11,11
SACABA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,2,33,35
SAMAIPATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,0,1,1
SAN BENITO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,0,24,24
SAN CARLOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,5,63,68
SAN IGNACIO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,52,37,89
SAN IGNACIO DE VELASCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,15,158,173
SAN JAVIER(STC),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,5,31,36
SAN JOSE DE CHIQUITOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,6,40,46
SAN JUAN DE YAPACANI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,1,21,22
SAN JULIAN,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,4,58,62
SAN LORENZO(PND),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,1,28,29
SAN LORENZO(TJA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,0,35,35
SAN LUCAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,3,58,61
SAN MATIAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,2,31,33
SAN MIGUEL DE VELASCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,1,22,23
SAN PEDRO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,0,30,30
SAN RAFAEL,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,0,14,14
SANTA ANA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,1,67,68
SANTA CRUZ DE LA SIERRA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,466,1100,1566
SANTA ROSA DEL SARA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,6,27,33
SANTIAGO DE MACHACA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,1,9,10
SANTUARIO DE QUILLACAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,10,5,15
SENA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,0,42,42
SHINAOTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,3,12,15
SIPE SIPE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,2,96,98
SOPACHUY,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,3,7,10
SORACACHI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,0,2,2
SORATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,0,22,22
SUCRE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,47,931,978
TAPACARI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,0,2,2
TARABUCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,0,41,41
TARIJA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,24,95,119
TARVITA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,1,31,32
TOLATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,1,8,9
TOMINA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,0,5,5
TOTORA(ORR),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,0,37,37
TRIGAL,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,0,1,1
TRINIDAD,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,515,262,777
TUPIZA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,0,11,11
TURCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,13,8,21
URIONDO (A. CONCEPCION),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,0,1,1
URUBICHA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,8,30,38
VALLEGRANDE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,0,57,57
VIACHA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,0,45,45
VILLA CHARCAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,0,17,17
VILLA MONTES,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,0,74,74
VILLA NUEVA (LOMA ALTA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,0,6,6
VILLA SERRANO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,0,7,7
VILLA TUNARI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,9,253,262
VILLA VACA GUZMAN (MUYUPAMPA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,0,24,24
VILLAZON,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,9,52,61
WARNES,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,12,190,202
YACUIBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,11,59,70
YAMPARAEZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,3,15,18
YAPACANI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,2,5,7
YOTALA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,0,16,16
YUNCHARA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,2,0,2
ZUDAÑEZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-10-01,0,14,14
AIQUILE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-11-01,1,40,41
ALCALA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-11-01,22,23,45
ANDAMARCA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-11-01,6,4,10
ANTEQUERA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-11-01,10,14,24
APOLO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-11-01,10,14,24
ARBIETO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-11-01,1,26,27
ASCENCION DE GUARAYOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-11-01,13,112,125
AZURDUY,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-11-01,1,12,13
BATALLAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-11-01,2,20,22
BELEN DE ANDAMARCA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-11-01,0,1,1
BELLA FLOR,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-11-01,22,34,56
BERMEJO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-11-01,0,2,2
BETANZOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-11-01,15,34,49
BOLPEBRA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-11-01,15,4,19
BUENA VISTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-11-01,1,1,2
CABEZAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-11-01,0,12,12
CAMARGO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-11-01,0,52,52
CAMATAQUI (C. VILLA ABECIA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-11-01,5,15,20
CAMIRI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-11-01,12,35,47
CAPINOTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-11-01,6,4,10
CARACOLLO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-11-01,0,23,23
CARANAVI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-11-01,0,2,2
CARAPARI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-11-01,0,6,6
CHALLAPATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-11-01,8,6,14
CHIMORE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-11-01,2,23,25
CHUMA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-11-01,3,12,15
CHUQUIHUTA AYLLU JUCUMANI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-11-01,3,7,10
CLIZA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-11-01,0,47,47
COBIJA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-11-01,74,108,182
COCAPATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-11-01,0,2,2
COCHABAMBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-11-01,197,390,587
COLCAPIRHUA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-11-01,1,9,10
COLPA BELGICA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-11-01,17,34,51
COLQUIRI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-11-01,15,38,53
COMARAPA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-11-01,5,45,50
CORIPATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-11-01,5,8,13
COROICO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-11-01,20,56,76
CORQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-11-01,1,9,10
COTAGAITA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-11-01,5,23,28
COTOCA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-11-01,6,6,12
CULPINA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-11-01,3,43,46
EL ALTO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-11-01,265,1687,1952
EL CHORO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-11-01,0,15,15
EL PUENTE(STC),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-11-01,12,23,35
EL PUENTE(TJA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-11-01,5,59,64
EL TORNO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-11-01,10,122,132
EL VILLAR,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-11-01,1,7,8
ENTRE RIOS TRJ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-11-01,17,31,48
ESCOMA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-11-01,18,27,45
EUCALIPTUS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-11-01,11,15,26
EUREKA (SANTOS MERCADO),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-11-01,0,4,4
FERNANDEZ ALONSO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-11-01,5,36,41
FILADELFIA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-11-01,31,29,60
GENERAL SAAVEDRA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-11-01,0,29,29
GRAL. J.J. PEREZ (CHARAZANI),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-11-01,3,19,22
GUAYARAMERIN,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-11-01,522,562,1084
GUTIERREZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-11-01,0,4,4
HUACARETA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-11-01,10,30,40
HUACAYA (VILLA DE HUACAYA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-11-01,20,20,40
HUANUNI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-11-01,2,68,70
ICLA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-11-01,0,21,21
INCAHUASI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-11-01,0,38,38
INGAVI (HUMAITA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-11-01,4,7,11
