municipality,group,variable,month,Total Días camas disponibles otros servicios,TOTAL
INCAHUASI,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,186,186
IRUPANA (VILLA DE LANZA),internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,217,217
IXIAMAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,186,186
LA ASUNTA,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,403,403
LA GUARDIA,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,1860,1860
LA PAZ,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,60147,60147
LAS CARRERAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,155,155
LLALLAGUA,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,1085,1085
LLICA,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,62,62
MACHACAMARCA,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,90,90
MACHARETI,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,341,341
MAGDALENA,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,279,279
MAIRANA,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,155,155
MAPIRI,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,124,124
MIZQUE,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,690,690
MOJOCOYA,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,293,293
MONTEAGUDO,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,584,584
MONTERO,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,3179,3179
MORO MORO,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,91,91
MOROCHATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,186,186
OCURI,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,372,372
OMEREQUE,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,186,186
ORURO,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,16774,16774
PADILLA,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,589,589
PAILON,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,410,410
PALOS BLANCOS,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,310,310
PASORAPA,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,217,217
PATACAMAYA,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,18,18
PAZÑA,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,91,91
POCOATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,124,124
POCONA,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,248,248
POJO (CBBA),internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,186,186
POOPO,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,93,93
POROMA,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,589,589
PORONGO,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,310,310
PORTACHUELO,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,1054,1054
PORVENIR,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,134,134
POTOSI,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,10726,10726
PRESTO,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,269,269
PUCARANI,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,186,186
PUERTO GONZALO MORENO,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,78,78
PUERTO QUIJARRO,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,39,39
PUERTO RICO,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,548,548
PUERTO SUAREZ,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,675,675
PUERTO VILLARROEL,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,1766,1766
PUNA,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,186,186
PUNATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,1612,1612
QUILLACOLLO,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,1112,1112
QUIRUSILLAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,31,31
RAVELO,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,62,62
REYES,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,186,186
RIBERALTA,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,2883,2883
ROBORE,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,1474,1474
RURRENABAQUE,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,651,651
SACABA,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,1736,1736
SACABAMBA,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,186,186
SACACA,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,310,310
SAIPINA,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,136,136
SALINAS DE GARCI MENDOZA,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,93,93
SAMAIPATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,93,93
SAN ANTONIO DE LOMERIO,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,121,121
SAN BORJA,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,744,744
SAN BUENA VENTURA,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,217,217
SAN IGNACIO,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,651,651
SAN IGNACIO DE VELASCO,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,2449,2449
SAN JAVIER(STC),internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,217,217
SAN JOAQUIN,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,120,120
SAN JOSE DE CHIQUITOS,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,1641,1641
SAN JUAN DE YAPACANI,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,632,632
SAN JULIAN,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,575,575
SAN LORENZO(PND),internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,4,4
SAN LUCAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,1147,1147
SAN MATIAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,684,684
SAN MIGUEL DE VELASCO,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,217,217
SAN PEDRO,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,29,29
SAN PEDRO DE BUENA VISTA,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,155,155
SAN RAFAEL,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,248,248
SAN RAMON BENI,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,124,124
SAN RAMON SCZ,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,620,620
SANTA ANA,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,434,434
SANTA CRUZ DE LA SIERRA,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,50127,50127
SANTA ROSA,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,372,372
SANTA ROSA DEL SARA,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,186,186
SANTIAGO DE HUARI,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,62,62
SANTIVAÑES,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,93,93
SANTUARIO DE QUILLACAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,93,93
SENA,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,179,179
SHINAOTA,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,713,713
SOPACHUY,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,957,957
SORACACHI,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,62,62
SORATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,248,248
SUCRE,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,32804,32804
TACOPAYA,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,155,155
TAPACARI,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,62,62
TARABUCO,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,682,682
TARATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,62,62
TARIJA,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,13725,13725
TARVITA,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,527,527
TIAWANACU,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,31,31
TIPUANI,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,124,124
TIQUIPAYA,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,774,774
TIRAQUE (CBBA),internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,93,93
TOCO,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,93,93
TOLATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,62,62
TOMINA,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,527,527
TORO TORO,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,217,217
TOTORA(CBBA),internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,744,744
TRINIDAD,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,4836,4836
TUPIZA,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,2790,2790
UNCIA,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,93,93
URUBICHA,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,186,186
UYUNI,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,1138,1138
VACAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,155,155
VALLEGRANDE,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,688,688
VIACHA,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,682,682
VILA VILA,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,93,93
VILLA CHARCAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,210,210
VILLA MONTES,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,1116,1116
VILLA RIVERO,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,62,62
VILLA SERRANO,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,310,310
VILLA TUNARI,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,2014,2014
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,245,245
VILLAZON,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,1240,1240
VINTO,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,775,775
VITICHI,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,62,62
WARNES,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,6282,6282
YACUIBA,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,3394,3394
YAMPARAEZ,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,248,248
YAPACANI,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,1252,1252
YOTALA,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,207,207
ZUDAÑEZ,internaciones dias camas,total dias camas disponibles otros servicios,2015-10-01,186,186
ACACIO,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,120,120
ACHACACHI,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,450,450
AIQUILE,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,1170,1170
ALALAY,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,30,30
ANZALDO,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,210,210
APOLO,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,270,270
ARAMPAMPA,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,150,150
ARANI,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,60,60
ARBIETO,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,150,150
ARQUE,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,30,30
ASCENCION DE GUARAYOS,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,1890,1890
ATOCHA,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,90,90
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,840,840
AZURDUY,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,341,341
BATALLAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,90,90
BAURES,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,62,62
BELLA FLOR,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,27,27
BERMEJO,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,2400,2400
BETANZOS,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,170,170
BOLIVAR,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,90,90
BOYUIBE,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,330,330
BUENA VISTA,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,209,209
CABEZAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,300,300
"CAIZA ""D""",internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,90,90
CAMARGO,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,840,840
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,93,93
CAMIRI,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,2280,2280
CAPINOTA,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,300,300
CARACOLLO,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,180,180
CARANAVI,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,1050,1050
CARIPUYO,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,150,150
CARMEN RIVERO TORREZ,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,285,285
CHALLAPATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,837,837
CHAQUI,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,90,90
CHARAGUA,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,270,270
CHAYANTA,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,120,120
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,690,690
CHUMA,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,210,210
CKOCHAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,30,30
CLIZA,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,360,360
COBIJA,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,3047,3047
COCAPATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,30,30
COCHABAMBA,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,48627,48627
COIPASA,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,30,30
COLCAPIRHUA,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,150,150
COLOMI,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,150,150
COLPA BELGICA,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,150,150
COLQUECHACA,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,120,120
COMARAPA,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,420,420
CONCEPCION,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,230,230
CORO CORO,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,180,180
COROICO,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,960,960
CORQUE,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,60,60
COTAGAITA,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,180,180
COTOCA,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,784,784
CUATRO CAÑADAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,857,857
CUCHUMUELA (V. G. VILLARROEL),internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,60,60
CUEVO,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,210,210
CULPINA,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,450,450
CURAHUARA DE CARANGAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,240,240
EL ALTO,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,17080,17080
EL PUENTE(STC),internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,150,150
EL TORNO,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,1920,1920
EL VILLAR,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,210,210
ENTRE RIOS TRJ,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,480,480
ENTRE RIOS CBBA,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,180,180
ESCOMA,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,186,186
EUCALIPTUS,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,150,150
EXALTACION,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,60,60
GUANAY,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,120,120
GUAYARAMERIN,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,2085,2085
GUTIERREZ,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,300,300
HUACARETA,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,493,493
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,57,57
HUANUNI,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,1080,1080
HUARACAJE,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,30,30
HUAYLLAMARCA,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,30,30
ICLA,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,360,360
INCAHUASI,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,180,180
IRUPANA (VILLA DE LANZA),internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,465,465
IXIAMAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,140,140
LA ASUNTA,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,450,450
LA GUARDIA,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,1770,1770
LA PAZ,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,68811,68811
LAGUNILLAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,194,194
LAS CARRERAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,145,145
LLALLAGUA,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,1050,1050
LLICA,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,60,60
MACHACAMARCA,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,90,90
MACHARETI,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,450,450
MAGDALENA,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,270,270
MAIRANA,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,150,150
MAPIRI,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,120,120
MIZQUE,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,870,870
MOJOCOYA,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,319,319
MONTEAGUDO,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,1015,1015
MONTERO,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,4186,4186
MOROCHATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,240,240
OCURI,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,360,360
OMEREQUE,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,30,30
ORURO,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,17602,17602
PADILLA,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,570,570
PAILON,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,370,370
PALOS BLANCOS,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,310,310
PAMPA GRANDE,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,90,90
PASORAPA,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,90,90
PATACAMAYA,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,240,240
PAZÑA,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,120,120
POCOATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,120,120
POCONA,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,240,240
POJO (CBBA),internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,210,210
POOPO,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,90,90
POROMA,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,541,541
PORONGO,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,299,299
PORTACHUELO,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,1020,1020
PORVENIR,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,108,108
POSTRER VALLE,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,30,30
POTOSI,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,10560,10560
PRESTO,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,318,318
PUCARANI,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,180,180
PUERTO GONZALO MORENO,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,28,28
PUERTO RICO,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,341,341
PUERTO SUAREZ,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,990,990
PUERTO VILLARROEL,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,1710,1710
PUNA,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,180,180
PUNATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,1560,1560
QUILLACOLLO,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,1080,1080
QUIME,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,148,148
QUIRUSILLAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,30,30
RAVELO,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,60,60
REYES,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,180,180
RIBERALTA,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,2530,2530
ROBORE,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,1305,1305
RURRENABAQUE,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,630,630
SACABA,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,1680,1680
SACABAMBA,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,210,210
SACACA,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,300,300
SAIPINA,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,143,143
SALINAS DE GARCI MENDOZA,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,120,120
SAMAIPATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,180,180
SAN ANTONIO DE LOMERIO,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,104,104
SAN BORJA,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,690,690
SAN BUENA VENTURA,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,211,211
SAN IGNACIO,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,670,670
SAN IGNACIO DE VELASCO,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,2400,2400
SAN JAVIER(BNI),internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,30,30
SAN JAVIER(STC),internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,124,124
SAN JOAQUIN,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,120,120
SAN JOSE DE CHIQUITOS,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,1320,1320
SAN JUAN DE YAPACANI,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,578,578
SAN JULIAN,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,458,458
SAN LORENZO(PND),internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,6,6
SAN LUCAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,1200,1200
SAN MATIAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,661,661
SAN MIGUEL DE VELASCO,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,210,210
SAN PEDRO DE BUENA VISTA,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,150,150
SAN RAFAEL,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,240,240
SAN RAMON BENI,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,210,210
SAN RAMON SCZ,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,840,840
SANTA ANA,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,390,390
SANTA CRUZ DE LA SIERRA,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,43363,43363
SANTA ROSA,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,360,360
SANTA ROSA DEL SARA,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,180,180
SANTIAGO DE HUARI,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,90,90
SANTIAGO DE MACHACA,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,60,60
SANTIVAÑES,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,124,124
SANTUARIO DE QUILLACAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,120,120
SENA,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,200,200
SHINAOTA,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,687,687
SICAYA,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,60,60
SOPACHUY,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,801,801
SORATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,240,240
SUCRE,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,32024,32024
TACOPAYA,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,420,420
TAPACARI,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,90,90
TARABUCO,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,720,720
TARATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,31,31
TARIJA,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,13377,13377
TARVITA,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,510,510
TIPUANI,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,123,123
TIQUIPAYA,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,720,720
TIRAQUE (CBBA),internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,90,90
TOCO,internaciones dias camas,total dias camas disponibles otros servicios,2015-11-01,90,90
