municipality,group,variable,month,Total Días camas ocupadas otros servicios,TOTAL
AYATA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,58,58
AZURDUY,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,108,108
BAURES,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,100,100
BELLA FLOR,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,2,2
BERMEJO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,830,830
BETANZOS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,78,78
BOLIVAR,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,93,93
BOYUIBE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,83,83
BUENA VISTA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,44,44
CABEZAS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,125,125
CAIROMA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,2,2
CAMARGO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,369,369
CAMIRI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,1686,1686
CAPINOTA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,35,35
CARACOLLO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,13,13
CARANAVI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,464,464
CARAPARI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,3,3
CARIPUYO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,1,1
CARMEN RIVERO TORREZ,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,27,27
CHALLAPATA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,114,114
CHARAGUA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,52,52
CHAYANTA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,25,25
CHIMORE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,3,3
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,320,320
CHUMA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,3,3
CLIZA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,148,148
COBIJA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,492,492
COCHABAMBA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,34387,34387
COLPA BELGICA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,71,71
COMARAPA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,120,120
CORO CORO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,2,2
COTAGAITA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,2,2
COTOCA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,391,391
CUATRO CAÑADAS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,42,42
CUCHUMUELA (V. G. VILLARROEL),internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,5,5
CUEVO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,9,9
CULPINA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,79,79
EL ALTO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,10148,10148
EL PUENTE(STC),internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,59,59
EL TORNO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,915,915
EL VILLAR,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,23,23
ENTRE RIOS CBBA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,4,4
EXALTACION,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,3,3
FERNANDEZ ALONSO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,4,4
GENERAL SAAVEDRA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,70,70
GUANAY,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,62,62
GUAYARAMERIN,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,1053,1053
GUTIERREZ,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,64,64
HUACARETA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,127,127
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,7,7
HUANUNI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,397,397
HUARACAJE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,38,38
HUAYLLAMARCA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,18,18
ICLA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,2,2
INCAHUASI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,4,4
IRUPANA (VILLA DE LANZA),internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,47,47
IXIAMAS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,42,42
LA ASUNTA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,41,41
LA GUARDIA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,715,715
LA PAZ,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,51644,51644
LAGUNILLAS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,11,11
LLALLAGUA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,629,629
LURIBAY,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,3,3
MACHACAMARCA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,4,4
MACHARETI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,11,11
MAGDALENA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,267,267
MAIRANA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,75,75
MAPIRI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,22,22
MINEROS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,70,70
MIZQUE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,34,34
MOJOCOYA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,17,17
MONTEAGUDO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,307,307
MONTERO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,2066,2066
MOROCHATA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,1,1
OKINAWA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,5,5
OMEREQUE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,16,16
ORURO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,10762,10762
PADILLA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,263,263
PAILON,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,196,196
PALOS BLANCOS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,106,106
PAMPA GRANDE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,12,12
PASORAPA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,4,4
PATACAMAYA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,75,75
POJO (CBBA),internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,2,2
PORTACHUELO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,417,417
PORVENIR,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,21,21
POSTRER VALLE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,2,2
POTOSI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,6536,6536
PRESTO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,10,10
PUERTO GONZALO MORENO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,15,15
PUERTO QUIJARRO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,43,43
PUERTO RICO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,43,43
PUERTO SUAREZ,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,322,322
PUERTO VILLARROEL,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,680,680
PUNA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,2,2
PUNATA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,640,640
QUILLACOLLO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,370,370
QUIRUSILLAS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,2,2
REYES,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,96,96
RIBERALTA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,2979,2979
ROBORE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,278,278
RURRENABAQUE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,365,365
SACABA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,693,693
SACABAMBA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,6,6
SACACA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,4,4
SAIPINA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,14,14
SALINAS DE GARCI MENDOZA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,5,5
SAMAIPATA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,35,35
SAN ANTONIO DE LOMERIO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,3,3
SAN BENITO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,4,4
SAN BORJA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,241,241
SAN BUENA VENTURA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,93,93
SAN IGNACIO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,153,153
SAN IGNACIO DE VELASCO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,1125,1125
SAN JAVIER(STC),internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,80,80
SAN JOAQUIN,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,79,79
SAN JOSE DE CHIQUITOS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,428,428
SAN JUAN DE YAPACANI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,174,174
SAN JULIAN,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,146,146
SAN LORENZO(PND),internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,7,7
SAN LUCAS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,95,95
SAN MATIAS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,104,104
SAN MIGUEL DE VELASCO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,57,57
SAN PEDRO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,26,26
SAN PEDRO DE BUENA VISTA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,28,28
SAN RAFAEL,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,40,40
SAN RAMON BENI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,56,56
SAN RAMON SCZ,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,204,204
SANTA ANA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,295,295
SANTA CRUZ DE LA SIERRA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,35086,35086
SANTA ROSA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,57,57
SANTA ROSA DEL SARA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,37,37
SENA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,7,7
SHINAOTA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,154,154
SOPACHUY,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,33,33
SORATA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,10,10
SUCRE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,24235,24235
TACOPAYA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,13,13
TARABUCO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,165,165
TARIJA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,11036,11036
TARVITA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,66,66
TIAWANACU,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,9,9
TIPUANI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,9,9
TIQUIPAYA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,262,262
TOLATA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,4,4
TOMINA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,3,3
TORO TORO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,2,2
TOTORA(CBBA),internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,28,28
TRIGAL,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,1,1
TRINIDAD,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,2585,2585
TUPIZA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,1655,1655
UNCIA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,7,7
URUBICHA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,39,39
UYUNI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,462,462
VALLEGRANDE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,384,384
VIACHA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,215,215
VILLA CHARCAS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,6,6
VILLA MONTES,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,675,675
VILLA RIVERO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,11,11
VILLA SERRANO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,19,19
VILLA TUNARI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,693,693
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,13,13
VILLAZON,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,605,605
VINTO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,229,229
VITICHI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,8,8
WARNES,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,670,670
YACUIBA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,2460,2460
YAPACANI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,608,608
YOTALA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,36,36
ZUDAÑEZ,internaciones dias camas,total dias camas ocupadas otros servicios,2015-10-01,50,50
ACHACACHI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,130,130
AIQUILE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,138,138
ANCORAIMES,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,2,2
ANZALDO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,25,25
APOLO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,36,36
ASCENCION DE GUARAYOS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,503,503
ATOCHA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,177,177
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,64,64
AZURDUY,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,114,114
BAURES,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,86,86
BELLA FLOR,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,3,3
BERMEJO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,840,840
BETANZOS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,44,44
BOLIVAR,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,13,13
BOYUIBE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,97,97
BUENA VISTA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,34,34
CABEZAS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,83,83
CAIROMA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,2,2
CALAMARCA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,3,3
CAMARGO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,3584,3584
CAMIRI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,1490,1490
CAPINOTA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,29,29
CARACOLLO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,9,9
CARANAVI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,369,369
CARMEN RIVERO TORREZ,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,47,47
CHALLAPATA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,127,127
CHARAGUA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,95,95
CHAYANTA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,13,13
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,313,313
CHUMA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,7,7
CLIZA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,119,119
COBIJA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,1886,1886
COCAPATA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,2,2
COCHABAMBA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,31655,31655
COLOMI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,1,1
COLPA BELGICA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,63,63
COMARAPA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,126,126
CONCEPCION,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,286,286
CORO CORO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,1,1
COROICO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,248,248
COTOCA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,328,328
CUATRO CAÑADAS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,408,408
CUEVO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,9,9
CULPINA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,125,125
EL ALTO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,8406,8406
EL PUENTE(STC),internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,60,60
EL TORNO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,814,814
ENTRE RIOS TRJ,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,93,93
ENTRE RIOS CBBA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,8,8
ESCOMA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,7,7
EUCALIPTUS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,2,2
EXALTACION,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,1,1
GENERAL SAAVEDRA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,1,1
GUANAY,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,29,29
GUAYARAMERIN,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,1198,1198
GUTIERREZ,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,101,101
HUACARETA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,107,107
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,18,18
HUANUNI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,355,355
HUARACAJE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,10,10
HUAYLLAMARCA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,2,2
IRUPANA (VILLA DE LANZA),internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,59,59
IXIAMAS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,52,52
JESUS DE MACHACA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,1,1
LA ASUNTA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,46,46
LA GUARDIA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,705,705
LA PAZ,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,48297,48297
LAGUNILLAS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,14,14
LAS CARRERAS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,5,5
LLALLAGUA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,660,660
LORETO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,3,3
MACHACAMARCA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,90,90
MACHARETI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,14,14
MAGDALENA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,172,172
MAIRANA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,74,74
MAPIRI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,28,28
MINEROS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,40,40
MIZQUE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,89,89
MOJOCOYA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,11,11
MONTEAGUDO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,581,581
MONTERO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,2737,2737
MOROCHATA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,5,5
OCURI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,3,3
OKINAWA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,2,2
OMEREQUE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,10,10
ORURO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,10701,10701
PADILLA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,220,220
PAILON,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,260,260
PALOS BLANCOS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,118,118
PAMPA GRANDE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,5,5
PASORAPA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,1,1
PATACAMAYA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,29,29
POJO (CBBA),internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,3,3
POROMA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,12,12
PORONGO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,1,1
PORTACHUELO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,684,684
PORVENIR,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,12,12
POSTRER VALLE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,3,3
POTOSI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,4665,4665
PRESTO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,12,12
PUERTO GONZALO MORENO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,2,2
PUERTO QUIJARRO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,164,164
PUERTO RICO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,81,81
PUERTO SUAREZ,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,468,468
PUERTO VILLARROEL,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,492,492
PUNA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,2,2
PUNATA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,843,843
QUILLACOLLO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,372,372
QUIME,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,2,2
QUIRUSILLAS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,1,1
REYES,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,50,50
RIBERALTA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,3035,3035
ROBORE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,270,270
RURRENABAQUE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,465,465
SACABA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,711,711
SACABAMBA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,11,11
SACACA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,15,15
SAIPINA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,7,7
SALINAS DE GARCI MENDOZA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,2,2
SAMAIPATA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,64,64
SAN ANTONIO DE LOMERIO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,20,20
SAN BENITO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,3,3
SAN BORJA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,307,307
SAN BUENA VENTURA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,113,113
SAN IGNACIO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,278,278
SAN IGNACIO DE VELASCO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,1097,1097
SAN JAVIER(STC),internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,20,20
SAN JOAQUIN,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,121,121
SAN JOSE DE CHIQUITOS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,400,400
SAN JUAN DE YAPACANI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,176,176
SAN JULIAN,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,602,602
SAN LORENZO(PND),internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,6,6
SAN LUCAS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,141,141
SAN MATIAS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,166,166
SAN MIGUEL DE VELASCO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,30,30
SAN PEDRO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,34,34
SAN PEDRO DE BUENA VISTA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-11-01,23,23
