,group,variable,month,L 22.1 PERSONAS CON PRE-CONSEJERIA REALIZADAS PARA ACCESO A LA PRUEBA RÁPIDA CANTIDAD,L 22.1 PERSONAS CON PRE-CONSEJERIA REALIZADAS PARA ACCESO A LA PRUEBA RÁPIDA CANTIDAD,TOTALES
ALCALA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,2,3,5
APOLO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,0,21,21
ARAMPAMPA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,0,4,4
ARBIETO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,0,13,13
ASCENCION DE GUARAYOS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,92,247,339
AYATA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,2,17,19
AZURDUY,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,0,2,2
BERMEJO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,0,63,63
BETANZOS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,0,25,25
BOLIVAR,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,0,3,3
BOLPEBRA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,0,2,2
BOYUIBE,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,0,11,11
BUENA VISTA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,1,12,13
CABEZAS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,2,16,18
CAMARGO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,3,60,63
CAMATAQUI (C. VILLA ABECIA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,5,9,14
CAMIRI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,249,145,394
CAPINOTA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,2,8,10
CARACOLLO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,4,27,31
CARANAVI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,20,84,104
CARAPARI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,2,19,21
CARMEN RIVERO TORREZ,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,0,6,6
CHALLAPATA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,4,2,6
CHARAGUA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,0,15,15
CHULUMANI (V. DE LA LIBERTAD),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,2,62,64
CLIZA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,2,89,91
COBIJA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,9,389,398
COCHABAMBA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,234,1231,1465
COIPASA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,0,2,2
COLOMI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,0,3,3
COLPA BELGICA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,4,5,9
COLQUIRI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,3,17,20
CONCEPCION,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,2,0,2
COROICO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,5,53,58
CORQUE,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,0,12,12
COTAGAITA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,0,28,28
COTOCA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,0,22,22
CUATRO CAÑADAS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,3,84,87
CUEVO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,0,6,6
CULPINA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,6,14,20
EL ALTO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,449,2287,2736
EL PUENTE(STC),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,47,111,158
EL PUENTE(TJA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,7,20,27
EL TORNO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,29,205,234
EL VILLAR,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,0,5,5
ENTRE RIOS TRJ,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,0,6,6
ENTRE RIOS CBBA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,2,6,8
ESCOMA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,12,0,12
EUREKA (SANTOS MERCADO),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,0,6,6
FERNANDEZ ALONSO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,5,36,41
FILADELFIA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,12,15,27
GENERAL SAAVEDRA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,0,39,39
GRAL. J.J. PEREZ (CHARAZANI),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,0,19,19
GUANAY,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,0,25,25
GUAYARAMERIN,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,101,218,319
GUTIERREZ,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,0,32,32
HUACARETA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,34,81,115
HUACAYA (VILLA DE HUACAYA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,3,23,26
HUACHACALLA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,0,2,2
HUANUNI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,2,72,74
HUAYLLAMARCA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,0,5,5
ICLA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,0,19,19
INCAHUASI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,0,24,24
INGAVI (HUMAITA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,5,13,18
IRUPANA (VILLA DE LANZA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,3,2,5
LA ASUNTA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,4,70,74
LA GUARDIA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,11,154,165
LA PAZ,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,151,549,700
LAS CARRERAS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,0,2,2
LLALLAGUA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,7,164,171
MACHACAMARCA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,1,9,10
MACHARETI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,2,16,18
MAIRANA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,2,31,33
MINEROS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,4,80,84
MIZQUE,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,5,74,79
MOJOCOYA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,1,17,18
MONTEAGUDO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,32,55,87
MONTERO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,64,479,543
NACEBE (SANTA ROSA DEL ABUNA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,10,21,31
NUEVO MANOA (NUEVA ESPERANZA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,1,2,3
ORURO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,168,688,856
PADCAYA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,0,20,20
PADILLA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,0,32,32
PAILON,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,1,36,37
PAMPA GRANDE,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,0,20,20
PATACAMAYA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,22,62,84
PAZÑA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,24,86,110
POCOATA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,24,28,52
POOPO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,1,19,20
POROMA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,4,19,23
PORONGO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,3,40,43
PORVENIR,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,27,11,38
POTOSI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,15,166,181
PRESTO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,0,26,26
PUCARANI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,1,19,20
PUERTO GONZALO MORENO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,52,55,107
PUERTO QUIJARRO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,9,19,28
PUERTO RICO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,7,21,28
PUERTO SUAREZ,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,4,54,58
PUERTO VILLARROEL,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,16,37,53
PUNATA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,52,247,299
QUIME,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,1,24,25
REYES,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,0,19,19
RIBERALTA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,2,500,502
ROBORE,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,4,30,34
RURRENABAQUE,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,4,37,41
SACABA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,16,348,364
SAMAIPATA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,64,77,141
SAN ANTONIO DE LOMERIO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,47,69,116
SAN CARLOS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,2,90,92
SAN IGNACIO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,10,54,64
SAN IGNACIO DE VELASCO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,13,88,101
SAN JAVIER(BNI),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,0,1,1
SAN JAVIER(STC),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,1,37,38
SAN JOSE DE CHIQUITOS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,80,88,168
SAN LORENZO(PND),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,0,4,4
SAN LORENZO(TJA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,2,35,37
SAN LUCAS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,6,88,94
SAN MATIAS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,2,33,35
SAN MIGUEL DE VELASCO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,0,8,8
SAN PEDRO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,1,20,21
SAN PEDRO DE BUENA VISTA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,0,11,11
SAN RAFAEL,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,2,14,16
SANTA ANA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,2,47,49
SANTA CRUZ DE LA SIERRA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,244,2126,2370
SENA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,0,30,30
SHINAOTA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,15,17,32
SICA SICA (VILLA AROMA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,0,10,10
SIPE SIPE,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,1,11,12
SOPACHUY,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,0,13,13
SORATA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,3,17,20
SUCRE,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,125,631,756
TAPACARI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,12,31,43
TARABUCO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,1,31,32
TARIJA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,145,335,480
TARVITA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,1,29,30
TIAWANACU,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,0,18,18
TOCO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,0,7,7
TOLATA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,2,10,12
TOLEDO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,0,8,8
TOMINA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,0,14,14
TOTORA(ORR),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,0,3,3
TRINIDAD,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,124,275,399
TUPIZA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,0,23,23
UNCIA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,1,8,9
URIONDO (A. CONCEPCION),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,0,7,7
URUBICHA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,30,51,81
VALLEGRANDE,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,2,49,51
VILLA CHARCAS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,1,30,31
VILLA NUEVA (LOMA ALTA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,0,6,6
VILLA SERRANO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,0,10,10
VILLA TUNARI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,12,278,290
VILLA VACA GUZMAN (MUYUPAMPA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,3,33,36
VILLAZON,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,8,73,81
WARNES,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,9,169,178
YACUIBA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,49,392,441
YAMPARAEZ,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,0,13,13
YAPACANI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,9,245,254
YOTALA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,1,20,21
YUNCHARA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,1,14,15
ZUDAÑEZ,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-10-01,0,13,13
ACHACACHI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,11,8,19
AIQUILE,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,0,13,13
ALCALA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,2,8,10
ANDAMARCA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,0,1,1
APOLO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,0,6,6
ARAMPAMPA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,0,2,2
ARBIETO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,1,16,17
ARQUE,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,16,14,30
ASCENCION DE GUARAYOS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,128,178,306
AYOPAYA (V. DE INDEPENDENCIA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,1,0,1
AZURDUY,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,3,19,22
BELLA FLOR,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,2,2,4
BERMEJO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,0,5,5
BETANZOS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,8,50,58
BOLIVAR,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,4,5,9
BOYUIBE,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,0,8,8
BUENA VISTA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,1,16,17
CABEZAS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,8,52,60
CAMARGO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,3,15,18
CAMATAQUI (C. VILLA ABECIA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,2,11,13
CAMIRI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,13,19,32
CAPINOTA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,3,4,7
CARACOLLO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,10,28,38
CARANAVI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,31,89,120
CARAPARI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,0,27,27
CARIPUYO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,1,0,1
CARMEN RIVERO TORREZ,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,0,4,4
CHALLAPATA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,1,1,2
CHULUMANI (V. DE LA LIBERTAD),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,5,40,45
CHUMA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,9,2,11
CLIZA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,1,0,1
COBIJA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,14,321,335
COCHABAMBA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,117,951,1068
COIPASA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,0,3,3
"COLCHA ""K""",vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,0,10,10
COLPA BELGICA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,2,1,3
COMARAPA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,0,30,30
CORQUE,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,0,4,4
COTOCA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,8,11,19
CUATRO CAÑADAS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,0,2,2
CULPINA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,2,32,34
EL ALTO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,275,1852,2127
EL PUENTE(STC),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,60,85,145
EL PUENTE(TJA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,2,7,9
EL TORNO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,35,205,240
EL VILLAR,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,0,7,7
ENTRE RIOS TRJ,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,0,9,9
ESCOMA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,1,17,18
FERNANDEZ ALONSO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,11,39,50
FILADELFIA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,0,11,11
GRAL. J.J. PEREZ (CHARAZANI),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,1,8,9
GUAYARAMERIN,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,1,57,58
GUTIERREZ,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,2,15,17
HUACARETA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,44,51,95
HUACAYA (VILLA DE HUACAYA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,7,13,20
HUANUNI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,20,88,108
ICLA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,2,9,11
INCAHUASI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,0,23,23
LA GUARDIA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,15,94,109
LA PAZ,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,575,1581,2156
LAGUNILLAS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,0,1,1
LAS CARRERAS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,1,8,9
LLALLAGUA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,6,156,162
MACHARETI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,222,126,348
MAIRANA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,0,9,9
MINEROS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,4,6,10
MIZQUE,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,3,13,16
MOJOCOYA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,5,6,11
MONTEAGUDO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,3,59,62
MONTERO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,13,312,325
NACEBE (SANTA ROSA DEL ABUNA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,16,14,30
NUEVO MANOA (NUEVA ESPERANZA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,0,2,2
ORURO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,188,892,1080
PADCAYA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-11-01,27,37,64
