municipality,group,variable,month,Controles nuevos en niños de 2 años a < de 5 a NUEVO,TOTAL-NUEVO,TOTAL-REPETIDO,TOTAL
LORETO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,7,7,11,18
LURIBAY,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,0,0,3,3
MACHACAMARCA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,2,2,2,4
MACHARETI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,3,3,0,3
MAPIRI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,3,3,4,7
MECAPACA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,9,9,6,15
MINEROS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,11,11,16,27
MIZQUE,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,7,7,5,12
MOCOMOCO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,0,0,4,4
MONTEAGUDO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,43,43,47,90
MONTERO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,130,130,152,282
MORO MORO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,0,0,1,1
MOROCHATA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,135,135,103,238
NACEBE (SANTA ROSA DEL ABUNA),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,2,2,1,3
OKINAWA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,28,28,26,54
OMEREQUE,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,1,1,2,3
ORURO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,183,183,205,388
PADCAYA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,11,11,13,24
PADILLA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,0,0,1,1
PAILON,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,3,3,0,3
PALCA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,8,8,12,20
PALOS BLANCOS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,5,5,5,10
PAPEL PAMPA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,0,0,1,1
PASORAPA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,0,0,2,2
PATACAMAYA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,2,2,5,7
PAZÑA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,1,1,3,4
PELECHUCO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,1,1,2,3
POCOATA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,1,1,1,2
POCONA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,47,47,47,94
POJO (CBBA),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,5,5,17,22
POOPO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,2,2,0,2
PORCO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,1,1,1,2
POROMA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,20,20,19,39
PORONGO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,0,0,1,1
PORTACHUELO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,3,3,2,5
PORVENIR,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,25,25,23,48
POTOSI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,231,231,167,398
PRESTO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,21,21,11,32
PUCARANI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,21,21,23,44
PUERTO ACOSTA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,6,6,7,13
PUERTO CARABUCO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,2,2,3,5
PUERTO GONZALO MORENO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,0,0,1,1
PUERTO PEREZ,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,11,11,7,18
PUERTO QUIJARRO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,6,6,6,12
PUERTO RICO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,7,7,6,13
PUERTO SILES,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,4,4,3,7
PUERTO SUAREZ,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,7,7,6,13
PUERTO VILLARROEL,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,48,48,54,102
PUNA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,21,21,40,61
PUNATA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,57,57,52,109
QUILLACOLLO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,181,181,177,358
REYES,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,16,16,23,39
RIBERALTA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,46,46,25,71
ROBORE,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,13,13,18,31
RURRENABAQUE,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,4,4,3,7
SABAYA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,2,2,3,5
SACABA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,209,209,147,356
SACABAMBA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,2,2,2,4
SACACA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,47,47,44,91
SAIPINA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,6,6,1,7
SALINAS DE GARCI MENDOZA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,14,14,12,26
SAN ANDRES,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,27,27,26,53
SAN ANDRES DE MACHACA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,2,2,2,4
SAN BENITO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,20,20,18,38
SAN BORJA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,6,6,6,12
SAN BUENA VENTURA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,37,37,33,70
SAN IGNACIO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,20,20,17,37
SAN IGNACIO DE VELASCO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,44,44,38,82
SAN JAVIER(BNI),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,7,7,7,14
SAN JAVIER(STC),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,3,3,1,4
SAN JOAQUIN,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,1,1,1,2
SAN JULIAN,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,49,49,40,89
SAN LORENZO(TJA),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,17,17,19,36
SAN LUCAS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,8,8,7,15
SAN MATIAS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,11,11,8,19
SAN MIGUEL DE VELASCO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,3,3,4,7
SAN PEDRO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,16,16,26,42
SAN PEDRO DE BUENA VISTA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,9,9,2,11
SAN PEDRO DE TIQUINA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,2,2,1,3
SAN PEDRO(PND),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,6,6,4,10
SAN RAFAEL,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,3,3,1,4
SAN RAMON,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,0,0,2,2
SANTA ANA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,13,13,9,22
SANTA CRUZ DE LA SIERRA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,1029,1029,895,1924
SANTA ROSA DEL SARA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,1,1,5,6
SANTIAGO DE CALLAPA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,0,0,2,2
SANTIAGO DE HUARI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,2,2,0,2
SANTIVAÑES,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,0,0,1,1
SICA SICA (VILLA AROMA),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,11,11,15,26
SIPE SIPE,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,80,80,55,135
SORACACHI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,45,45,36,81
SORATA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,18,18,20,38
SUCRE,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,129,129,118,247
TACACHI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,2,2,2,4
TACOBAMBA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,1,1,0,1
TACOPAYA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,1,1,2,3
TAPACARI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,139,139,110,249
TARABUCO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,4,4,3,7
TARATA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,12,12,15,27
TARIJA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,218,218,234,452
TARVITA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,2,2,1,3
TINGUIPAYA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,16,16,12,28
TIQUIPAYA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,188,188,183,371
TIRAQUE (CBBA),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,83,83,71,154
TITO YUPANQUI (PARQUIPUJIO),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,1,1,0,1
TOLATA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,5,5,4,9
TOLEDO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,5,5,2,7
TOMAVE,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,0,0,2,2
TOMINA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,0,0,1,1
TORO TORO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,2,2,5,7
TOTORA(CBBA),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,13,13,23,36
TOTORA(ORR),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,8,8,7,15
TRIGAL,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,1,1,0,1
TRINIDAD,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,265,265,277,542
TUPIZA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,30,30,46,76
TURCO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,3,3,1,4
UMALA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,0,0,1,1
UNCIA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,4,4,2,6
UYUNI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,4,4,1,5
VACAS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,8,8,12,20
VALLEGRANDE,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,29,29,22,51
VIACHA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,17,17,22,39
VILA VILA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,4,4,4,8
VILLA MONTES,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,20,20,18,38
VILLA NUEVA (LOMA ALTA),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,5,5,6,11
VILLA RIVERO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,7,7,1,8
VILLA SERRANO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,1,1,1,2
VILLA TUNARI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,133,133,126,259
VILLA VACA GUZMAN (MUYUPAMPA),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,1,1,1,2
VILLAZON,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,3,3,6,9
VINTO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,13,13,14,27
WARNES,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,60,60,48,108
YACO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,2,2,5,7
YACUIBA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,210,210,22,232
YANACACHI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,2,2,1,3
YOTALA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-09-01,5,5,1,6
ACACIO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,0,0,2,2
ACHACACHI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,44,44,33,77
ACHOCALLA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,1,1,2,3
AIQUILE,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,22,22,8,30
ANCORAIMES,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,5,5,4,9
ANDAMARCA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,1,1,0,1
ANZALDO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,36,36,41,77
APOLO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,16,16,7,23
ARAMPAMPA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,1,1,3,4
ARANI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,15,15,16,31
ARBIETO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,40,40,16,56
ASCENCION DE GUARAYOS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,7,7,3,10
AUCAPATA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,8,8,13,21
AYATA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,4,4,7,11
AYO AYO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,1,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,32,32,47,79
AZURDUY,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,5,5,4,9
BATALLAS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,10,10,3,13
BELEN DE ANDAMARCA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,1,1,3,4
BELEN DE URMIRI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,8,8,3,11
BELLA FLOR,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,24,24,20,44
BERMEJO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,44,44,26,70
BETANZOS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,4,4,1,5
BOLIVAR,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,15,15,12,27
BOLPEBRA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,14,14,15,29
BOYUIBE,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,2,2,1,3
BUENA VISTA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,1,1,24,25
CABEZAS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,5,5,6,11
CAIROMA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,5,5,0,5
"CAIZA ""D""",nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,1,1,7,8
CAJUATA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,11,11,5,16
CALACOTO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,3,3,1,4
CALAMARCA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,7,7,4,11
CAMARGO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,0,0,1,1
CAMATAQUI (C. VILLA ABECIA),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,2,2,3,5
CAMIRI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,163,163,117,280
CAPINOTA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,9,9,22,31
CAQUIAVIRI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,1,1,0,1
CARACOLLO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,12,12,31,43
CARANAVI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,19,19,25,44
CARANGAS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,1,1,4,5
CARAPARI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,0,0,1,1
CARIPUYO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,0,0,1,1
CARMEN RIVERO TORREZ,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,5,5,6,11
CHALLAPATA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,10,10,11,21
CHAQUI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,0,0,1,1
CHARAGUA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,6,6,7,13
CHAYANTA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,10,10,7,17
CHIMORE,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,23,23,23,46
CHULUMANI (V. DE LA LIBERTAD),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,15,15,17,32
CHUMA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,17,17,15,32
CLIZA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,24,24,21,45
COBIJA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,34,34,27,61
COCHABAMBA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,679,679,648,1327
COLCAPIRHUA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,307,307,260,567
COLOMI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,58,58,44,102
COLPA BELGICA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,5,5,9,14
COLQUENCHA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,0,0,6,6
COLQUIRI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,1,1,0,1
COMARAPA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,8,8,11,19
COMBAYA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,1,1,2,3
COPACABANA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,12,12,8,20
CORIPATA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,31,31,14,45
CORO CORO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,7,7,1,8
COROICO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,27,27,27,54
CORQUE,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,0,0,2,2
COTAGAITA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,3,3,4,7
COTOCA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,4,4,6,10
CUATRO CAÑADAS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,2,2,4,6
CUCHUMUELA (V. G. VILLARROEL),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,4,4,4,8
CULPINA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,3,3,2,5
CURAHUARA DE CARANGAS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,0,0,5,5
CURVA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,4,4,2,6
DESAGUADERO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,1,1,1,2
EL ALTO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,1539,1539,1477,3016
EL CHORO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,0,0,1,1
EL PUENTE(STC),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,2,2,0,2
EL PUENTE(TJA),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,21,21,13,34
EL TORNO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,1,1,1,2
ENTRE RIOS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,86,86,87,173
ENTRE RIOS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,97,97,103,200
EUCALIPTUS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,1,1,1,2
EUREKA (SANTOS MERCADO),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,1,1,0,1
FERNANDEZ ALONSO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,10,10,2,12
FILADELFIA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,8,8,16,24
GENERAL SAAVEDRA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,17,17,31,48
GRAL. J.J. PEREZ (CHARAZANI),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,2,2,5,7
GUANAY,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-10-01,13,13,27,40
