municipality,group,variable,month,10. Días camas disponibles otros servicios,TOTAL
PUNA,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,620,620
PUNATA,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,3193,3193
QUILLACOLLO,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,4237,4237
QUIME,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,31,31
QUIRUSILLAS,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,60,60
RAQAYPAMPA(ETA),internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,186,186
RAVELO,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,713,713
REYES,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,186,186
RIBERALTA,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,3906,3906
ROBORE,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,1232,1232
RURRENABAQUE,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,620,620
SABAYA,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,124,124
SACABA,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,4730,4730
SACABAMBA,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,62,62
SACACA,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,402,402
SAIPINA,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,314,314
SALINAS DE GARCI MENDOZA,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,341,341
SAMAIPATA,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,93,93
SAN ANDRES,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,6,6
SAN BORJA,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,671,671
SAN BUENA VENTURA,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,31,31
SAN CARLOS,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,31,31
SAN IGNACIO,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,403,403
SAN IGNACIO DE VELASCO,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,2759,2759
SAN JAVIER(STC),internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,341,341
SAN JOAQUIN,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,248,248
SAN JOSE DE CHIQUITOS,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,477,477
SAN JUAN DE YAPACANI,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,24,24
SAN JULIAN,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,2606,2606
SAN LUCAS,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,1201,1201
SAN MATIAS,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,682,682
SAN MIGUEL DE VELASCO,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,310,310
SAN PEDRO,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,313,313
SAN PEDRO DE BUENA VISTA,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,186,186
SAN PEDRO DE MACHA,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,434,434
SAN PEDRO DE TIQUINA,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,154,154
SAN RAFAEL,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,217,217
SAN RAMON BENI,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,372,372
SAN RAMON SCZ,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,310,310
SANTA ANA,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,651,651
SANTA CRUZ DE LA SIERRA,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,58068,58068
SANTA ROSA,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,403,403
SANTA ROSA DEL SARA,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,115,115
SANTIVAÑES,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,217,217
SANTUARIO DE QUILLACAS,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,155,155
SHINAOTA,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,1054,1054
SICA SICA (VILLA AROMA),internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,62,62
SOPACHUY,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,403,403
SORACACHI,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,93,93
SORATA,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,248,248
SUCRE,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,37930,37930
TACOBAMBA,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,152,152
TACOPAYA,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,341,341
TARABUCO,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,651,651
TARATA,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,62,62
TARIJA,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,18818,18818
TARVITA,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,868,868
TIPUANI,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,124,124
TIQUIPAYA,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,1211,1211
TIRAQUE (CBBA),internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,93,93
TOCO,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,186,186
TOLATA,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,60,60
TOLEDO,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,93,93
TOMINA,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,589,589
TORO TORO,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,336,336
TOTORA(CBBA),internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,903,903
TOTORA(ORR),internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,155,155
TRINIDAD,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,5327,5327
TUPIZA,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,1421,1421
TURCO,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,124,124
UNCIA,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,62,62
UYUNI,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,1426,1426
VACAS,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,124,124
VALLEGRANDE,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,1176,1176
VIACHA,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,1211,1211
VILA VILA,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,93,93
VILLA CHARCAS,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,403,403
VILLA MONTES,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,1302,1302
VILLA RIVERO,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,93,93
VILLA SERRANO,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,372,372
VILLA TUNARI,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,4557,4557
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,155,155
VILLAZON,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,1550,1550
VINTO,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,1612,1612
VITICHI,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,62,62
WARNES,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,1642,1642
YACO,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,88,88
YACUIBA,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,8880,8880
YAMPARAEZ,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,248,248
YAPACANI,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,774,774
YOTALA,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,186,186
ZUDAÑEZ,internaciones dias camas,dias camas disponibles otros servicios,2024-10-01,248,248
ACHACACHI,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,570,570
AIQUILE,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,810,810
ALALAY,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,120,120
ALCALA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,90,90
ALTO BENI,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,60,60
ANDAMARCA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,90,90
ANTEQUERA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,30,30
ANZALDO,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,226,226
APOLO,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,300,300
ARAMPAMPA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,150,150
ARANI,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,30,30
ARBIETO,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,360,360
ARQUE,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,90,90
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,3040,3040
ATOCHA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,383,383
AYATA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,30,30
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,570,570
AZURDUY,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,750,750
BAURES,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,62,62
BELEN DE ANDAMARCA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,150,150
BERMEJO,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,2310,2310
BETANZOS,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,571,571
BOLIVAR,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,30,30
BUENA VISTA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,302,302
CABEZAS,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,216,216
CAIROMA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,478,478
"CAIZA ""D""",internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,299,299
CAMARGO,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,1170,1170
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,180,180
CAMIRI,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,1817,1817
CAPINOTA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,780,780
CAQUIAVIRI,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,30,30
CARACOLLO,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,180,180
CARANAVI,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,840,840
CARAPARI,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,750,750
CARIPUYO,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,60,60
CARMEN RIVERO TORREZ,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,261,261
CHALLAPATA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,1770,1770
CHAQUI,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,210,210
CHARAGUA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,1020,1020
CHAYANTA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,120,120
CHIMORE,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,571,571
CHIPAYA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,30,30
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,780,780
CHUMA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,90,90
CHUQUIHUTA AYLLU JUCUMANI,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,30,30
CKOCHAS,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,270,270
CLIZA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,540,540
COBIJA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,5229,5229
COCAPATA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,270,270
COCHABAMBA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,46556,46556
COLCAPIRHUA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,6390,6390
"COLCHA ""K""",internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,390,390
COLLANA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,20,20
COLOMI,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,180,180
COLPA BELGICA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,90,90
COLQUECHACA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,480,480
COLQUENCHA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,30,30
COLQUIRI,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,2,2
COMARAPA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,420,420
CONCEPCION,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,530,530
CORIPATA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,90,90
COROICO,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,960,960
CORQUE,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,390,390
COTAGAITA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,269,269
COTOCA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,1800,1800
CUATRO CAÑADAS,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,600,600
CUCHUMUELA (V. G. VILLARROEL),internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,120,120
CUEVO,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,240,240
CULPINA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,420,420
CURAHUARA DE CARANGAS,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,240,240
DESAGUADERO,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,60,60
EL ALTO,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,24928,24928
EL PUENTE(STC),internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,180,180
EL TORNO,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,870,870
EL VILLAR,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,240,240
ENTRE RIOS TRJ,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,480,480
ENTRE RIOS CBBA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,1289,1289
ESCOMA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,240,240
EUCALIPTUS,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,60,60
EXALTACION,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,90,90
FERNANDEZ ALONSO,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,118,118
GAIOC JATUN AYLLU YURA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,150,150
GUANAY,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,214,214
GUAQUI,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,60,60
GUAYARAMERIN,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,2520,2520
GUTIERREZ,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,300,300
HUACARAJE,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,60,60
HUACARETA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,754,754
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,270,270
HUACHACALLA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,90,90
HUANUNI,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,1720,1720
HUARINA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,150,150
HUATAJATA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,124,124
ICHOCA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,2,2
ICLA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,450,450
INCAHUASI,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,390,390
IXIAMAS,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,173,173
JESUS DE MACHACA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,537,537
LA ASUNTA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,60,60
LA GUARDIA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,2520,2520
LA PAZ,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,59779,59779
LAGUNILLAS,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,28,28
LAS CARRERAS,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,90,90
LLALLAGUA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,1050,1050
LLICA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,28,28
LURIBAY,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,120,120
MACHACAMARCA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,90,90
MACHARETI,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,390,390
MAGDALENA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,240,240
MAIRANA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,150,150
MAPIRI,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,120,120
MINEROS,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,580,580
MIZQUE,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,840,840
MOCOMOCO,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,86,86
MOJOCOYA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,300,300
MONTEAGUDO,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,2002,2002
MONTERO,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,17615,17615
OCURI,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,1290,1290
OKINAWA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,372,372
OMEREQUE,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,120,120
ORURO,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,22117,22117
PADILLA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,570,570
PAILON,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,228,228
PALCA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,90,90
PALOS BLANCOS,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,300,300
PAMPA AULLAGAS,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,60,60
PAMPA GRANDE,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,60,60
PASORAPA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,90,90
PATACAMAYA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,180,180
PAZÑA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,120,120
POCOATA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,690,690
POCONA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,330,330
POJO (CBBA),internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,240,240
POOPO,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,90,90
PORCO,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,59,59
POROMA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,842,842
PORONGO,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,390,390
PORTACHUELO,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,2460,2460
POTOSI,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,20790,20790
PRESTO,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,450,450
PUCARANI,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,450,450
PUERTO ACOSTA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,30,30
PUERTO CARABUCO,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,30,30
PUERTO GONZALO MORENO,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,196,196
PUERTO QUIJARRO,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,908,908
PUERTO RICO,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,345,345
PUERTO SUAREZ,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,197,197
PUERTO VILLARROEL,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,2311,2311
PUNA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,540,540
PUNATA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,3090,3090
QUILLACOLLO,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,4200,4200
QUIME,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,30,30
QUIRUSILLAS,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,60,60
RAQAYPAMPA(ETA),internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,180,180
RAVELO,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,690,690
REYES,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,180,180
RIBERALTA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,3690,3690
ROBORE,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,560,560
RURRENABAQUE,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,600,600
SABAYA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,120,120
SACABA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,4052,4052
SACABAMBA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,90,90
SACACA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,389,389
SAIPINA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,265,265
SALINAS DE GARCI MENDOZA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,360,360
SAMAIPATA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,90,90
SAN ANTONIO DE LOMERIO,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,153,153
SAN BORJA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,714,714
SAN BUENA VENTURA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,1050,1050
SAN IGNACIO,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,771,771
SAN IGNACIO DE VELASCO,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,2670,2670
SAN JAVIER(STC),internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,330,330
SAN JOAQUIN,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,240,240
SAN JOSE DE CHIQUITOS,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,543,543
SAN JUAN DE YAPACANI,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,34,34
SAN JULIAN,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,2606,2606
SAN LUCAS,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,1230,1230
SAN MATIAS,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,660,660
SAN MIGUEL DE VELASCO,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,300,300
SAN PEDRO,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,313,313
SAN PEDRO DE BUENA VISTA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,180,180
SAN PEDRO DE MACHA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,420,420
SAN PEDRO DE TIQUINA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,60,60
SAN RAFAEL,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,180,180
SAN RAMON BENI,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,360,360
SAN RAMON SCZ,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,300,300
SANTA ANA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,630,630
SANTA CRUZ DE LA SIERRA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,49065,49065
SANTA ROSA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,390,390
SANTA ROSA DEL SARA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,293,293
SANTIAGO DE MACHACA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,30,30
SANTIVAÑES,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,390,390
SANTUARIO DE QUILLACAS,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,150,150
SHINAOTA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,960,960
SICA SICA (VILLA AROMA),internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,60,60
SOPACHUY,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,390,390
SORACACHI,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,30,30
SORATA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,240,240
SUCRE,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,38580,38580
TACOBAMBA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,181,181
TACOPAYA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,330,330
TAPACARI,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,30,30
TARABUCO,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,660,660
TARATA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,60,60
TARIJA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,17604,17604
TARVITA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,840,840
TIPUANI,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,90,90
TIQUIPAYA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,1142,1142
TOCO,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,180,180
TOLATA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,60,60
TOLEDO,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,90,90
TOMINA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,570,570
TORO TORO,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,89,89
TOTORA(CBBA),internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,1050,1050
TOTORA(ORR),internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,90,90
TRINIDAD,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,2636,2636
TUPIZA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,2630,2630
TURCO,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,150,150
UMALA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,30,30
UNCIA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,60,60
UYUNI,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,1646,1646
VACAS,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,90,90
VALLEGRANDE,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,1241,1241
VIACHA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,1892,1892
VILA VILA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,120,120
VILLA CHARCAS,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,361,361
VILLA MONTES,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,1260,1260
