municipality,group,variable,month,8. Días camas ocupadas otros servicios,TOTAL
CULPINA,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,41,41
EL ALTO,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,19669,19669
EL PUENTE(STC),internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,93,93
EL TORNO,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,495,495
ENTRE RIOS CBBA,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,114,114
ESCOMA,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,78,78
EXALTACION,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,6,6
FERNANDEZ ALONSO,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,80,80
GENERAL SAAVEDRA,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,40,40
GUANAY,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,78,78
GUAYARAMERIN,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,952,952
GUTIERREZ,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,86,86
HUACARAJE,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,10,10
HUACARETA,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,52,52
HUANUNI,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,464,464
HUARINA,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,10,10
ICLA,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,7,7
IRUPANA (VILLA DE LANZA),internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,23,23
IXIAMAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,17,17
JESUS DE MACHACA,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,1,1
LA ASUNTA,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,71,71
LA GUARDIA,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,753,753
LA PAZ,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,45954,45954
LLALLAGUA,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,652,652
LLICA,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,2,2
LORETO,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,8,8
MACHARETI,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,59,59
MAGDALENA,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,256,256
MAIRANA,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,118,118
MAPIRI,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,23,23
MINEROS,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,134,134
MIZQUE,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,212,212
MOCOMOCO,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,82,82
MOJOCOYA,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,30,30
MONTEAGUDO,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,961,961
MONTERO,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,5157,5157
OCURI,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,3,3
OMEREQUE,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,32,32
ORURO,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,14759,14759
PADILLA,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,266,266
PAILON,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,221,221
PALOS BLANCOS,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,47,47
PAMPA AULLAGAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,37,37
PAMPA GRANDE,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,37,37
PASORAPA,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,8,8
PATACAMAYA,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,130,130
POCOATA,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,1,1
POCONA,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,11,11
POJO (CBBA),internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,10,10
PORCO,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,2,2
POROMA,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,70,70
PORONGO,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,143,143
PORTACHUELO,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,532,532
POSTRER VALLE,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,3,3
POTOSI,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,10228,10228
PRESTO,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,23,23
PUCARANI,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,34,34
PUERTO GONZALO MORENO,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,13,13
PUERTO QUIJARRO,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,322,322
PUERTO RICO,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,47,47
PUERTO SUAREZ,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,288,288
PUERTO VILLARROEL,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,1281,1281
PUNATA,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,996,996
QUILLACOLLO,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,1910,1910
QUIME,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,1,1
QUIRUSILLAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,11,11
RAQAYPAMPA(ETA),internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,13,13
REYES,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,79,79
RIBERALTA,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,2852,2852
ROBORE,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,445,445
RURRENABAQUE,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,339,339
SABAYA,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,18,18
SACABA,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,2343,2343
SACABAMBA,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,14,14
SACACA,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,6,6
SAIPINA,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,37,37
SALINAS DE GARCI MENDOZA,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,5,5
SAMAIPATA,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,82,82
SAN ANDRES,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,2,2
SAN BORJA,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,580,580
SAN CARLOS,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,18,18
SAN IGNACIO,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,283,283
SAN IGNACIO DE VELASCO,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,1148,1148
SAN JAVIER(BNI),internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,30,30
SAN JAVIER(STC),internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,86,86
SAN JOAQUIN,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,250,250
SAN JOSE DE CHIQUITOS,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,539,539
SAN JUAN DE YAPACANI,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,86,86
SAN JULIAN,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,1251,1251
SAN LORENZO(PND),internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,2,2
SAN LUCAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,172,172
SAN MATIAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,282,282
SAN MIGUEL DE VELASCO,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,69,69
SAN PEDRO,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,124,124
SAN PEDRO DE BUENA VISTA,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,2,2
SAN PEDRO DE TIQUINA,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,1,1
SAN RAFAEL,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,69,69
SAN RAMON BENI,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,56,56
SAN RAMON SCZ,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,81,81
SANTA ANA,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,172,172
SANTA CRUZ DE LA SIERRA,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,38846,38846
SANTA ROSA,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,134,134
SANTA ROSA DEL SARA,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,20,20
SANTIAGO DE HUARI,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,2,2
SHINAOTA,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,67,67
SOPACHUY,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,16,16
SORACACHI,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,2,2
SORATA,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,7,7
SUCRE,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,26424,26424
TACACOMA,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,3,3
TACOBAMBA,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,31,31
TACOPAYA,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,7,7
TAPACARI,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,1,1
TARABUCO,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,403,403
TARIJA,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,11316,11316
TARVITA,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,85,85
TIPUANI,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,36,36
TIQUIPAYA,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,528,528
TOMINA,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,11,11
TORO TORO,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,3,3
TOTORA(CBBA),internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,16,16
TRIGAL,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,15,15
TRINIDAD,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,2640,2640
TUPIZA,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,843,843
UNCIA,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,19,19
URUBICHA,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,96,96
UYUNI,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,439,439
VALLEGRANDE,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,739,739
VIACHA,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,190,190
VILLA CHARCAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,35,35
VILLA MONTES,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,569,569
VILLA RIVERO,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,1,1
VILLA SERRANO,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,4,4
VILLA TUNARI,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,2197,2197
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,20,20
VILLAZON,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,653,653
VINTO,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,479,479
WARNES,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,569,569
YACUIBA,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,1812,1812
YAMPARAEZ,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,15,15
YANACACHI,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,31,31
YAPACANI,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,872,872
YOTALA,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,62,62
ZUDAÑEZ,internaciones dias camas,dias camas ocupadas otros servicios,2024-10-01,9,9
ACHACACHI,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,119,119
AIQUILE,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,167,167
ALTO BENI,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,8,8
ANDAMARCA,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,1,1
ANZALDO,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,17,17
APOLO,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,8,8
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,634,634
ATOCHA,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,217,217
AYATA,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,28,28
AZURDUY,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,51,51
BAURES,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,70,70
BERMEJO,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,846,846
BETANZOS,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,1,1
BOLIVAR,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,8,8
BOYUIBE,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,20,20
BUENA VISTA,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,120,120
CABEZAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,90,90
CAIROMA,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,1,1
CAJUATA,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,13,13
CAMARGO,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,225,225
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,6,6
CAMIRI,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,693,693
CAPINOTA,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,182,182
CAQUIAVIRI,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,2,2
CARACOLLO,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,124,124
CARANAVI,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,442,442
CARAPARI,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,68,68
CARIPUYO,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,12,12
CARMEN RIVERO TORREZ,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,39,39
CHALLAPATA,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,412,412
CHARAGUA,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,55,55
CHARAÑA,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,30,30
CHIMORE,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,174,174
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,173,173
CHUMA,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,3,3
CKOCHAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,6,6
CLIZA,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,183,183
COBIJA,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,2237,2237
COCAPATA,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,2,2
COCHABAMBA,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,27685,27685
COLCAPIRHUA,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,4258,4258
"COLCHA ""K""",internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,56,56
COLLANA,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,2,2
COLPA BELGICA,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,14,14
COLQUECHACA,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,3,3
COLQUENCHA,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,1,1
COMARAPA,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,222,222
CONCEPCION,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,282,282
COROICO,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,255,255
COTAGAITA,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,7,7
COTOCA,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,1140,1140
CUATRO CAÑADAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,309,309
CUCHUMUELA (V. G. VILLARROEL),internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,33,33
CUEVO,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,11,11
CULPINA,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,54,54
EL ALTO,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,18121,18121
EL PUENTE(STC),internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,79,79
EL TORNO,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,432,432
ENTRE RIOS TRJ,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,134,134
ENTRE RIOS CBBA,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,61,61
ESCOMA,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,70,70
EXALTACION,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,4,4
FERNANDEZ ALONSO,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,40,40
GAIOC JATUN AYLLU YURA,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,2,2
GENERAL SAAVEDRA,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,26,26
GUANAY,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,96,96
GUAYARAMERIN,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,1237,1237
GUTIERREZ,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,99,99
HUACARAJE,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,9,9
HUACARETA,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,38,38
HUANUNI,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,424,424
HUARINA,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,10,10
ICLA,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,11,11
IRUPANA (VILLA DE LANZA),internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,16,16
IXIAMAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,7,7
JESUS DE MACHACA,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,3,3
LA ASUNTA,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,34,34
LA GUARDIA,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,644,644
LA PAZ,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,37798,37798
LAGUNILLAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,2,2
LAS CARRERAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,90,90
LLALLAGUA,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,618,618
LLICA,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,2,2
MACHACAMARCA,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,1,1
MACHARETI,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,24,24
MAGDALENA,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,165,165
MAIRANA,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,110,110
MAPIRI,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,3,3
MINEROS,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,126,126
MIZQUE,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,222,222
MOCOMOCO,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,4,4
MOJOCOYA,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,29,29
MONTEAGUDO,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,849,849
MONTERO,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,4262,4262
OCURI,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,4,4
OKINAWA,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,6,6
OMEREQUE,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,33,33
ORURO,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,13783,13783
PADILLA,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,243,243
PAILON,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,227,227
PALCA,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,1,1
PALOS BLANCOS,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,34,34
PAMPA GRANDE,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,13,13
PATACAMAYA,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,136,136
POCONA,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,39,39
POJO (CBBA),internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,33,33
PORCO,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,1,1
POROMA,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,134,134
PORONGO,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,118,118
PORTACHUELO,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,469,469
POSTRER VALLE,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,2,2
POTOSI,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,9866,9866
PRESTO,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,23,23
PUCARANI,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,26,26
PUERTO GONZALO MORENO,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,14,14
PUERTO QUIJARRO,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,270,270
PUERTO RICO,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,45,45
PUERTO SUAREZ,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,223,223
PUERTO VILLARROEL,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,1054,1054
PUNATA,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,776,776
QUILLACOLLO,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,1834,1834
QUIME,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,30,30
QUIRUSILLAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,6,6
RAQAYPAMPA(ETA),internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,7,7
REYES,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,124,124
RIBERALTA,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,2859,2859
ROBORE,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,282,282
RURRENABAQUE,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,235,235
SABAYA,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,12,12
SACABA,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,2135,2135
SACABAMBA,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,11,11
SACACA,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,4,4
SAIPINA,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,34,34
SALINAS DE GARCI MENDOZA,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,7,7
SAMAIPATA,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,93,93
SAN ANTONIO DE LOMERIO,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,27,27
SAN BORJA,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,361,361
SAN BUENA VENTURA,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,540,540
SAN CARLOS,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,8,8
SAN IGNACIO,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,302,302
SAN IGNACIO DE VELASCO,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,1074,1074
SAN JAVIER(BNI),internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,30,30
SAN JAVIER(STC),internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,65,65
SAN JOAQUIN,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,282,282
SAN JOSE DE CHIQUITOS,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,399,399
SAN JUAN DE YAPACANI,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,70,70
SAN JULIAN,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,944,944
SAN LUCAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,133,133
SAN MATIAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,162,162
SAN MIGUEL DE VELASCO,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,53,53
SAN PEDRO,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,72,72
SAN RAFAEL,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,64,64
SAN RAMON BENI,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,48,48
SAN RAMON SCZ,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,106,106
SANTA ANA,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,159,159
SANTA CRUZ DE LA SIERRA,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,34209,34209
SANTA ROSA,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,109,109
SANTA ROSA DEL SARA,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,105,105
SANTIAGO DE MACHACA,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,1,1
SHINAOTA,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,63,63
SICAYA,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,30,30
SOPACHUY,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,9,9
SORACACHI,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,4,4
SORATA,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,1,1
SUCRE,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,23111,23111
TACACOMA,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,1,1
TACOPAYA,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,10,10
TARABUCO,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,277,277
TARIJA,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,10160,10160
TARVITA,internaciones dias camas,dias camas ocupadas otros servicios,2024-11-01,56,56
